link,title,author,date,content,annotation
https://www.infowars.com/posts/the-wall-is-real-half-of-all-thirty-something-women-in-the-us-are-now-experiencing-early-menopause-and-thats-no-laughing-matter,The Wall Is Real: Half of All Thirty-Something Women in the US Are Now Experiencing Early Menopause—and That’s No Laughing Matter,By Raw Egg Nationalist,1 day ago,"It’s a staple of the so-called “manosphere”—that glamorous corner of the internet where sex-trafficker gurus rub shoulders with pick-up artists, “men going their own way” and half-breed incel spree-killers in the making—that there’s this thing called “the Wall” and that women hit it, hard, when they reach the age of about 30.
The Wall serves as a kind of fulcrum, a hinge for dating in the modern world, the Manosphere types tell us. Before the Wall, women are wanton and carefree, dispensing their love to the most chosen men, in a kind of selective breeding every bit as rigorously eugenic as in Plato’s Republic, even if it produces no offspring.
Pre-Wall women engage exclusively in “hypergamy,” to use the correct Manosphere lingo—they choose only the very best mates, the Chads and Gigachads, the Alpha and Sigma males, and leave the rest.
And so a very small number of the most attractive men end up having all the sex, with the aid of dating apps like Tinder, while the rest don’t even get crumbs from the table, so to speak.
But then, suddenly—the Wall appears in her path.
Splat!
Now our formerly attractive formerly young woman, souring like (pasteurised) milk as she passes 30, must adopt a new strategy as she fights for survival. Pushed out of the dating market, she settles down with the kind of man—affable, non-threatening but financially secure—she wouldn’t have looked at twice in her glory days, before her dwindling eggs disappear altogether.
Many women fail, of course, and face a terrible, lonely fate: the life of the childless cat lady.
I felt a little bit grubby just writing all that, I won’t lie. It’s horribly cynical, and the kind of men who give themselves over to believing such theories usually end up making themselves even less attractive to the opposite sex than they were before, which is quite the achievement really.
The Manosphere worldview, at its worst, just makes already bitter men yet more lemonish, even if there are obvious shades of truth to the ideas behind it.
One obvious shade of truth is that women’s reproductive capabilities do decline naturally as they age. This is indisputable. And it’s also indisputable that women’s reproductive capabilities decline differently from men’s.
But now there’s new evidence to suggest that natural decline in women’s fertility is changing. It’s changing in ways that should worry us deeply.
More than 50% of American women aged 30-35 are now experiencing early symptoms of the menopause, according to a new study. This isn’t normal, and it’s not funny either. In fact, it’s part of a broader decline in fertility that has the potential to make reproduction all-but impossible for the human race.
First, a bit of basic science: the menopause, sometimes referred to as “the climacteric,” is when adult women stop having periods for good. It typically occurs between the ages of 45 and 55; the average age in the US a decade ago was 51. It’s a natural change and marks the end of a woman’s ability to conceive.
A new survey, commissioned by researchers from Flo Health and the University of Virginia, looked at around 4,500 women, and found that half of all women in the 30-35 age bracket reported experiencing symptoms of early menopause or “perimenopause,” to give the condition its technical name. Over 55% of 30-35 year olds reported “moderate to severe” symptoms, increasing to 64.3% in women between the ages of 36 and 40.
The strength of perimenopause symptoms can vary, but the main change is extended durations without periods. In “early” perimenopause, women occasionally miss their period or cycle irregularly, whereas in “late” perimenopause, they may go for much longer—from between 60 days to a full year or more—without a period.
Other symptoms associated with perimenopause include: hot flashes; vaginal dryness; pain during sexual intercourse; recent cycle length irregularity; heart palpitations; frequent urination.
So what’s causing this? Why is this happening?
Although the survey doesn’t discuss the causes of its findings, other studies have linked early menopause to exposure to endocrine-disrupting chemicals, a pervasive class of chemicals that are found in everything from personal-care products to food packaging.
A study from 2012 showed a clear link between levels of exposure to endocrine disruptors and age of menopause onset.
“The researchers looked at the levels of numerous EDCs [endocrine-disrupting chemicals] in the blood or urine of 5,700 women through a secondary analysis of the US National Health & Nutrition Examination Survey (NHANES) database. Those with the highest amounts of phthalates and PCBs [two very common types of endocrine-disrupting chemical] went through menopause an average of 2.5 years before the others.”
There have been a wide range of studies showing associations between particular chemicals, like per- and polyfluoroalkyl substances (PFAS), and early menopause, as well as studies that demonstrate the mechanisms by which such chemicals are likely to disturb the menstrual cycle.
For example, one study showed a clear link between levels of PFOA (a PFAS chemical) and cycle length. Women with the highest levels of PFOA exposure had significantly higher odds for longer cycles than women with the lowest levels.
Studies have also shown that endocrine-disruptors can disrupt the function of ovarian follicles, which are involved in the production of the hormones that govern menstruation.
Endocrine disruptors are a serious problem for both sexes. This is why I say “the end of men is the end of women,” borrowing the title of the 2022 Tucker Carlson documentary I starred in alongside Robert F. Kennedy Jr. That documentary focused mainly on men’s health and falling testosterone levels and sperm counts as a result of exposure to toxic chemicals like PFAS. But everything I said there about endocrine disruptors and their dreadful effects on male health is true for women too.
There’s been a lot of focus in recent years on a potential “spermageddon” scenario, in which sperm counts continue to fall on their current trajectory and within decades it becomes impossible for reproduction to occur by natural means. Such a scenario grabs headlines for obvious reasons. But the decline in women’s reproductive health is no less stunning or grave.
Thankfully, someone who understands these declines in fertility—their causes and solutions, the fact they’re interlinked and inseparable—is now in charge of the Department of Human Health and Services. Robert F. Kennedy Jr, after years of campaigning to clean up the environment and reduce Americans’ exposure to toxic chemicals, now has the ability to do those things and the mandate, as part of his “Make America Healthy Again” agenda. He faces an uphill battle against entrenched interests that have countless billions of dollars staked on the continuing ill health of Americans, but the price of failure will be far, far greater than that.
While we’re on the subject of fertility, I’d like to draw your attention to an important upcoming event in Austin, Texas. On 28-29 March, the second Natal Conference will take place, featuring a whole host of experts, including myself, all of whom will be addressing the nature of the current reproductive crisis and, just as importantly, what we can do about it in order to ensure a future for our nation and the human race. If you’d like to buy a ticket, visit natalism.org and use promo code “rawegg” to get 10% off your purchase.",0
https://www.infowars.com/posts/post-vaccination-syndrome-new-paper-identifies-lingering-covid-19-vaxx-effects,“Post-Vaccination Syndrome:” New Paper Identifies Lingering COVID-19 Vaxx Effects,By Raw Egg Nationalist,2 days ago,"A new condition called “post-vaccination syndrome” has been acknowledged by Yale scientists investigating the long-term after-effects of COVID-19 vaccination.
The condition is characterised by a variety of troubling symptoms including brain fog, insomnia, tinnitus and heart palpitations, and resembles the condition dubbed “long COVID.”
The symptoms typically develop a day or two after vaccination and can persist for months or even years, worsening over time.
“It’s clear that some individuals are experiencing significant challenges after vaccination. Our responsibility as scientists and clinicians is to listen to their experiences, rigorously investigate the underlying causes, and seek ways to help,” said co-senior author Harlan Krumholz.
The researchers looked at blood samples from 42 patients who experienced symptoms of post-vaccination syndrome and from 22 who did not.
Those with the syndrome were found to have lower levels of true crucial white blood-cell types. They also had lower levels of antibodies against the COVID-19 spike protein, and in some cases higher levels of the spike protein itself.
“We don’t know if the level of spike protein is causing the chronic symptoms, because there were other participants with PVS [post-vaccination syndrome] who didn’t have any measurable spike protein—but it could be one mechanism underlying this syndrome,” said co-senior study author Akiko Iwasaki.
The researchers believe further studies are needed to confirm the study’s findings.
“This work is still in its early stages, and we need to validate these findings,” Iwasaki added.
“But this is giving us some hope that there may be something that we can use for diagnosis and treatment of PVS down the road.”",0
https://www.infowars.com/posts/half-of-all-women-in-us-aged-30-35-experiencing-symptoms-of-early-menopause-toxic-chemicals-may-be-to-blame,Half of All Women in US Aged 30-35 Experiencing Symptoms of Early Menopause: Toxic Chemicals May Be To Blame,By Raw Egg Nationalist,3 days ago,"Half of all women in their 30s are now reporting early symptoms of the menopause.
The menopause, often referred to as the climacteric, is when women cease menstruating and become infertile. In the US, the average age of menopause is around 50 years old.
A new survey, commissioned by researchers from Flo Health and the University of Virginia, looked at around 4,500 women, and found that half of all women in the 30-35 age bracket reported experiencing symptoms of early menopause or “perimenopause,” to give the condition its technical name. Over 55% of 30-35 year olds reported “moderate to severe” symptoms, increasing to 64.3% in women between the ages of 36 and 40.
“Physical and emotional symptoms associated with perimenopause are understudied and often dismissed by physicians. This research is important in order to more fully understand how common these symptoms are, their impact on women, and to raise awareness amongst physicians as well as the general public,” says study co-author Dr. Jennifer Payne.
The strength of perimenopause symptoms can vary, but the main change is extended durations without periods. In “early” perimenopause, women occasionally miss their period or cycle irregularly, whereas in “late” perimenopause, they may go for much longer—from between 60 days to a full year or more—without a period.
Other symptoms associated with perimenopause include: hot flashes; vaginal dryness; pain during sexual intercourse; recent cycle length irregularity; heart palpitations; frequent urination.
Although the survey does not discuss the causes of its findings, other studies have linked early menopause to exposure to endocrine-disrupting chemicals, a pervasive class of chemicals that are found in everything from personal-care products to food packaging.
A study from 2012 showed a clear link between levels of exposure to endocrine disruptors and age of menopause onset.
“The researchers looked at the levels of numerous EDCs [endocrine-disrupting chemicals] in the blood or urine of 5,700 women through a secondary analysis of the US National Health & Nutrition Examination Survey (NHANES) database. Those with the highest amounts of phthalates and PCBs [two very common types of endocrine-disrupting chemical] went through menopause an average of 2.5 years before the others.”
There have been a wide range of studies showing associations between particular chemicals, like per- and polyfluoroalkyl substances (PFAS), and early menopause, as well as studies that demonstrate the mechanisms by which such chemicals are likely to disturb the menstrual cycle.
For example, one study showed a clear link between levels of PFOA (a PFAS chemical) and cycle length. Women with the highest levels of PFOA exposure had significantly higher odds for longer cycles than women with the lowest levels.
Studies have also shown that endocrine-disruptors can disrupt the function of ovarian follicles, which are involved in the production of the hormones that govern menstruation.",0
https://www.infowars.com/posts/high-levels-of-microplastics-found-in-lungs-of-birds-air-heavily-polluted-with-these-invisible-dangers,High Levels of Microplastics Found in Lungs of Birds: Air Heavily Polluted with These Invisible Dangers,By Raw Egg Nationalist,4 days ago,"The lungs of birds contain significant quantities of microplastics, illustrating the extent to which the air is now contaminated with plastic pollution.
According to a new study out of China, lung tissue from birds contains hundreds of particles of commonly used forms of plastic like polyethylene.
“Birds serve as important indicators of environmental conditions,” said one of the study’s authors.
“They help us understand the state of the environment and make informed decisions about conservation and pollution control.”
The Chinese scientists studied over 50 different species of wild bird in western China.
They took samples of lung tissue from the birds and tested it using infrared technology to detect and count microplastics. Pyrolysis gas chromatography-mass-spectrometry was also used to identify smaller nanoplastics, which can enter the lungs through the bloodstream.
Hundreds of microplastics were found in the bird lungs, with an average of 221 particles per species and 416 particles per gram of lung tissue. The most common types identified were chlorinated polyethylene, used for insulating pipes and wires, and butadiene rubber, a synthetic material in tires.
There are currently no “safe” established levels of exposure to microplastics and nanoplastics.
More than nine billion tons of plastic are estimated to have been produced between 1950 and 2017, with over half of that total having been produced since 2004. The vast majority of plastic ends up in the environment in one form or another, where it breaks down, through weathering, exposure to UV light and organisms of all kinds, into smaller and smaller pieces—microplastics and then even smaller nanoplastics. These are called “secondary” microplastics, because they become small, but there’s also a whole class of “primary” microplastics which are small by design, like so-called “microbeads” used in cosmetics.
Within our homes, microplastics are mainly produced when synthetic fibres from clothes, furnishings and carpets are shed. They accumulate in large quantities in dust and float around in the air, which we then inhale.
New studies are appearing at a steady pace, linking microplastic exposure to virtually every chronic disease, from irritable bowel syndrome, obesity and autism, to cancer, Alzheimer’s and infertility.
Microplastic exposure has been linked to a terrifying decline in male fertility—a so-called “spermageddon” scenario—where within the next quarter century, it could be impossible for the human race to reproduce by natural means, because men produce so few sperm.
If you’d like to know more about microplastics, including ways to protect yourself and your loved ones against exposure to them, read our exclusive primer, “the Microplastic Menace,” here.",0
https://www.infowars.com/posts/epidemiologist-reveals-new-data-linking-covid-vaxx-to-cardiac-arrest-on-dr-drew-show,Epidemiologist Reveals New Data Linking Covid Vaxx To Cardiac Arrest,By Infowars.com,4 days ago,"Nicolas Hulscher, an epidemiologist with the McCullough Foundation, joined “Ask Dr. Drew” this week to discuss new data revealing the disturbing connection between Covid shots and heart attacks.
The study, published in the World Journal of Cardiology, revealed mRNA from the injections “travels within lipid nanoparticles to all organ systems, including the heart. Once it’s in there, your cardiomyocytes start to produce spike protein. This spike protein is found circulating in the bloodstream which can also reach the heart.”
Hulscher told Dr. Drew there has been a 600% increase in myocarditis after mRNA injections “based on the largest COVID-19 vaccine safety study ever conducted.”
The show host pointed out the cardiac arrests being witnessed since the rollout of the jabs are increasingly found in young people who previously almost never suffered these events.
“Right, it’s not supposed to be seen in young healthy adults as we’ve seen since 2021, since these cardiotoxic injections rolled out,” the epidemiologist responded.
The alarming update is not surprising to Infowarriors who have been warned about the dangers of the experimental shots since they were first introduced.",0
https://www.infowars.com/posts/cbs-mornings-runs-pro-fluoride-propaganda-piece-using-epileptic-child-to-gain-sympathy,CBS Pulls Heartstrings By Exploiting Epileptic Child In Pro-Fluoride Propaganda Video,By Kelen McBreen,4 days ago,"A recent report aired on CBS Mornings provided a pathetically weak pitch for keeping hydrofluorosilicic acid, or “fluoride”, in the public drinking water as Utah prepares to become the first U.S. state to ban the toxic chemical from water systems.
“A person may not add fluoride to water in, or water that will be introduced into, a public water system,” the bill awaiting a signature from Gov. Spencer Cox (R) states, adding that “A political subdivision may not enact or enforce an ordinance that requires or permits the addition of fluoride to water in, or water that will be introduced into, a public water system.”
The CBS segment focused on a nine-year-old girl named Whitley who suffers from a rare form of epilepsy.
Due to her brain disorder, the child must undergo general anesthesia to receive basic dental care.
Whitley’s mother Kat Smith told the outlet she fears removing fluoride will result in the child getting “more cavities” and having to be sedated at the dentist’s office.
The potential cavity-blocking properties of fluoride do not outweigh the negative effects of the toxic chemical, which have been linked to a lowered IQ and brain-damaged babies among other health issues.
More states will likely follow Utah’s lead in making drinking water safe for all citizens by removing harmful substances.
Under the Donald Trump administration, it’s possible the federal government takes action as Health and Human Services Secretary Robert F. Kennedy Jr. has been vocal about fluoride being a “poison.”
Infowars and Alex Jones have been warning about the dangers of fluoride for decades:",0
https://www.infowars.com/posts/rfk-jr-praises-steak-n-shake-for-switching-from-seed-oil-to-beef-tallow-frying-oil,RFK Jr. Praises Steak ‘N Shake For Switching from Seed Oil to Beef Tallow Frying Oil,By Infowars.com,5 days ago,"Health and Human Services Secretary Robert F. Kennedy lauded American fast-food chain Steak ‘n Shake for its commitment to switch from seed-based frying oils to beef tallow.
The chain on Monday announced it had switched over to “tallow fries” at stores in Ohio, Colorado, Florida, Texas and Oklahoma, adding that by March 1 fries at all locations would be “RFK’d.”
“Congratulations @SteaknShake for being the first national fast-food chain to begin the transition away from seed oils,” Kennedy wrote Thursday responding to the news.
Congratulations @SteaknShake for being the first national fast-food chain to begin the transition away from seed oils. Thanks for leadership in the crusade to Make America Healthy Again. https://t.co/eEqF6No1bc
“Thanks for leadership in the crusade to Make America Healthy Again,” he added.
Thank you Secretary Kennedy! https://t.co/qdCiJy1ofV
Meanwhile, Children’s Health Defense, the health-conscious non-profit formerly headed by Kennedy, weighed in asking the restaurant to also consider revamping other items on their menu.
It's a start, but there are many ingredients that need an overhaul on your menu to make them healthy for our children to consume — whole food ingredients to nourish growing children, not filled with chemicals that cause health issues.
Steak ‘n Shake’s transition from seed oils to tallow comes as Trump’s brief stint working at a McDonald’s in Pennsylvania inspired calls for the fast-food giant to bring back beef tallow frying oil.
President Donald Trump’s HHS secretary has previously slammed seed oils for contributing to America’s illness epidemic.
RFK Jr. Exposes Four Toxic Substances in Your Food I can't believe Fox News aired this. pic.twitter.com/gpsvwBq59V
“Seed oils are one of the most unhealthy ingredients that we have in foods,” Kennedy told Fox & Friends last year, ahead of the election. “And seed oils, the reason they’re in the foods is because they’re heavily subsidized. They’re very, very cheap, but they are associated with all kinds of very, very serious illnesses, including body-wide inflammation, which affects all of our health.”",0
https://www.infowars.com/posts/vaxxed-buffy-star-michelle-trachtenberg-dies-suddenly-at-39,Vaxxed ‘Buffy’ Star Michelle Trachtenberg Dies Suddenly at 39,By Adan Salazar,6 days ago,"Hollywood actress Michelle Trachtenberg, who starred alongside Sarah Michelle Gellar in the popular Buffy The Vampire Slayer series, died Wednesday at the age of 39.
“Trachtenberg was found by her mother around 8 a.m. Wednesday at One Columbus Place, a 51-story luxury apartment complex in Manhattan’s Central Park South neighborhood,” reported the New York Post citing sources.
The Post notes the Gossip Girl actress had undergone “a liver transplant within the last year, but her body may have rejected the organ, according to sources, who said she died of natural causes.”
“The NYPD confirmed Trachtenberg was found ‘unconscious and unresponsive’ by police and pronounced dead by EMS workers. They responded to the building after a 911 call reporting a woman experiencing cardiac arrest,” The Post added, noting police did not suspect foul play.
Instagram photos showed the former child star appearing frail and gaunt, with sources telling People she was “struggling” with health issues.
Many on social media pointed out the Eurotrip actress had previously promoted face masks and the Covid-19 vaccine, prompting many to speculate the jab may have somehow possibly contributed to her death.
“Get vaccinated. Wear a f*cking mask. Stay safe,” Trachtenberg wrote in an Aug. 2021 post.
“This is how I look down at people who don’t want to get the vaccine. The virus is real,” she wrote in another post.
Whether the vaccine played a role in Trachtenberg’s untimely passing remains unclear, but a 2022 research study documented cases of rejection in 56 transplanted solid organs following vaccination with Pfizer-BioNTech, Moderna, AstraZeneca, or Sinovac.
“Organ rejection post-COVID-19 vaccination with all vaccines used to prevent COVID-19 or following COVID-19 infection with all variants of concerns is rare but can occur,” researchers wrote, adding the study shouldn’t necessarily discourage Covid jab vaccination.",0
https://www.infowars.com/posts/hhs-sec-rfk-jr-halts-multi-million-dollar-biden-era-covid-19-vax-project,HHS Sec. RFK Jr. HALTS Multi-Million Dollar Biden-Era COVID-19 Vax Project,By Jamie White,6 days ago,"Health and Human Services Secretary Robert F. Kennedy, Jr. has paused a multi-million dollar contract from the Biden administration to develop a new COVID-19 vaccine.
Kennedy issued a 90-day stop-work order on Friday related to the HHS contract with American biotech company Vaxart Inc., which is working to develop a new oral COVID-19 vaccine.
The pause comes as 10,000 individuals were slated to begin clinical trials on Monday.
“While it is crucial that the Department [of] Health and Human Services (HHS) support pandemic preparedness, four years of the Biden administration’s failed oversight have made it necessary to review agreements for vaccine production, including Vaxart’s,” Kennedy told Fox News Digital on Tuesday.
“I look forward to working with Vaxart and medical experts to ensure this work produces safe, effective, and fiscal-minded vaccine technology.”
The trial is only paused — not terminated — and Kennedy and other health officials will examine the study’s initial findings over the next 90 days before making a determination on what comes next.
The contract to create a new COVID vaccine was part of the Biden administration’s $4.7 billion NextGen initiative launched in 2023.
From Fox News:
The Vaxart vaccine was specifically funded through an agreement with the Biomedical Advanced Research and Development Authority (BARDA), which is a department within the Administration for Strategic Preparedness and Response under the HHS umbrella.
BARDA obligated roughly $460 million to Vaxart’s development of the new vaccine, with a total of $240 million already authorized for the preliminary study, Fox Digital learned.
A recent modification to the contract would have allowed Vaxart to invoice BARDA for the remaining roughly $230 million for clinical trials, but the stop-work order prevents the biotech company from invoicing BARDA until further notice. Vaxart, however, can still invoice HHS related to medical monitoring of individuals who took part in an initial round of trials, Fox Digital learned.
The move comes just two weeks after RFK Jr. was sworn in as HHS Secretary and President Trump signed an order establishing the Make America Healthy Again Commission, which is led by Kennedy to tackle “the root causes of America’s escalating health crisis.”
Visit TheAlexJonesStore.com for amazing merch, nutraceuticals and more!",0
https://www.infowars.com/posts/utah-set-to-become-first-state-to-ban-fluoride,Utah Set to Become First State to Ban Fluoride,By Adan Salazar,7 days ago,"Utah could soon become the first state to ban fluoride from municipal water supplies if Gov. Spencer Cox (R) signs the bill into law.
H.B. 81 would stop government entities in the Beehive State from fluoridating public water systems.
“A person may not add fluoride to water in, or water that will be introduced into, a public water system,” the bill states, adding that “A political subdivision may not enact or enforce an ordinance that requires or permits the addition of fluoride to water in, or water that will be introduced into, a public water system.”
The bill still allows fluoride treatments to be prescribed by pharmacists.
ABC4.com reports the bill cleared legislative hurdles last week and is now headed for the governor’s desk:
“The bill has made its way through both chambers of Utah’s Legislature. Passing on Friday in a mixed partisan vote of 18-8-3 vote, with members of both parties voting for and against the measure.”
The measure comes as Health and Human Services Secretary Robert F. Kennedy Jr. has previously said he would work to remove fluoride from public water supplies, citing the “industrial waste” chemical’s numerous adverse health effects, including “arthritis, bone fractures, bone cancer, IQ loss, neurodevelopmental disorders, and thyroid disease.”
A comprehensive study recently published in JAMA Pediatrics found an inverse correlation between high fluoride exposure and lower childhood IQ levels.
Last month, Florida Commissioner of Agriculture Wilton Simpson highlighted a proposal to ban fluoride from drinking water, comparing it to the tyrannical medical overreach seen during the Covid-19 pandemic.
“If COVID-19 taught us anything, it is that government has the ability to force health decisions without our consent based on emerging facts,” Simpson wrote. “Public water systems should be about fresh, clean, safe drinking water — not a means for delivering government prescribed medicine without the consent of the consumer.”
It’s unclear whether Gov. Cox will sign the bill, which is then slated to go into effect on May 7.",0
