link,title,annotation
https://www.eaglenews.ph/zimbabwe-reports-first-two-mpox-cases-of-unspecified-variant/,Zimbabwe reports first two mpox cases of unspecified variant,1
https://www.eaglenews.ph/cuba-faces-uphill-battle-as-oropouche-virus-spreads/,Cuba faces uphill battle as Oropouche virus spreads,1
https://www.eaglenews.ph/thailand-says-mpox-case-recorded-in-traveller-from-africa/,Thailand says mpox case recorded in traveller from Africa,1
https://www.eaglenews.ph/africa-could-start-mpox-vaccinations-within-days-health-agency-says/,Africa could start mpox vaccinations within days,1
https://www.eaglenews.ph/one-case-of-clade-2-mpox-detected-in-pakistan-new-strain-not-detected/,health agency says,1
https://www.eaglenews.ph/hong-kongs-dr-fauci-sounds-alarm-on-next-pandemic/,One case of clade 2 mpox detected in Pakistan,1
https://www.eaglenews.ph/constant-blood-ukraines-frontline-medics-battle-exhaustion/,new strain not detected,1
https://www.eaglenews.ph/uks-princess-of-wales-makes-first-public-appearance-since-cancer-diagnosis/,‘Hong Kong’s Dr Fauci’ sounds alarm on next pandemic,1
https://www.eaglenews.ph/british-tv-presenter-michael-mosley-possibly-found-dead-on-greek-island/,‘Constant blood’: Ukraine’s frontline medics battle exhaustion,1
https://www.eaglenews.ph/who-confirms-first-fatal-human-case-of-h5n2-bird-flu/,UK’s Princess of Wales makes first public appearance since cancer diagnosis,1
https://www.eaglenews.ph/more-than-1-in-4-children-under-age-5-face-severe-food-poverty-unicef/,British TV presenter Michael Mosley found dead on Greek island,1
https://www.eaglenews.ph/morocco-says-eight-dead-after-drinking-bootleg-alcohol/,WHO confirms first fatal human case of H5N2 bird flu,1
https://www.eaglenews.ph/sweden-orders-review-after-explosion-of-adhd-cases/,Sweden orders review after ‘explosion’ of ADHD cases,1
https://www.eaglenews.ph/first-patient-to-get-gene-edited-pig-kidney-transplant-dies/,First patient to get gene-edited pig kidney transplant dies,1
https://www.eaglenews.ph/who-says-us-keeping-them-updated-on-bird-flu-outbreak/,WHO says US keeping them updated on bird flu outbreak,1
https://www.eaglenews.ph/philips-settles-us-sleep-machine-cases-for-1-1-billion/,Philips settles US sleep machine cases for $1.1 billion,1
https://www.eaglenews.ph/nestle-denies-double-standard-on-baby-food-in-poorer-countries/,Nestle denies ‘double standard’ on baby food in poorer countries,1
https://www.eaglenews.ph/japan-anime-studio-draws-on-talent-of-autistic-artists/,Japan anime studio draws on talent of autistic artists,1
https://www.eaglenews.ph/use-of-alcohol-and-e-cigarettes-among-youth-alarming-who/,Use of alcohol and e-cigarettes among youth ‘alarming’: WHO,1
https://www.eaglenews.ph/bird-flu-viral-fragments-found-in-pasteurized-milk-us-officials/,Bird flu viral fragments found in pasteurized milk: US officials,1
https://www.eaglenews.ph/a-healthy-addiction-sea-saunas-make-waves-in-ireland/,A ‘healthy addiction’: sea saunas make waves in Ireland,1
https://www.eaglenews.ph/h5n1-strain-of-bird-flu-found-in-milk-who/,H5N1 strain of bird flu found in milk: WHO,1
https://www.eaglenews.ph/japan-doctors-sue-google-maps-over-punching-bag-reviews/,Japan doctors sue Google Maps over ‘punching bag’ reviews,1
https://www.eaglenews.ph/human-cases-of-bird-flu-an-enormous-concern-who/,Human cases of bird flu ‘an enormous concern’: WHO,1
https://www.eaglenews.ph/womens-bodies-being-turned-into-battlegrounds-un/,Women’s bodies being turned into ‘battlegrounds’: UN,1
https://www.eaglenews.ph/asia-pacific-gets-new-weapon-in-fight-against-drug-resistant-tb/,Asia-Pacific gets new weapon in fight against drug-resistant TB,1
https://www.eaglenews.ph/diabetes-drug-shows-promise-against-parkinsons-in-clinical-study/,Diabetes drug shows promise against Parkinson’s in clinical study,1
https://www.eaglenews.ph/how-period-tracking-could-boost-performance-of-female-olympians/,How period tracking could boost performance of female Olympians,1
https://www.eaglenews.ph/japan-dietary-supplement-maker-probes-five-deaths/,Japan dietary supplement maker probes five deaths,1
https://www.eaglenews.ph/nations-fail-to-reach-pandemic-accord-talks-to-resume-april/,Nations fail to reach pandemic accord: talks to resume April,1
https://www.eaglenews.ph/japan-drugmaker-reports-two-more-deaths-in-supplement-scare/,Japan drugmaker reports two more deaths in supplement scare,1
https://www.eaglenews.ph/latin-america-caribbean-set-for-record-dengue-season/,Latin America,1
https://www.eaglenews.ph/almost-one-child-in-six-is-cyberbullied-who-europe/,Caribbean set for record dengue season,1
https://www.eaglenews.ph/japan-drugmaker-reports-death-after-health-supplement-recall/,Almost one child in six is cyberbullied: WHO Europe,1
https://www.eaglenews.ph/10-key-dates-on-the-path-to-a-pandemic-accord/,Japan drugmaker reports death after health supplement recall,1
https://www.eaglenews.ph/un-warns-against-thirsty-tech-to-solve-water-crisis/,10 key dates on the path to a pandemic accord,1
https://www.eaglenews.ph/us-surgeons-transplant-pig-kidney-to-live-patient-in-world-first/,US surgeons transplant pig kidney to live patient in world first,1
https://www.eaglenews.ph/neuralink-shows-quadriplegic-playing-chess-with-brain-implant-2/,Neuralink shows quadriplegic playing chess with brain implant,1
https://www.eaglenews.ph/the-search-to-discover-why-outliers-survive-deadliest-cancers/,The search to discover why ‘outliers’ survive deadliest cancers,1
https://www.eaglenews.ph/how-genetic-therapies-transformed-the-lives-of-sickle-cell-patients/,How genetic therapies transformed the lives of sickle cell patients,1
https://www.eaglenews.ph/surging-nervous-system-disorders-now-top-cause-of-illness-study/,Surging nervous system disorders now top cause of illness: study,1
https://www.eaglenews.ph/man-in-iron-lung-dead-at-78-family/,‘Man in iron lung’ dead at 78: family,1
https://www.eaglenews.ph/whale-menopause-sheds-light-on-human-evolutionary-mystery/,Whale menopause sheds light on human evolutionary mystery,1
https://www.eaglenews.ph/mourners-gather-as-liberia-approaches-decade-since-ebola-outbreak/,Mourners gather as Liberia approaches decade since Ebola outbreak,1
https://www.eaglenews.ph/covid-lowered-life-expectancy-by-1-6-years-worldwide-study/,Covid lowered life expectancy by 1.6 years worldwide: study,1
https://www.eaglenews.ph/s-korea-starts-process-to-suspend-licences-of-4900-striking-doctors/,S. Korea starts process to suspend licences of 4,1
https://www.eaglenews.ph/few-women-know-alcohol-linked-to-breast-cancer-who-europe/,900 striking doctors,1
https://www.eaglenews.ph/quit-medicine-for-farming-south-korean-doctors-speak-out/,Few women know alcohol linked to breast cancer: WHO Europe,1
https://www.eaglenews.ph/meningitis-kills-20-nigerian-school-students/,Meningitis kills 20 Nigerian school students,1
https://www.eaglenews.ph/singapore-offers-payouts-to-retain-nurses/,Singapore offers payouts to retain nurses,1
https://www.eaglenews.ph/bangkok-says-work-from-home-as-pollution-blankets-city/,Bangkok says work from home as pollution blankets city,1
https://www.eaglenews.ph/first-child-cured-of-rare-brain-tumour-offers-real-hope/,First child cured of rare brain tumour ‘offers real hope’,1
https://www.eaglenews.ph/us-officials-confirm-rare-human-case-of-bubonic-plague/,US officials confirm rare human case of bubonic plague,1
https://www.eaglenews.ph/brazil-on-dengue-fever-alert/,Brazil on dengue fever alert,1
https://www.eaglenews.ph/thai-government-says-will-ban-recreational-cannabis-use/,Thai government says will ban recreational cannabis use,1
https://www.eaglenews.ph/child-pneumonia-spikes-in-pakistans-smoggy-winter/,Child pneumonia spikes in Pakistan’s smoggy winter,1
https://www.eaglenews.ph/five-key-facts-about-cancer/,Five key facts about cancer,1
https://www.eaglenews.ph/new-cancer-cases-to-soar-77-by-2050-who/,New cancer cases to soar 77% by 2050: WHO,1
https://www.eaglenews.ph/more-than-one-billion-now-afflicted-by-obesity-lancet/,More than one billion now afflicted by obesity: Lancet,1
https://www.eaglenews.ph/ukraine-women-fear-premature-birth-at-frontline-hospital/,Ukraine women fear premature birth at frontline hospital,1
