link,title,annotation,content,cluster,x,y,is_duplicate
https://www.health.harvard.edu/mind-and-mood/how-to-stop-stressing-over-minor-memory-lapses,How to stop stressing over minor memory lapses,1,"Everybody knows about ""senior moments"" — episodes of momentary forgetfulness about things like someone's name or where you parked the car. You might not fret about these cognitive hiccups if they're infrequent. But what if you're constantly forgetting little details? The stress of worrying about memory loss can be taxing and make your thinking skills even fuzzier. ""When you're stressed, your focus is pulled off of the tasks you're working on and you may begin thinking or worrying about the stressor. This can decrease mental clarity and make it harder to focus, making mild memory lapses more prominent,"" says Dr. Stephanie Buss, a cognitive neurologist and director of the Memory Disorders A2Z Clinic at Harvard-affiliated Beth Israel Deaconess Medical Center. Is it warranted? It's natural to be concerned about memory loss. ""This can stem from seeing family members or friends who've received a diagnosis of mild cognitive impairment or dementia, or it might come from noticing cognitive changes over time,"" Dr. Buss says. That doesn't mean your thinking skills are faltering. Small memory lapses can be normal with aging. This includes things like forgetting someone's name briefly (feeling that it's on the tip of your tongue) or walking into a room and momentarily forgetting why you walked in. You might also be interested in... Cognitive Fitness Online Course Wondering if you can affect your brain health, memory, and cognitive function? Learn in our course about simple lifestyle changes you can make to optimize your cognitive fitness—and stay mentally sharp! Learn More! ""We worry more about large memory lapses, such as forgetting parts of conversations or recent or upcoming events, changes in the ability to speak or understand, or changes in focus or organization that affect your day-to-day life. Any decline in your ability to do complex tasks such as managing medications, working, driving, cooking, or managing finances would also be cause for concern and evaluation,"" Dr. Buss says. Crucial steps to cope A healthy lifestyle is essential for handling stress of any kind and for maintaining brain health as we age. What does a healthy lifestyle involve? ""Physical activity is one of the most important factors. It promotes healthy cognitive aging, reduces stress, and helps with sleep and mood,"" Dr. Buss says. ""We also strongly recommend that you stay socially engaged, connecting with friends and family regularly. Cognitive activities such as reading, puzzles, games, or listening to music are also vital for maintaining brain health, and are especially powerful when paired with social activities."" Sleep is also key to brain health. You need a full night's sleep (at least seven to nine hours a night) to help the brain cement information into memories and flush away waste associated with Alzheimer's disease. Dr. Buss advises prioritizing sleep hygiene and maintaining a consistent bedtime. You should also eat a healthy diet, stop smoking, and get underlying conditions (especially high blood pressure) under control. You may be interested in... Alzheimer's Disease Harvard Health Publishing’s Alzheimer's Disease: A guide to diagnosis, treatment, and caregiving LEARN MORE Managing stress will also help your brain. Meditation, yoga, tai chi, deep breathing exercises, and mindfulness (being present and engaged in each moment) can trigger the relaxation response — the opposite of the stress response. ""Treating any associated anxiety and depression can help, too. It can improve focus, sleep, and your motivation to engage in healthy lifestyle activities,"" Dr. Buss says. Try these memory strategies You might also feel less concerned about memory lapses by using practical strategies to retain information. ""For example, when you meet a new person, use their name in conversation right away to help you remember it,"" Dr. Buss suggests. ""Also, keep a single, central calendar and refer to it regularly; that's easier than keeping information in multiple places."" She also recommends always placing your keys or glasses in a designated spot; taking your medication at the same time each day; and using notebooks, address books, and other tools to organize and store information for fast retrieval, rather than relying entirely on your memory. When to seek help ""Feel free to bring up concerns to your doctor, who can help you figure out what's normal and what requires more investigation,"" Dr. Buss says. ""Consider involving loved ones in these discussions; perhaps they've noticed memory lapses you're unaware of. But don't wait if you're worried. It's possible that you just need a quick memory screening and a talk with your doctor about lifestyle factors to improve your memory."" You may be interested in... A Guide to Cognitive Fitness Harvard Health Publishing’s A Guide to Cognitive Fitness 7 Steps to optimizing brain function and improving brain health LEARN MORE If you'd like more information, check out the Harvard Special Health Report Improving Memory. Image: © felixmizioznikov/Getty Images",7,0.17082179,-0.10411809,True
https://www.health.harvard.edu/heart-health/fasting-before-lipid-test-usually-unnecessary,Fasting before lipid test usually unnecessary,1,"Q. Do I need to fast before my cholesterol test? A. For most people, the answer is no. Here's the backstory: For decades, we've told people not to eat or drink (except for water and medications) for eight to 12 hours before a cholesterol test. This was based on the thought that a measurement done after fasting would provide a more accurate assessment of all the lipids (fats) in the blood, including LDL cholesterol and triglycerides. However, studies show that the differences between fasting and non-fasting values for cholesterol are usually negligible. An analysis using data from a clinical trial of 4,100 people compared the results from lipid tests done with and without fasting. The LDL (bad) cholesterol values were only about 4 milligrams per deciliter (mg/dL) higher when people weren't fasting. Because the cholesterol guidelines focus on LDL, whether you are fasting won't matter for determining whether your LDL is at goal. So if people come to my clinic and they've had breakfast or lunch, we go ahead and take a blood sample. But triglycerides are another story. After you eat, your body immediately converts any excess calories from food into triglycerides, which are then stored in fat cells. In addition, any saturated fat you eat is broken down into smaller fatty particles called chylomicrons, which enter the bloodstream and further contribute to a temporary rise in triglycerides. Some people have high triglyceride levels, which is more common among those who are overweight or have diabetes or prediabetes (and some people have inherited a tendency for this problem). For these people, not fasting can often lead to very high triglyceride levels. So anyone who has ever had a high triglyceride level should always fast before a lipid test. This will provide a more accurate assessment of their triglyceride value, which is then used to inform treatment recommendations. If a person's triglycerides are higher than 150 mg/dl on a fasting lipid test, that is linked to a higher risk of heart attack or related cardiovascular issues. Treatment starts with diet and exercise but may include medications, although the latter are usually reserved for people who have heart disease or are at high risk for it, including those with diabetes. When I see a new patient, I look back at their earlier lipid test results. If most of their triglycerides are within the normal range (below 150 mg/dL), I tell them they don't need to fast before their blood test. But if some of their values are high, I ask them to fast. Because fasting can be challenging if you can't schedule a morning blood test, ask your doctor if not fasting is an option for you. Image: © StefaNikolic/Getty Images",3,0.31219485,0.09432311,True
https://www.health.harvard.edu/staying-healthy/can-white-noise-really-help-you-sleep-better,Can white noise really help you sleep better?,1,"Some people find that the neutral sound of white noise helps them sleep better. But is there evidence to support this? And what about other noise colors? What is white noise? White noise has been compared to the static from a radio that isn't tuned to a specific station. Technically, the term ""white noise"" refers to noise that contains all frequencies of the sounds that people can hear, in equal parts. (Frequency is the rate at which sound waves vibrate.) Can white noise help you sleep better? Studies on the benefits of white noise for sleep have yielded mixed results. Some studies have found it helped people sleep better, possibly by masking outside noises and serving as a cue to fall asleep. ""A study in infants and children showed that white noise may reduce heart rate and respiratory rate, effectively lulling an individual to sleep,"" says Dr. Sogol Javaheri, assistant professor at Harvard Medical School and physician in the division of sleep and circadian rhythm disorders at Brigham and Women's Hospital in Boston. However, a systematic review published in Sleep Medicine Reviews found white noise had little beneficial effect on sleep. What's more, according to Dr. Javaheri, white noise may interrupt important stages of sleep, such as REM sleep or deep sleep, and affect hearing if it is too loud. If you use a white noise machine for sleep, try moving it to a corner of your bedroom and keep the noise level no louder than that of a background conversation. Turn on your white noise machine just before getting into bed. If your machine has a timer, experiment with having it play only as you fall asleep rather than all night long. Other noise colors for better sleep: Pink noise and brown noise While white noise is the best known, it's not the only ""color"" noise that's been used to enhance sleep. Pink noise has more intense, lower frequencies that make it sound deeper than white noise. Examples of pink noise are the sounds of rain or a waterfall. Some studies have found that pink noise can enhance deep sleep in older adults and improve cognitive performance. In addition, research suggests that pink noise may decrease time to fall asleep and improve sleep quality. However, these results were achieved under experimental conditions in which researchers adjusted pink noise timing during the night. Another color noise — brown noise — reduces higher sound frequencies even more than pink noise and is described as grainier or rougher. For example, brown noise can be compared to ocean waves crashing, while pink noise is more like a gentle rain. ""More data is needed to determine what role pink and brown noise may play in sleep, such as what volume and duration would be of most benefit,"" Dr. Javaheri says. ""For now, I would not recommend pink or brown noise continuously, but rather use it for a set time if it helps you fall asleep more quickly.""",5,0.15622589,-0.07961408,True
https://www.health.harvard.edu/exercise-and-fitness/foam-roller-could-you-benefit-from-this-massage-tool,Foam roller: Could you benefit from this massage tool?,1,"You've probably noticed people at the gym rolling their calves, glutes, and other body parts on small cylinders. These popular tools are called foam rollers. They can help you stay flexible and limber and reduce muscle tension and soreness. What is a foam roller? A foam roller is a cylinder made of foam. They're often about six inches in diameter and a foot or two long. Foam rollers are available in varying degrees of firmness. Used properly, a foam roller can help you reduce tension in muscles and other soft tissue so you can move with ease and less pain. Most foam rollers have a smooth surface, and you press different areas of your body against them, ""almost like you're ironing or smoothing out those tissues,"" says Dr. Marwa A. Ahmed, instructor in physical medicine and rehabilitation at Harvard Medical School and medical director of the Spaulding Outpatient Center in Boston. How do foam rollers work? When you press muscles and fascia (fibrous connective tissue) against a foam roller, you're loosening those tissues, releasing tension and easing pain, Dr. Ahmed explains. Think of it like giving yourself a massage — without the trip to the spa. Benefits of foam rolling Foam rollers are known to help reduce muscle and tissue soreness and tension. They also help increase flexibility, especially when used as a warm-up before exercise. In addition, foam rollers improve circulation to targeted areas. Some evidence suggests foam rolling may also: help joints move more easily through their full range of motion support moving excess fluid out of tissues and into the lymphatic system enhance the ability to move while conserving as much energy as possible (an important benefit for anyone concerned with sports performance). How to use a foam roller Using a foam roller is simple: slowly roll the body part you're targeting back and forth along the foam roller. For example, you might lie down with your thighs, glutes, or calves on the roller, then roll back and forth. Or you might try standing up with your back on the roller against a wall — this exercise is especially helpful if you have trouble getting up and down from the floor, Dr. Ahmed says. Like any fitness practice, you're more likely to see the desired results if you stay consistent. For each muscle group you want to roll, start with about 30 to 60 seconds and repeat three to five times at least twice a week. To really see the benefits of foam rolling, try foam rolling every day. What to consider when choosing a foam roller If you're new to foam rolling, start simple and soft. Some foam rollers have bumps that provide deeper pressure, but if you're new to the practice, start with a relatively soft, smooth roller. ""The softer it is, the less painful it's going to be,"" Dr. Ahmed says. ""Then, as you roll out these tissues, it's going to become harder to get much benefit from a softer foam roller, and so you can 'graduate' to a harder foam."" You can also use items you may already have on hand, like a tennis ball, to roll out smaller areas of tight muscle or tissue, such as a specific tender spot in your shoulder. Common foam rolling mistakes to avoid The biggest concern is rolling over bone, Dr. Ahmed says. Avoid any bony areas like your knees, pelvis, or shoulder blades. You can't ""iron out"" bones like you can tissue, and it will likely just hurt (and could lead to injury or worsen existing symptoms). Keep the roller on soft, fleshy tissue to safely give this tension-reducing practice a try.",0,0.241611,-0.23278694,False
https://www.health.harvard.edu/blog/should-you-be-sleepmaxxing-to-boost-health-and-happiness-202503063090,Should you be sleepmaxxing to boost health and happiness?,1,"If you've been on TikTok lately, you know it's hard to avoid countless influencers touting a concept called sleepmaxxing. Their posts provide tips and tricks to get longer, better, and more restorative sleep. And why not? Sleep is considered a pillar of good health and is related to everything from brain health to cardiovascular health, and even diabetes. But what exactly is sleepmaxxing? And how likely is it to deliver on claims of amped-up energy, a boost to the immune system, reducing stress levels, and improving your mood? What is sleepmaxxing? Depending on which social media platform you happen to be looking at, the recommended strategies for maximizing sleep differ. Tips include: taping your mouth shut while sleeping not drinking anything during the two hours before bedtime a cold room temperature a dark bedroom using a white noise machine not setting a morning alarm showering one hour before bedtime eliminating caffeine eating kiwis before going to bed taking magnesium and melatonin using weighted blankets getting 30 minutes of sunlight every day meditating daily for 30 minutes. Does any research support sleepmaxxing? A thorough search through PubMed, PsycNet, and Google Scholar reveals zero results for the terms ""sleepmaxx"" and ""sleepmaxxing."" But wait — this certainly doesn't mean that some influencer-recommended strategies are not evidence-based, just that the concept of sleepmaxxing, as a defined package, has not been scientifically studied. But yes, some of the strategies — including one uncomfortable, though popular, choice — lack evidence. Can mouth-taping improve your sleep? TikTok users have claimed that taping your mouth while you sleep has benefits, such as reducing snoring and improving bad breath. A team from the department of otolaryngology at George Washington University was prompted by all of the social media buzz on the topic to review research on the impact of nocturnal mouth taping. Spoiler alert: the authors note that most TikTok mouth-taping claims aren't supported by research. If you do snore, it's important to discuss this with your medical team. Even if taping your mouth reduces your snoring, it can't effectively treat a potential underlying cause of the snoring, such as allergies, asthma, or sleep apnea. Sleepmaxxing or basic sleep hygiene? Many strategies recommended by sleepmaxxers are essentially what sleep experts prescribe as good sleep hygiene, which has plenty of research backing its value. Common components of sleep hygiene are decreasing caffeine and alcohol consumption, increasing physical activity, sleep timing, reducing evening light exposure, limiting daytime naps, and having a cool bedroom. While tips like these help many people enjoy restful sleep, those who have an insomnia disorder will need more help, as described below. Melatonin, early bedtime, weighted blankets, and — kiwi fruit? Other strategies suggested by sleepmaxxers are based on limited scientific data. For example: Taking melatonin is recommended by the American Academy of Sleep Medicine to treat circadian rhythm disorders such as jet lag. But it's not recommended for insufficient sleep, poor sleep quality, or difficulty with falling asleep or staying asleep. Is it healthier to be asleep by 10 p.m.? One video that garnered more than a million views claims it is. While it is important to maximize morning sunlight exposure and minimize evening light exposure to regulate circadian rhythms, there is such variability in how much sleep someone requires and individual chronotypes (not to mention varying personal and professional responsibilities!) that it is difficult to state there is an ideal bedtime for everyone. While intriguing research has been done on weighted blankets, there is no convincing evidence that they are truly effective for the general adult population. Overall, it's important to be cautious about the impact of the placebo effect on how someone sleeps. An analysis of more than 30 studies showed that roughly 64% of the drug response for a sleep medication in insomnia patients could be due to the placebo effect. A key takeaway is that studies that are not randomized controlled trials — such as this small study on 24 people suggesting that kiwi fruit may improve sleep — should be interpreted with a grain of salt. Could you have orthosomnia? The expectation of flawless sleep, night in and night out, is an unrealistic goal. Orthosomnia is a term that describes an unhealthy pursuit of perfect sleep. The pressure to get perfect sleep is embedded in the sleepmaxxing culture. With more and more people able to access daily data about their sleep and other health metrics through consumer wearables, even a person who is objectively sleeping well can become unnecessarily concerned with optimizing their sleep. While prioritizing restful sleep is commendable, setting perfection as your goal is problematic. Even good sleepers vary from night to night, experiencing less than desirable sleep a couple of times per week. It is also noteworthy that some of the most widely viewed recommendations on TikTok are not supported by scientific evidence. Do you really need to fix your sleep? A good first step is to understand whether or not there is anything that you need to fix! Consider tracking your sleep for a few weeks using a sleep diary, and pair this data with a consumer wearable (such as a Fitbit or Apple Watch). Both imperfectly capture sleep data when compared to the gold-standard tool sleep experts use (polysomnography, or a sleep study). However, combining the information can give you a reasonable assessment of your sleep status. Regularly getting restful sleep can indeed boost health and mood. And all of us can benefit from following basic sleep hygiene tips. But if it takes you 30 minutes or more to fall asleep, or if you are up for 30 minutes or more in the middle of the night, and this happens three or more times per week, then consider reaching out to your health care team to seek further evaluation. There are effective, nonmedication treatments that are proven to help you sleep better. One example is cognitive behavioral therapy for insomnia, which can dramatically improve insomnia symptoms in a matter of weeks. Want to learn more about cognitive behavioral therapy for insomnia? Watch this video from the Division of Sleep Medicine at Harvard Medical School with Eric Zhou describing how it works.",5,0.16784753,-0.11923576,True
https://naturalnews.com/2024-08-28-israel-pauses-war-gaza-inoculate-children-provocation-poliomyelitis.html,VACCINE WEAPONS: Israel pauses war in Gaza to inoculate children with “provocation poliomyelitis” – further crippling and depopulating the region,0,"As the Israeli military righteously hunts down Hamas terrorists in the Gaza strip, they have completely disregarded the growing toll of civilian casualties – especially Palestinian children – who are either blown to pieces, buried in rubble or end up starved and sickened, lacking access to food and medical care . The Israeli military has either restricted, destroyed or militarily cut off aid to the Gaza strip. The territory's healthcare system has been devastated, with only about a third of its hospitals and 40 percent of primary healthcare facilities currently operational. Now, Israel is maniacally agreeing to pause the war in Gaza so that their forces can deliver tens of thousands of live polio vaccines to the children of Gaza. These inoculations inevitably spread vaccine-derived polio strains that will lead to ""provocation poliomyelitis"" – further crippling and depopulating the region. UN, WHO and UNICEF join Israeli military to inoculate 640,000 children across Gaza The United Nations has called for a comprehensive inoculation campaign following the confirmation of the first polio case in Gaza since the mid-1990s. In response to the crisis, the U.S. Secretary of State Antony Blinken has indicated that Washington is working with Israeli officials to finalize a coordinated vaccination plan, with implementation expected in the coming weeks. Joining forces with Israel’s depopulation agenda, the World Health Organization (WHO) and UNICEF have emphasized the urgency for inoculating the children of Gaza , calling for a minimum seven-day ceasefire to facilitate the vaccination of approximately 640,000 children across the Strip. With the support of 2,700 workers, the vaccination campaign aims to reach every municipality in the region. The vaccine shipment is sufficient to inoculate approximately 1,255,000 individuals, which represents just over half of Gaza’s population. This initiative is part of a broader effort coordinated by Israel’s civilian coordination agency, COGAT, and international health organizations. COGAT has announced that international and local medical teams will oversee the distribution of the vaccines over the coming days. The plan includes conducting vaccinations at various locations within Gaza during routine humanitarian pauses. These pauses are intended to allow civilians to access remaining dilapidated medical centers where they can receive the vaccine. Junk polio vaccines become weapons of depopulation in Gaza These junk polio vaccines, which are now proven to spread vaccine-derived polio strains , will continue to spread polio in Gaza and will do nothing to improve living conditions, water quality or sanitation, nor restore health, vitality and immunity to the children who are now suffering from malnutrition and severely unsanitary conditions. The conditions for outbreaks and serious disease are much higher in childhood populations that do not have access to clean water, sanitation, nutrition and proper medical care . By intentionally spreading vaccine-derived polio strains in Gaza, the United Nations, the Israeli forces and UNICEF are basically taking a torch to a drought-stricken forest, begging for wildfires to take hold (exacerbating disease outbreaks in children). Polio vaccines cause muscular and neurological injuries that allow poliovirus to paralyze children Whether global health authorities have good intentions or not, the polio vaccine will cause further damage to the children of Gaza. Studies show that skeletal muscle injury can make individuals more susceptible to neurological complications from poliovirus infections, a phenomenon known as “provocation poliomyelitis.” This condition often results from unnecessary injections in children living in areas where poliovirus is common, leading to cases of childhood paralysis. A study from 1998 suggests that intramuscular injections may also heighten the risk of vaccine-associated paralytic poliomyelitis among those receiving live attenuated poliovirus vaccines. The study found the precise pathogenic mechanism connecting intramuscular injections with provocation poliomyelitis. This skeletal muscle injury triggers retrograde axonal transport of the poliovirus, which aids in the virus's invasion of the central nervous system and exacerbates spinal cord damage. The Israeli military created the conditions for disease to spread in the first place, creating filthy and unsanitary conditions that cause the spread of diseases, while burdening families with survival-mode levels of stress and fatigue that precede disease. The lack of basic food and nutrition has rendered the children immunocompromised , allowing for multiple infections to take hold. In a depraved show of fake compassion, the Israeli military is bringing in mass inoculation campaigns that will only make the situation worse, while ignoring the very things these children need in order to survive the hellish conditions that has been fostered on them. Sources include: NaturalNews.com StrangeSounds.org Nature.com Pubmed.gov NPR.org NCBI.NLM.NIH.gov NCBI.NLM.NIH.gov",6,-0.3869061,-0.0052526593,False
https://www.health.harvard.edu/mind-and-mood/investigating-memory-loss,Investigating memory loss,1,"It can be scary not knowing if sudden memory lapses or other cognitive changes are just a natural aspect of aging or an early sign of mild cognitive impairment (MCI). MCI falls between the cognitive decline associated with aging and the more serious signs of dementia. With MCI, some changes are noticeable but usually do not impede the ability to carry out daily functions. ""It's not unusual to be forgetful at times as you age, but if memory issues are more noticeable, it's always best to get checked out and undergo a cognitive test,"" says Sara Weisenbach, a neuropsychologist with Harvard-affiliated McLean Hospital. ""There are ways to slow the progression of cognitive decline or treat issues that could be causing memory lapses, but the sooner you can identify a problem, the better the outcome."" See your doctor Your first step is to see your primary care physician to discuss your symptoms, review your overall health and concerns, and assess any family history of dementia. An ideal time for this may be at an annual wellness visit. (Don't rely on results of online cognitive tests, as many are unreliable and may not offer an accurate evaluation, says Weisenbach.) Before your visit, make a list of your specific cognitive concerns to share with your doctor. Also, bring a family member or friend to your appointment. Their support can help ease your nerves, and they can provide their own observations. An in-office cognitive screening test lasts from five to 15 minutes. The test might include repeating a list of words immediately and then again after a short delay recalling personal information like addresses or birthdays naming objects in a picture answering questions about recent events drawing a clock to assess spatial orientation. ""The results might indicate a potential problem, but they usually are not sufficient for a formal MCI diagnosis,"" says Weisenbach. Senior moments or red flags? It can be difficult to gauge when memory issues need medical attention. But you probably should consult your doctor if you experience any of the following: frequent episodes of forgetfulness, like not recalling a recent conversation or missing appointments frequent trouble retaining new information, like a phone number or address errors in paying bills or taking medications difficulty finding your parked car, trouble finding your way in familiar areas, or minor car accidents. Additional testing Based on your test results and your doctor's assessment, you may be advised to undergo further testing and evaluation. If the results hint at memory loss or another cognitive issue, or if your doctor needs more information, the next step might be blood tests, which can help to rule out reversible causes of cognitive impairment, such as low vitamin B12, iron deficiency, or an underactive thyroid. The doctor may also recommend one or more brain imaging studies. An MRI scan can look for structural changes in the brain, like loss of volume and changes in blood flow. A PET scan can look for amyloid plaque buildup in the brain, one of the hallmark signs of Alzheimer's disease. Your doctor also may recommend a neuropsychological evaluation with a specialist like a neurologist or neuro-psychologist. This sit-down visit can last a few hours and explores your cognitive issues in more detail, such as when they began and the circumstances around them. For example, are you having trouble finding the right words when speaking? Do you regularly misplace your keys and phone? Can you not recall a conversation from the previous day? ""All this information can help determine if the issues are a sudden phenomenon or have worsened over time,"" says Weisenbach. ""A neuropsychologist can also help determine which cognitive skills are strong and which ones are more challenging."" Other factors are also considered when evaluating the test results. For instance, lower-than-expected scores can be influenced by medication side effects or mental health issues like depression, anxiety, or grief. Even if the neuropsychological examination does not suggest MCI, your doctor or neuropsychologist can help address any issues that may be related to your mental lapses. ""This initial screening also provides a baseline for future reference in case other memory issues arise or your situation worsens over time,"" says Weisenbach. ""If the results from the tests are inconclusive, you might be monitored for 12 to 18 months and then re-evaluated."" Image: © RUNSTUDIO/Getty Images",7,0.19390701,-0.052324608,True
https://www.health.harvard.edu/staying-healthy/tips-for-a-high-quality-longer-life,"Tips for a high-quality, longer life",1,"We can learn much from people who continue to live productive lives into their 80s and 90s. Doctors in this demographic have a unique perspective, as they can tap into their decades of knowledge from their medical practice and their personal experiences dealing with Father Time.",7,0.0034639835,-0.03807704,True
https://www.health.harvard.edu/mind-and-mood/no-cognitive-effects-seen-after-years-of-very-low-ldl-cholesterol,No cognitive effects seen after years of very low LDL cholesterol,1,"Having an extremely low LDL level from aggressive cholesterol-lowering therapy was not associated with cognitive impairment, according to a new study. The study was an extension of an earlier investigation of people with heart disease that compared the cognitive effects of taking the cholesterol-lowering drug evolocumab (Repatha) plus a statin to taking a statin only. That study found no difference in cognitive function between the two groups after a median follow-up of 19 months.",7,0.2521822,0.19809158,True
https://www.health.harvard.edu/diseases-and-conditions/is-it-time-for-a-cpap-checkup,Is it time for a CPAP checkup?,1,"Ever since your obstructive sleep apnea diagnosis, you've tried to use your continuous positive airway pressure (CPAP) machine faithfully each night. Hopefully, it has restored your ability to sleep without snoring, coughing, choking, or suffering dozens of pauses in breathing per hour. And perhaps it helps you feel more alert, awake, and productive, and has begun to lower the risk of dangerous consequences related to sleep apnea, such as high blood pressure, heart disease, stroke, and depression. But the gentle hum of the CPAP device doesn't guarantee that the therapy is working effectively; like a sensitive medication regimen, it needs to be assessed and monitored regularly. What is CPAP therapy? CPAP therapy prevents your upper airways from being blocked by throat muscles that relax too much during sleep. The therapy involves a small bedside compressor that pumps a forceful stream of air through a tube and into your nose via a mask you wear all night. A standard CPAP machine delivers a fixed air pressure, while an auto-CPAP machine automatically adjusts pressure based on your varying needs throughout the night, such as when you change position or shift into a new sleep stage. Your health care provider must prescribe the therapy. You then obtain the system through a medical equipment supplier. A technician from the supplier will work with you to find the right mask, set the specified air pressure settings to keep your airways open without disturbing your sleep, and answer ongoing questions about using the system. You can control the temperature and humidity of the air entering the mask. Additionally, you can choose how fast the air pressure increases: ""You can set it to ramp up over five minutes or 45 minutes, or select the 'auto-ramp' setting and have the machine adjust the pace automatically based on your breathing,"" explains Dr. Karen Lee, a neurologist and sleep medicine specialist at Harvard-affiliated Massachusetts Eye and Ear. Initial check-ups For CPAP therapy to be covered by insurance, you're required to see your health care provider 30 to 90 days after you start using the system. ""The clinician always needs to ensure that the CPAP has improved and hopefully resolved your sleep issues,"" Dr. Lee says, ""and what can be complicated is that you may not be aware of some of your sleep issues. For example, sleep apnea often increases the frequency of nighttime urinations, grinding or clenching your teeth, and night sweats. The clinician needs to ask appropriate questions to understand if your sleep is optimized while using CPAP."" At your first check-up, your provider will review data that the machine has been collecting. ""The machine tells us when you're using the device and estimates how many apnea episodes you're having per hour, when you're struggling to breathe, and whether air is leaking out your mouth or around the mask unintentionally,"" Dr. Lee says. Based on that information and your own observations, your clinician might prescribe a higher or lower air pressure. You might need to go back for additional visits and adjustments until the kinks are ironed out, which can take a few months. You may even require an overnight study in the sleep lab while using CPAP to help clarify any issues. All PAP therapies need regular evaluation Continuous positive airway pressure (CPAP) therapy is just one type of positive airway pressure (PAP). Other types include auto-adjusting positive airway pressure (APAP), which provides a range of preset pressures throughout the night bilevel positive airway pressure (BiPAP), which provides two different preset pressures — a more powerful one when you inhale and a less powerful one when you exhale adaptive servo ventilation (ASV), an advanced device that provides pressure based on breathing patterns throughout the night. All these therapies need periodic assessment to determine how well they're working and whether the settings need adjustment. Additional check-ups Once the CPAP system is working for you, you'll need to have it re-evaluated at least once a year to see if the air pressure needs to be adjusted. These continuing follow-up appointments are important for many reasons. Data updates. Dr. Lee says that CPAP machines provide only estimated information, which sometimes is inaccurate. She needs to compare it with insights from a patient visit to determine if the CPAP really is helping. Worsening sleep apnea. Everything sags as we get older, even the airway, which causes the disease to advance over time. Weight loss or gain. Gaining weight can make sleep apnea worse; losing weight can make it better or even make it disappear. Either could potentially affect the pressure settings. Treatment side effects. Dr. Lee says that the brain sometimes reacts to CPAP in a way that creates another type of apnea. In that case, the settings or the actual device would need to be changed. Other sleep issues. ""We need to make sure all of your sleep needs are being addressed,"" Dr. Lee says, ""especially if you have other sleep disorders such as insomnia, restless legs syndrome, or sleepiness, despite effective CPAP treatment."" Missed check-ups Unfortunately, many people don't get regular CPAP check-ups. If you're among them, it could be that your clinician never told you that you need periodic assessments. ""While any health care provider can prescribe the therapy, they don't all know how to adjust it optimally or that they should evaluate it regularly,"" Dr. Lee says. Or you might not be getting CPAP check-ups because you feel better and don't think you need additional assessments you don't think the therapy is effective and have given up on it your schedule is too hectic you assume (mistakenly) that the medical equipment supplier is monitoring your health. When to call the expert If you've never had your CPAP use evaluated or haven't done so in a long time, Dr. Lee advises making an appointment with a sleep specialist or with the expert who prescribed the therapy. Dr. Lee also recommends calling your clinician any time new health problems or symptoms affect sleep. ""Come see me if you start snoring again or you're tired despite using the machine,"" she says. ""If you have questions, they need to be asked."" For more information, check out the Harvard Special Health Report Snoring and Sleep Apnea. Image: © no_limit_pictures/Getty Images",5,0.05414953,0.0045944005,True
