link,title,annotation,content
https://foodbabe.com/fda-banning-artificial-dyes-from-our-food-watch-my-speech-at-the-hhs/,FDA banning artificial dyes from our food. Watch my speech at the HHS.,0,"I just had the most impactful day in my entire career as a food activist. For so many years, I have said “The FDA is asleep at the wheel”. Now I no longer need to say that. I flew to Washington D.C. on Tuesday to witness HHS Secretary Kennedy and FDA Commissioner Dr. Marty Makary make the historical announcement that they are officially phasing out artificial dyes from all food sold in the country. (2) You can watch the replay of the full HHS event here. From the moment my kids were born, I taught them the truth about artificial food dyes because our government was doing nothing to protect them from these harmful ingredients. The science is there, and has been for over a decade. These dyes are made from petroleum and since 2010 products containing them require a warning label in Europe that states they “may have an adverse effect on activity and attention in children”. Artificial dyes have also been linked to cancer and disruptions in the immune system. Artificial dyes are one of the most problematic ingredients in the American food supply, and food companies often add them to products that are targeted towards and marketed towards our children. Whether it’s red for Valentine’s Day, or pastel yellow & blue for Easter, or red & green for Christmas, or orange for Halloween…virtually all holiday “treats” are artificially dyed. This is the reason why I’ve struggled with the parties at my children’s school and dreaded the “Holiday Death Aisle” that shows up in stores every season. Now we’re going to live in a world where we no longer have to worry about this. Imagine a world where we have… Birthday cakes that aren’t frosted with petroleum-based dyes contaminated with carcinogens. Breakfast cereals without the fluorescent dyes that harm a child’s ability to focus in school. Dye-Free candy in your child’s Halloween bucket that doesn’t harm their brains. Chips and sports drinks on the soccer field, naturally colored with fruit and vegetable extracts like they use in Europe. Parents across the nation have been tirelessly scouring ingredient labels, trying to avoid artificial dyes in their food and in their children’s food. Now, in 2 years, they’re not going to need to do this anymore. This will help every American out there who doesn’t know the truth about our food… Who is struggling for answers on their children’s health problems when they can be solved with food. Because food is medicine. This is the first step at reducing the amount of toxic ingredients in our food supply and safeguarding American children. Dr. Makary addressed this in his first few weeks at the FDA, which is incredible. I’m very thankful that we now have intellectual honesty coming out of the FDA, focused on looking at the updated science on food additives that American food companies are not using in other countries. The FDA is no longer turning a blind eye, and bowing down to corporate interests. The FDA is no longer asleep at the wheel! They have woken up and are steering us towards a healthier future for our children. This is what propelled me into becoming a food activist. Over 12 years ago, I did an investigation comparing products in Europe with the same products in America. (3) I was shocked and disgusted that companies like Kraft, for example, were creating safer Mac n’ Cheese without artificial dyes in other countries while they sold Americans an inferior version of their product with artificial dyes made from petroleum. I was so angered by the situation that I started my first nationwide petition demanding that Kraft remove the artificial dyes in America. (4) After 365,000 petition signatures, a visit to their headquarters, and a viral grassroots campaign, Kraft removed the artificial dyes. (5) We went on to successfully campaign several other billion-dollar corporations to change including Subway, Anheuser-Busch, and Starbucks. The wins were coming in and food companies were making changes, but it wasn’t coming quick enough. Making matters more difficult, we were confronted with a deluge of industry-funded attacks that stifled our progress. Although I was proud of the work that the “Food Babe Army” was doing, I became increasingly frustrated that our government was turning a blind eye and allowing food companies to poison Americans with ingredients that are either banned or restricted in other countries. This past September I had the opportunity to testify before the U.S. Senate where I displayed the blatant hypocrisy of American food companies selling safer products in Europe and Canada, without artificial dyes and other man-made food additives. (1) I shared the work that everyday citizens and the Food Babe Army have been doing on a grassroots level to force these companies to change over the last 10 years… And then I addressed the elephant in the room. I looked everybody in the eye that day and asked: “Isn’t this something that the people in Washington, our elected politicians, should be doing?” Then in October (6 short months ago!) one thousand of us marched to Kellogg’s headquarters and demanded that they remove the artificial dyes from their cereals like they have done in nearly every other country in the world — Moms, dads, doctors, teachers, and concerned citizens from all over the country stood up for the health of our children, and we were met with a cold corporate slap in the face. (6) We didn’t give up and we stayed loud! I’ve been traveling the country over the last few months with several of my colleagues and fellow activists, including Calley Means and Jason Karp, in support of various state bills to remove artificial dyes from the food sold in schools, and in some instances, in the entire state. Just last month, West Virginia became the first state to ban all artificial dyes from food sold in the state, despite efforts of Big Food lobbyists to dismantle the legislation. All of this has been setting the stage for this at the federal level and now it’s happening! This was the effort of so many amazing activists, nonprofit organizations, documentaries, podcasters, celebrities, authors, health leaders, doctors and everyday citizens who have used their platforms and voices to elevate this to the center stage. I especially want to recognize and thank some incredible allies. Thank you Calley Means for standing by my side and making this happen right along with me. Thank you Jason Karp for bringing me out of “retirement.” Thank you Ryland Englehart for planting this seed. Thank you Zuri Allen, John Roulac, Gary Ruskin, Del Bigtree, Zen Honeycutt, and Max Goldberg for your friendship, support, and expert guidance over the years. Thank you Center for Science in the Public Interest (CSPI) and Environmental Working Group (EWG) for your incredible research and activism. Thank you Lisa Leake who started the Kraft petition with me all those years ago, and Pulin Modi at Change.org. Look at where we are now! I’m so grateful for all of you who marched with me to Kellogg’s last October, some of you traveling across the country to take part in the biggest petition ever asking a food corporation to change. I was blown away by your support and activism Courtney Swan, Alex Clark, Max Goldberg, Ginny Yurich, Dr. Will Cole, Dr. Josh Axe, Iliriana Balaj, Parker Brook, Iman Hasan, Dr. Staci Whitman, Dr. Joel Gator, Zuri Star, Rob Herring, Liana Werner-Gray, State Representative Brad Paquette, and State Senator Jonathan Lindsey. When Kellogg’s told us to get off their lawn, they didn’t fully appreciate the public uproar it would create. And now the reckoning has taken place. Because you made your voice heard…this is now FINALLY being addressed by the FDA. We couldn’t have done this without everyone who signed and shared our petitions over the years, and told everyone to boycott these food corporations who are poisoning us with ingredients they don’t use in other countries. Thank you for being loud and coming together on this issue. Finally, thank you Secretary Kennedy and Commissioner Dr. Marty Makary for your brave leadership in safeguarding our children. It’s not just the dyes. American food companies are knowingly using several ingredients here in this country that they’ve removed abroad due to stricter regulations and to avoid warning labels. This isn’t just about ingredients, this is a moral issue. It is unethical and needs to stop. I am looking forward to seeing every American food company remove ALL risky ingredients from their products that they don’t use in other countries. It’s time to bring this to an end!!! Let’s celebrate this win together Food Babe Army!"
https://foodbabe.com/my-visit-to-the-white-house-exposing-big-food-and-advocating-major-food-chemical-reform/,My Visit To The White House – Exposing Big Food and Advocating Major Food Chemical Reform,0,"Someone needs to pinch me, because I almost can’t believe this is happening… I was invited to speak at the White House this week to advocate for safer food for our children. I was joined by a powerful coalition of moms who all want to get the harmful chemicals out of our food to protect our future generations. To have this opportunity to expose the truth about how Big Food poisons us with ingredients they don’t use overseas was a DREAM COME TRUE. I had my charts with me to show how billion-dollar corporations like PepsiCo, Kellogg’s, Mars, General Mills and Coca-Cola make safer versions of their products to sell in other countries. You could hear gasps in the room as I went through the ingredient comparisons! It was extraordinary to sit there across from the Department Secretaries (HHS, USDA, Education) where this is now a major topic of discussion! I’m so grateful that we now have leaders at the highest levels of government who are making this a top priority and looking to make changes fast. This week really felt like a “pinch me” moment because I can’t believe how far we’ve come in just the past few months… Everything has been moving so fast, but nothing can stop us now. This week I also spoke at the Florida State Capital in support of a bill that will require warning labels on products with artificial dyes, just like they have in Europe. This is our moment! But there is so much work to be done. Most people still don’t know that food corporations have reformulated safer products to sell in Europe. Thank you for continuing to share and for being part of the Food Babe Army!"
https://foodbabe.com/wk-kelloggs-ceo-gary-pilnick-breaks-his-silence-on-poisoning-american-kids-with-artificial-dyes-they-dont-use-overseas-video/,WK Kellogg’s CEO Gary Pilnick breaks his silence on poisoning American kids with artificial dyes they don’t use overseas (VIDEO),0,"WK Kellogg’s CEO Gary Pilnick finally breaks his silence since we delivered over 400,000 petitions to their front door on October 15th. On that day we made history when close to 1,000 of us marched to their headquarters, asking them to remove the artificial dyes and BHT that they don’t use in other countries from their cereals. (1) They ignored us and employees put a sign in the window that said “Get Off My Lawn”. Kellogg’s executives refused to meet with me or any of the fellow activists, health leaders, and elected officials who were there with us that day. (1) Since then, a massive Kellogg’s cereal boycott was started and Froot Loops sales have declined OVER 50% in the last 3 months (according to SPINS data). (2) Our petition and boycott has been splashed all over the media, Good Morning America, Bloomberg, Wall Street Journal… and yet Kellogg’s has remained largely silent. Until now… Mr. Pilnick was interviewed at the Morgan Stanley Global Consumer & Retail Conference on December 4, 2024, where he was questioned about the massive amounts of news coverage on their use of these artificial dyes in American cereals. (3) When I heard the CEO of Kellogg’s respond to why they use these dyes in America…but not in other countries…my mouth dropped to the floor! If his cockiness and patronizing tone doesn’t make you want to boycott them even harder, I don’t know what will. I am honestly horrified that he sounds proud they are in the news for poisoning American children, while serving so many other countries better and safer ingredients. Kellogg’s company does not deserve one more red cent of our money. Megan Clapp deserves a round of applause for asking the question that no other financial analyst has been brave enough to ask! For them to go on the record saying “the reason why we use colors in our food is because we know it’s safe” without addressing the mountains of research and health experts who say otherwise is irresponsible. They may try to pull the wool over our eyes, but the truth is getting out! And that is because of all of you who are sharing this information and voting with your dollars at the grocery store. Please keep spreading the word. You are all so amazing! #CancelKelloggs"
https://foodbabe.com/general-mills-has-been-put-on-notice-remove-dyes-from-lucky-charms-cinnamon-toast-crunch-and-trix-in-america/,"General Mills has been put on notice: Remove dyes from Lucky Charms, Cinnamon Toast Crunch and Trix in America!",0,"Our movement is growing bigger and faster than I could have ever imagined. We are right in the middle of the onslaught on Kellogg’s, however… other companies need to take notice. General Mills, who is also complicit with poisoning Americans with ingredients they don’t use in other countries came out with Trix in Australia (made in joint venture of General Mills and Nestle) that says right on the front of the box that it has “No Artificial Colours”. Meanwhile in America they’re using 3 Artificial Dyes PLUS unidentified additional “color added”…which could be Titanium Dioxide (an ingredient linked to cancer and banned in Europe). Soon after they removed the dyes, General Mills reported that sales “exceeded expectations” with great feedback from customers… But later claimed that people missed the fluorescent-colored Trix and had to put the dyes back. I’d eat Cinnamon Toast Crunch nearly every day when I was a kid and now I come to find out they use the same caramel coloring that we successfully campaigned to get removed from Starbucks drinks back in 2015. There are four different types of caramel color and two of those types (Class III and IV) contain the dangerous substance 4-methylimidazole (4-MeI), which is linked to cancer. You won’t find the type (class) of caramel color on an American ingredient label, although this is required to be labeled in Europe. We reached out to General Mills and they confirmed via email that they use Class 4 in Cinnamon Toast Crunch, which is the most dangerous type: NOTE: At the time I sent them this email, I was unaware that they use class IV caramel color, so this has now been added to my list of major concerns. General Mills said they’ll comply with the new California law banning artificial dyes from schools, but still “working through” questions of how it plans to do that, “which could include reformulating products or removing them from the available options for California schools“. If General Mills is reformulating for California schools, why can’t they do this everywhere? All citizens deserve these safer cereals. I responded for further clarification and will update you here when I learn more. Rumor has it that a school district is removing General Mills from their schools and replacing it with Nature’s Path (an organic brand without artificial dyes or BHT). This would be a huge blow to General Mills and could get the ball rolling in a direction that they can’t pull back from. I really feel like General Mills could position themselves as the leader here, but they don’t have much time to make a decision. The writing is on the wall now about where the regulations are headed. Other states are looking at banning artificial dyes from schools. And with RFK Jr. positioned to head the HHS, he has already gone on the record stating that he is going to ask the cereal companies to remove the dyes. General Mills should step up now, to avoid a PR disaster like what Kellogg’s is currently experiencing. All they need to do is announce their plans for removing artificial dyes and BHT from all of their cereals in America, just like they are doing for school districts in California and as they are doing in other countries. This will encourage other brands to do the same, and they will be seen as the hero. You can contact General Mills here or on their social media channels: Let’s rally together to get the same, safer cereals that General Mills will be producing in California schools. We can do this Food Babe Army!"
https://foodbabe.com/food-policy-expert-asks-kelloggs-ceo-would-you-allow-your-children-to-eat-this-every-day-video/,Food Policy Expert asks Kellogg’s CEO: “Would you allow your children to eat this every day?” (VIDEO),0,"When I saw the New York Post headline, “Ex-FDA food expert reveals worst cereal in America with link to cancer” I spit out my Froot Loops! (ha ha, I’m joking of course…) I was thrilled to see a respected food policy expert calling out Froot Loops and warning parents everywhere about their awful ingredients. Dr. Darin Detwiler has been advocating for food safety for the last 31 years and counting. He tragically lost his son, Riley, in 1993 to an E.coli infection that he contracted from another child – traced back to Jack In The Box hamburgers. This really propelled him into a life-long career of consulting for the USDA, FDA, and food corporations on how to improve their policies. I knew I needed to get Dr. Detwiler’s take on our Cancel Kellogg’s campaign, and what he really thinks about Kellogg’s selling cereals with safer ingredients in other countries. I contacted him and was so thankful that he agreed to do a live interview with me last night. Some of the most compelling parts of our conversation were: I really hope Kellogg’s was watching… because at one point I asked Dr. Detwiler what he would say to Kellogg’s CEO if he could talk to him. You’ve got to see what he said for yourself… I’m putting out a formal request for anyone who has insider information on Big Food or our Kellogg’s boycott to contact me. You can remain anonymous, but we want to hear from you! Send a “Hot Tip or Whistle-blow” request to me here. Thank you for voting with your dollars by leaving Kellogg’s on the shelf. This is sending the strongest message that Americans don’t want these artificial ingredients in our food!"
https://foodbabe.com/w-k-kelloggs-cereal-heiress-exposes-kelloggs-froot-loops-and-says-to-boycott/,W.K. Kellogg’s Cereal Heiress Exposes Kellogg’s Froot Loops and says to “BOYCOTT”,0,"Ever since we delivered 400,000 signed petitions to Kellogg’s headquarters asking them to sell us the same safer cereals they sell in other countries, I have been contacted several insiders and whistleblowers who want to help our campaign. I was contacted by Victoria Kellogg, the great great great granddaughter of W.K. Kellogg, the founder of Kellogg’s, who started the business selling Corn Flakes to the public in 1906. Victoria said that she wanted to advocate for our petition asking Kellogg’s to drop artificial food dyes from their cereals in America. When I called her and asked her if she would be willing to do a live interview, she said yes. I never thought a member of the Kellogg’s legacy family would ever want to speak out about their unethical business practices. But she did. And it’s one of the most heroic conversations I have had. I am so impressed by her courage to demand a boycott on Kelloggs, even though it will affect her financially. I also received an email from another relative of W.K. Kellogg, Jeannie Kellogg Keyes. Here’s what she wrote to me: More Kellogg’s insiders and whistleblowers have been contacting me who want to speak out. I’ll be sharing this information with you soon. Save the date: Another live interview on all social media on Nov. 19th at 8pm EST."
https://foodbabe.com/how-to-boycott-kelloggs-cereals-cancelkelloggs/,How To Boycott Kellogg’s Cereals! #CancelKelloggs,0,"Kellogg’s made a huge mistake. When we arrived at their front steps with more than 400,000 signed petitions, we were met with a sign in a high-rise window that said “Get Off My Lawn”. Their executives refused to meet with any of us. Even a Kellogg’s shareholder and elected officials were denied a meeting to discuss why they sell safer versions of their cereals in other countries without artificial dyes or BHT. This is a slap in every American’s face! They do not care about us and they do not care about children. This is why NO ONE should be buying Kellogg’s products. Kellogg’s is Anti-American and does not deserve one more dollar from any citizen. Last year, Kellogg’s split into two separate companies, and sold off all of their other brands like Eggos and Poptarts. Now they mostly just sell cereal. This is important because most Americans don’t know the truth about their food. Not everyone knows that Kellogg’s sells safer cereals in other countries. Not everyone knows that artificial dyes and BHT are linked to cancer and other health risks, especially in children. Schools throughout the country are serving Apple Jacks and Froot Loops full of dyes and BHT to American children for breakfast. It’s a travesty. Kellogg’s could have come out as the hero and done the right thing for American families but instead now they are facing a national boycott. Share this boycott list with your friends and family! It’s time to #CancelKelloggs"
https://foodbabe.com/letter-to-ceo-of-kelloggs-and-rsvp-to-kelloggs-petition-delivery-on-october-15th/,Letter to CEO of Kellogg’s and RSVP to Kellogg’s Petition Delivery on October 15th!,0,"It’s time to hold Kellogg’s accountable! Our petition asking Kellogg’s to remove artificial colors and BHT from all of their cereals, as they do in other countries, has now reached well over 163,000 signatures and is growing every day. We are going to Battle Creek, Michigan to deliver these petitions at Kellogg’s Headquarters on October 15, 2024, along with a coalition of health leaders. And, I’m inviting all concerned citizens, elected officials, and political candidates to attend. The event will start at 10:30am in Friendship Park located here. I sent this letter below to Kellogg’s CEO, Gary Pilnick, requesting a meeting. This is Kellogg’s opportunity to step up as a leader in the industry, and lead the way in producing safe products without artificial dyes and BHT. If you know anyone who lives in Michigan or near by, please forward this post to them. And if you can’t attend, make sure you’ve signed the petition here and send it to your friends and family – we need every voice counted. Thank you for making history with us!"
https://foodbabe.com/american-food-companies-must-stop-doing-this-now-testimony-washington-d-c-senate-roundtable/,American Food Companies Must Stop Doing This Now! Testimony Washington D.C. Senate Roundtable,0,"The past couple of days have been some of the most surreal in my life. I had the opportunity to testify at a Senate Roundtable in Washington DC, presenting the truth about the food industry to senators and congressional leadership, hosted by Senator Ron Johnson. I was joined by a coalition of activists, doctors, and health leaders, who all gave empowering and emotional speeches on the sorry state of health in this country and what we need to do to fix it: Robert F. Kennedy, Jr., Dr. Jordan Peterson, Calley Means, Dr. Chris Palmer, Dr. Marty Makary, Max Lugavere, Dr. Casey Means, Grace Price, Courtney Swan, Alex Clark, Jason Karp, Brigham Buhler, Mikhaila Fuller, and Jillian Michaels. In my testimony, I specifically called out the hypocrisy and outright unethical policies of American food companies who are selling safer versions of their products in other countries, while selling our own citizens ingredients that are heavily regulated or banned abroad. I also made a BIG announcement about our Kellogg’s petition…and the room gasped! And then they erupted into applause. The American people are ready for change. You don’t want to miss this, because I want you to be involved… We are at a pivotal moment in this country. Americans are sicker than ever. And much of this is due to the alarming amount of harmful chemicals allowed in our food. Tides are changing fast, and this is our chance to save the health of Americans. Please continue share this post with everyone you know! Thank you for standing up to these corrupt Big Food companies along with me."
https://foodbabe.com/how-to-find-the-healthiest-baby-food-5-things-to-avoid-in-baby-food/,How to find the healthiest baby food + 5 things to avoid in baby food,0,Error: Could not scrape content
