link,title,annotation,content,cluster,x,y
https://www.webmd.com/lung-cancer/asco-2023-special-report/20230704/egfr-lung-cancer-asian-people,EGFR Lung Cancer in Asian People,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.health.harvard.edu/womens-health/migraines-plus-early-menopause-symptoms-may-add-up-to-cardiovascular-risks,Migraines plus early menopause symptoms may add up to cardiovascular risks,1,"Women who cope with a combination of migraine headaches and early menopause symptoms such as hot flashes and night sweats may face higher risks of heart disease or stroke in midlife, a new analysis suggests. The study, published in the March 2024 issue of Menopause, tracked 15 years of data from nearly 2,000 women who were 18 to 30 years old at the study's start. Participants who reported having migraines and persistent ""vasomotor symptoms"" — the medical term describing hot flashes and night sweats — earlier in adulthood were 51% more likely to develop cardiovascular disease over the next 15 years when compared with women who seldom or never experienced the same problems. Stroke risk was even higher — 70% — among women with migraines and persistent vasomotor symptoms over the study period. Women who experience both migraines and early, persistent hot flashes and night sweats can offset the risks for heart disease and stroke by quitting smoking and promptly treating conditions such as high blood pressure, high blood sugar, and high cholesterol, the study authors said. Image: © Ekaterina Goncharova/Getty Images",1,0.18150382,-0.29051054
https://www.webmd.com/vaccines/news/20230628/cm/fda-to-fast-track-review-of-experimental-gonorrhea-vaccine,FDA to ‘Fast Track’ Review of Experimental Gonorrhea Vaccine,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/colorectal-cancer/asco-2023-special-report/20230627/colon-cancer-in-people-under-45,Colon Cancer in People Under 45,1,Error: Could not scrape content,5,-0.017731506,0.34456408
https://www.webmd.com/obesity/news/20230626/cm/new-studies-show-oral-weight-loss-drugs-work,Flurry of New Studies Show Oral Weight Loss Drugs Work,1,Error: Could not scrape content,5,-0.017731506,0.34456408
https://www.webmd.com/baby/news/20230622/cm/preventable-deaths-including-maternal-increase-sharply,"Preventable Deaths, Including Maternal, Increase Sharply",1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/diabetes/news/20230622/cm/exercise-may-erase-genetic-risk-of-type-2-diabetes,Exercise May Erase the Genetic Risk of Type 2 Diabetes,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.health.harvard.edu/diseases-and-conditions/remedies-for-hand-cramps,Remedies for hand cramps,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/a-to-z-guides/news/20230619/cm/west-nile-virus-cases-rising-nationwide,West Nile Virus Cases Rising Nationwide Amid Mosquito Season,1,"June 19, 2023 – State and local health officials around the country are reporting the first cases of West Nile virus of the season in humans and urging people to take action to protect themselves from the mosquito-borne disease. In the past 2 weeks, new cases have been reported in Iowa and Nebraska, adding to previous 2023 reports from Arizona, Georgia, Illinois, Louisiana, Oregon, Pennsylvania, and Wyoming. A mosquito at a monitoring site near Houston tested positive last week for the potentially fatal virus, prompting local health officials to begin evening spray operations in the area where the mosquito was found, according to an announcement from Harris County Public Health. According to the CDC, which compiles local reports, there have been 13 human cases of West Nile virus in 2023. In 2022, there were 1,126 cases, including 90 deaths. Among this year’s 13 cases reported to the CDC so far, eight people add severe neuroinvasive disease, which means the disease spread to the nervous system. Such severe symptoms typically occur in 1 in every 150 cases of West Nile virus, and can include encephalitis, which is inflammation of the brain, or meningitis, which is inflammation of the membranes that surround the brain and spinal cord. Three of the neuroinvasive cases occurred earlier this year amid an outbreak in Maricopa County, AZ, where the disease is considered endemic, according to an April 28 report from the CDC. The CDC says West Nile virus is the most common disease spread by mosquitoes in the continental U.S. Local health officials sample mosquitoes to guide mosquito control strategies. So far this year, the CDC has received 28 reports of mosquitoes testing positive. Those mosquito testing reports came from Arizona, California, Florida, Indiana, Louisiana, and Texas. West Nile virus is transmitted to people by the bite of an infected mosquito, but it can also be spread to humans if they handle a dead bird that is infected. The CDC says there are no medications to treat the virus in people. Most people who are infected do not feel sick, and 1 in 5 people infected develop a fever and other symptoms like headache, body ache, or a rash. Prevention strategies are to wear insect repellent and to wear long-sleeved shirts and long pants to avoid mosquito bites.",7,-0.23368418,-0.22169954
https://www.webmd.com/cancer/asco-2023-special-report/20230616/cm/winer-partnering-patients,ASCO President on Patient-Doctor Partnerships,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/breast-cancer/asco-2023-special-report/20230615/cm/some-breast-cancer-patients-may-forgo-chemo,Some Breast Cancer Patients May Safely Forgo Chemotherapy,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/breast-cancer/asco-2023-special-report/20230615/cm/breast-cancer-drug-iyengar,Drug May Help Stop Breast Cancer From Returning,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/breast-cancer/asco-2023-special-report/20230615/cm/breast-cancer-her2-standard-care,Standard of Care in HER2-Positive Breast Cancer Unchanged,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/cancer/cervical-cancer/asco-2023-special-report/20230615/cm/better-treatment-for-cervical-cancers,Simple Hysterectomy May Be Better Option for Cervical Cancer,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/breast-cancer/news/20230614/cm/most-patients-with-early-stage-breast-cancer-survive-long-term,Most Patients With Early-Stage Breast Cancer Survive Long-Term,1,Error: Could not scrape content,5,-0.017731499,0.34456402
https://www.webmd.com/lung-cancer/asco-2023-special-report/20230614/cm/lung-cancer-risk-screening,The Case for Lung Cancer Screening,1,Error: Could not scrape content,5,-0.017731499,0.34456402
