link,title
https://www.thesummitexpress.com/2024/10/miracle-doc-willie-ong-cancer-shrank-60-percent.html,‘Miracles happen’: Doc Willie Ong’s cancer shrank by 60% in 6 weeks
https://www.thesummitexpress.com/2024/09/philhealth-2025-covers-eyeglasses-crutches-wheelchairs.html,"PhilHealth to cover eyeglasses, wheelchairs, crutches by 2025"
https://www.thesummitexpress.com/2024/09/sarcoma-doc-willie-ong-stress.html,Understanding sarcoma: Is it linked to stress? Doctor explains
https://www.thesummitexpress.com/2024/09/doc-willie-ong-cancer.html,"Doc Willie Ong diagnosed with cancer: ‘Very rare, aggressive, very big’"
https://www.thesummitexpress.com/2024/08/mpox-2024-philippines-details.html,Mpox: Is it the same as COVID? DOH explains guidelines
https://www.thesummitexpress.com/2024/08/philippines-detects-first-case-mpox-doh.html,Philippines detects its first case of mpox for 2024
https://www.thesummitexpress.com/2024/07/mukbang-vlogger-died-due-to-stroke.html,Pinoy mukbang vlogger passes away due to hemorrhagic stroke
https://www.thesummitexpress.com/2023/09/doh-raises-code-white-alert-calabarzon-taal-volcano-smog.html,DOH raises code white alert in Calabarzon due to Taal Volcano smog
https://www.thesummitexpress.com/2022/12/jovit-baldivino-collapses-batangas-party-now-in-icu.html,"Jovit Baldivino collapses while partying in Batangas, now in ICU — reports"
https://www.thesummitexpress.com/2022/08/new-langya-virus-identified-in-china.html,New Langya virus identified in China
https://www.thesummitexpress.com/2022/07/monkeypox-confirmed-first-case-philippines.html,DOH confirms first case of monkeypox in the Philippines
https://www.thesummitexpress.com/2022/07/doh-assures-preparations-against-deadly-ebola-like-marburg-virus.html,DOH assures preparations against deadly Ebola-like Marburg virus disease
https://www.thesummitexpress.com/2022/06/kris-aquino-health-update-time-is-now-enemy.html,Kris Aquino shares health update: ‘Time is now my enemy’
https://www.thesummitexpress.com/2022/05/monkeypox-starts-to-spread-canada-us-europe.html,"Monkeypox cases detected in Canada, US, European countries"
https://www.thesummitexpress.com/2022/05/kris-aquino-fights-for-her-life-not-dead.html,Kris Aquino says she’s fighting to stay alive: ‘I'm not yet dead’
https://www.thesummitexpress.com/2022/01/israel-records-world-first-case-florona.html,"Israel records world's first case of 'Florona', a combination of COVID-19 and influenza"
https://www.thesummitexpress.com/2021/10/robert-jaworski-rare-blood-disease-cure-health.html,"Jaworski suffering from rare blood disorder, family still in search for cure"
https://www.thesummitexpress.com/2021/08/jj-janssen-vaccine-gbs-covid-19-vaccine.html,Son seeks help for mother who developed GBS allegedly after J&J vaccination
https://www.thesummitexpress.com/2021/07/anytime-fitness-campaign-vaccinated.html,Anytime Fitness launches campaign to help boost local vaccination uptake
https://www.thesummitexpress.com/2021/05/working-55-hours-week-killer.html,"Working 55+ hours a week a killer, says WHO"
https://www.thesummitexpress.com/2021/05/covid-19-now-compensable-work-related-disease.html,COVID-19 now a compensable work-related disease – Bello
https://www.thesummitexpress.com/2021/04/girl-seizure-excessive-use-gadgets.html,10-year-old girl suffers seizure due to excessive use of gadgets
https://www.thesummitexpress.com/2020/12/sudan-daniel-dies-asthma-attack.html,Former San Beda star Sudan Daniel dies after asthma attack
https://www.thesummitexpress.com/2020/12/india-mysterious-disease-outbreak.html,"Over 400 rushed to hospital, 1 dead due to a ‘mysterious disease’ in India"
https://www.thesummitexpress.com/2020/11/report-filipino-nurses-death-covid-19-us.html,"Over 30% of nurses who died due to COVID-19 in US were Filipinos, says report"
https://www.thesummitexpress.com/2020/11/pamamanhid-pangangalay-when-doing-simple-everyday-tasks.html,"Experiencing pamamanhid or pangangalay when doing simple, everyday tasks?"
https://www.thesummitexpress.com/2020/10/sante-daily-c-catriona-gray.html,Meet the new C in town!
https://www.thesummitexpress.com/2020/10/nido-3-useful-tips-healthy-toddlerhood.html,Straight From The Experts: 3 useful tips for a healthy toddlerhood
https://www.thesummitexpress.com/2020/09/philippines-has-flattened-covid-19-curve.html,Philippines has flattened COVID-19 curve – UP expert
https://www.thesummitexpress.com/2020/09/psychic-madam-rudy-baldwin-allegedly-predicted-lloyd-cadena-death.html,Psychic ‘Madam Rudy Baldwin’ allegedly predicted Lloyd Cadena’s death
https://www.thesummitexpress.com/2020/08/remdesivir-may-not-help-patients-with-moderate-covid-19.html,Remdesivir may not help patients with moderate COVID-19 – study
https://www.thesummitexpress.com/2020/08/oncologist-explains-possible-reasons-behind-asymptomatic-covid-patients.html,Oncologist explains possible reasons behind asymptomatic COVID-19 patients
https://www.thesummitexpress.com/2020/08/tick-borne-sfts-virus-spreading-in-china.html,Tick-borne SFTS virus spreading in China
https://www.thesummitexpress.com/2020/05/doh-fda-warn-public-social-media-posts-fabunan-drug-covid-19.html,"DOH, FDA warn public of social media posts claiming Fabunan drug can treat COVID-19"
https://www.thesummitexpress.com/2020/05/us-biotech-firm-announces-positive-interim-phase-results-covid-19-vaccine.html,US biotech firm announces 'positive interim phase 1' results for COVID-19 vaccine
https://www.thesummitexpress.com/2020/05/covid-19-vaccine-oxford-chadox1-remdesivir.html,"COVID-19 vaccine: Oxford's ChAdOx1 could be ready in September, remdesivir possible in January"
https://www.thesummitexpress.com/2020/04/garbage-collectors-also-hailed-as-hero-frontliners-amid-covid-19-crisis.html,Garbage collectors also hailed as hero frontliners amid COVID-19 crisis
https://www.thesummitexpress.com/2020/03/doctor-couple-cebu-both-die-from-covid-19.html,Doctor couple in Cebu both die from COVID-19
https://www.thesummitexpress.com/2020/03/late-sen-miriam-actually-filed-bill-to-prepare-ph-for-pandemic.html,"The late Sen. Miriam actually filed bill to prepare PH for pandemic, it remains 'pending'"
https://www.thesummitexpress.com/2020/03/rep-yap-result-was-false-positive-he-doesnt-have-covid-19.html,RITM: Rep. Yap’s result was ‘false positive’; he doesn’t have COVID-19
https://www.thesummitexpress.com/2020/03/video-pinoy-artists-we-heal-as-one-music-video.html,WATCH: Pinoy artists join forces for heartwarming 'We Heal As One' music video
https://www.thesummitexpress.com/2020/03/ruby-rodriguez-sister-dr-sally-gatchalian-dies-covid-19.html,Ruby Rodriguez’s sister Dr. Sally Gatchalian dies of COVID-19
https://www.thesummitexpress.com/2020/03/tolentino-pushes-for-waiver-of-medicine-board-exams.html,Tolentino pushes for waiver of medicine board exams to allow grads to fight COVID-19
https://www.thesummitexpress.com/2020/03/social-distancing-video-at-sari-sari-store-goes-viral.html,'Social distancing' video at sari-sari store goes viral
https://www.thesummitexpress.com/2020/03/philippines-records-biggest-one-day-increase-covid-19-cases-82.html,"Philippines records biggest single-day increase in COVID-19 cases, with 82 new cases"
https://www.thesummitexpress.com/2020/03/80-year-old-woman-dies-of-covid-19-in-taytay-rizal.html,"80-year-old woman dies of COVID-19 in Taytay, Rizal"
https://www.thesummitexpress.com/2020/03/amid-lack-of-ppe-staff-at-hospital-in-los-banos-improvise-plastic-bags.html,"Amid lack of PPEs, staff at hospital in Los Baños improvise with plastic bags"
https://www.thesummitexpress.com/2020/03/first-vaccine-trial-covid-19-started-who.html,"First vaccine trial for COVID-19 has started, WHO says"
https://www.thesummitexpress.com/2020/03/coronavirus-recovered-patients-philippines-13.html,Coronavirus recovered patients in PH now 13
https://www.thesummitexpress.com/2020/03/profile-philippines-covid-19-recoveries-now-8.html,PROFILE: Philippines' COVID-19 recoveries
https://www.thesummitexpress.com/2020/03/doh-reports-32-new-coronavirus-cases-5-patients-recover.html,"DOH reports 32 new coronavirus cases, 5 patients recover"
https://www.thesummitexpress.com/2020/03/bananas-protection-against-coronavirus-myth-debunked.html,Bananas protection against coronavirus? Myth debunked
https://www.thesummitexpress.com/2020/03/christopher-de-leon-tests-positive-coronavirus.html,Christopher de Leon tests positive for COVID-19
https://www.thesummitexpress.com/2020/03/doh-reports-first-filipino-who-recovered-covid-19.html,DOH reports first Filipino who recovered from COVID-19
https://www.thesummitexpress.com/2020/03/doh-reports-13-additional-covid-19-cases-total-111.html,"DOH reports 13 additional COVID-19 cases, total now at 111"
https://www.thesummitexpress.com/2020/03/doh-reports-34-new-covid-19-cases-total-rises-98.html, DOH reports 34 new COVID-19 cases; total rises to 98
https://www.thesummitexpress.com/2020/03/doh-reports-12-new-covid-19-cases-total-64.html,"DOH reports 12 new COVID-19 cases, total jumps to 64"
https://www.thesummitexpress.com/2020/03/daughter-pens-heartbreaking-note-mom-died-from-covid-19.html,Daughter pens heartbreaking note for mom who died from COVID-19
https://www.thesummitexpress.com/2020/03/doh-reports-10-new-covid-19-patients-cases-up-to-20.html,DOH reports 10 new COVID-19 patients; cases up to 20
https://www.thesummitexpress.com/2020/03/coronavirus-cases-philippines-rise-10.html,Coronavirus cases in the Philippines rise to 10
https://www.thesummitexpress.com/2020/03/mayor-toby-tiangco-asks-deped-cancel-classes-pass-all-students-covid-19.html,Navotas Mayor asks DepEd to automatically pass all students this school year
https://www.thesummitexpress.com/2020/03/bgc-employee-tests-positive-coronavirus.html,BGC employee tests positive for coronavirus
https://www.thesummitexpress.com/2020/03/doh-confirms-2-new-cases-of-covid-19-philippines.html, DOH confirms 2 new cases of COVID-19 in the Philippines
https://www.thesummitexpress.com/2020/02/dean-koontz-novel-from-1981-talks-about-wuhan-400-virus-outbreak-in-2020.html,LOOK: Dean Koontz novel from 1981 talks about 'Wuhan-400' virus outbreak in 2020
https://www.thesummitexpress.com/2020/02/208-pui-test-negative-covid-19-no-evidence-airborne.html,208 PUIs test negative for COVID-19; no evidence of airborne infection
