link,title,annotation
https://www.gmanetwork.com/news/lifestyle/healthandwellness/925712/iya-villania-s-no-1-tip-on-how-to-raise-four-kids-and-carry-a-fifth-be-fit-and-healthy/story/,Iya Villania's no.1 tip on how to raise four kids and carry a fifth: Be fit and healthy,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/925480/tuberculosis-cases-hit-record-high-who/story/,Tuberculosis cases hit record high —WHO,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/925177/you-don-t-have-to-sacrifice-your-own-life-while-caring-for-your-aging-parents-here-s-how/story/,You don't have to sacrifice your own life while caring for your aging parents. Here's how,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/925020/ruru-madrid-says-practicing-filipino-martial-arts-teaches-him-discipline/story/,Ruru Madrid says practicing Filipino martial arts teaches him discipline,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924337/protecting-filipino-seniors-how-rsv-puts-them-at-greater-risk/story/,Protecting Filipino seniors: How RSV puts them at greater risk,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924645/shaira-diaz-asks-for-prayers-as-she-gets-hospitalized-anew/story/,Shaira Diaz asks for prayers as she gets hospitalized anew,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924586/new-study-from-ateneo-debunks-relationship-of-saturated-fat-to-heart-disease/story/,New study from Ateneo debunks relationship of saturated fat to heart disease,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924352/diabetes-seeing-the-facts-behind-the-myths/story/,Diabetes: Seeing the facts behind the myths,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924369/breast-cancer-3-tips-for-reducing-risk-early-detection/story/,"Breast cancer: 3 tips for reducing risk, early detection",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924342/is-walking-10-000-steps-daily-an-effective-method-for-weight-loss/story/,"Is walking 10,000 steps daily an effective method for weight loss?",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924304/kris-aquino-cancer-scare/story/,Kris Aquino reveals cancer scare after PET scan,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924272/heart-evangelista-kyline-alcantara-breast-cancer-awareness-pink-parade/story/,"Heart Evangelista, Kyline Alcantara join forces to raise awareness about breast cancer at Pink Parade",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924046/derek-ramsay-s-mom-undergoes-successful-surgery-after-breaking-forearm-from-fall/story/,Derek Ramsay's mom undergoes successful surgery after breaking forearm from fall,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/924002/anthony-pangilinan-recovering-from-heart-surgery-maricel-laxa-says-they-kept-it-private-so-we/story/,Anthony Pangilinan recovering from heart surgery; Maricel Laxa says they kept it private 'so we could heal properly',1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923915/veggie-chips-cannot-be-called-a-healthy-snack-health-experts-say/story/,"Veggie chips cannot be called a 'healthy snack,' health experts say",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923401/breast-cancer-diagnosis-shouldn-t-be-a-death-sentence-a-filipina-picks-up-the-pieces-and-beco/story/,Breast cancer diagnosis shouldn't be a death sentence: A Filipina picks up the pieces and becomes her own advocate,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923683/babies-in-pililla-rizal-undergo-free-newborn-screening-through-gma-kapuso-foundation-doh-cala/story/,"Babies in Pililla, Rizal undergo free newborn screening through GMA Kapuso Foundation, DOH Calabarzon",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923659/explainer-how-parents-can-affect-their-children-s-mental-health/story/,EXPLAINER: How parents can affect their children's mental health,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923611/can-money-make-you-happy/story/,Can money make you happy?,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923573/group-of-filipino-gamers-sets-up-jogging-club-to-promote-active-lifestyle/story/,Group of Filipino gamers sets up jogging club to promote active lifestyle,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923552/skincare-why-you-should-not-be-afraid-to-use-retinol-in-your-regimen/story/,Skincare: Why you should not be afraid to use retinol in your regimen,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923461/six-transplant-patients-in-brazil-contract-hiv-from-infected-organs/story/,Six transplant patients in Brazil contract HIV from infected organs,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923295/shaira-diaz-gets-discharged-from-the-hospital-after-surgery/story/,Shaira Diaz gets discharged from the hospital after surgery,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923137/5-filipino-realities-that-harm-our-well-being-and-what-we-can-do-about-them/story/,5 Filipino realities that harm our well-being and what we can do about them,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923083/bretman-rock-patrick-starr-collaborate-on-beauty-campaign/story/,"Bretman Rock, Patrick Starr collaborate on beauty campaign",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923077/having-trouble-sleeping-8-things-for-the-best-night-s-shut-eye/story/,Having trouble sleeping? 8 things for the best night's shut-eye,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/923063/shaira-diaz-undergoes-surgery-recovering-but-still-in-pain/story/,Shaira Diaz undergoes surgery: 'Recovering but still in pain',1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/922501/phasing-out-teen-smoking-could-save-1-2-million-lives-who-cancer-agency-study/story/,Phasing out teen smoking could save 1.2 million lives —WHO cancer agency study,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/922302/muscles-stiff-from-too-much-sitting-neck-too-tight-here-are-some-mobility-exercises-to-help/story/,Muscles stiff from too much sitting? Neck too tight? Here are some mobility exercises to help,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/922203/ahtisa-manalo-leads-the-big-bang-stage-of-miss-cosmo-people-s-choice-voting/story/,Ahtisa Manalo leads ‘The Big Bang’ stage of Miss Cosmo People’s Choice voting,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/922179/up-manila-introduces-promising-ampalaya-medicine-tablets-for-managing-type-2-diabetes/story/,UP Manila introduces 'promising' ampalaya medicine tablets for managing Type 2 Diabetes,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/922042/strh-smarter-why-5-minutes-can-transform-your-body-help-you-stay-agile-and-reduce-risks-of-in/story/,"Stretch Smarter: Why 5 minutes can transform your body, help you stay agile, and reduce risks of injuries",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921928/ruru-madrid-convinces-parents-to-join-him-at-the-gym-emphasizes-importance-of-health/story/,"Ruru Madrid convinces parents to join him at the gym, emphasizes importance of health",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921811/kc-concepcion-restarts-fitness-journey/story/,KC Concepcion restarts fitness journey,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921535/child-in-uk-defies-odds-to-survive-withdrawal-of-life-sustaining-treatment/story/,Child in UK ‘defies odds’ to survive withdrawal of life-sustaining treatment,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921340/carla-abellana-opens-up-on-weight-gain-struggles-due-to-hypothyroidism/story/,Carla Abellana opens up on weight gain struggles due to hypothyroidism,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921236/doc-willie-ong-s-cancer-journey-battling-pain-guilt-and-healthcare-disparities/story/,"Doc Willie Ong's cancer journey: Battling pain, guilt and healthcare disparities",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/921047/local-tourist-in-iligan-faints-while-riding-carnival-ride/story/,Local tourist in Iligan faints while riding carnival ride,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/920291/carla-abellana-reveals-reason-for-hospitalization-last-month/story/,Carla Abellana reveals reason for hospitalization last month,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/920269/drag-race-philippines-queen-myx-chanel-hiv-diagnosis/story/,'Drag Race Philippines' queen Myx Chanel opens up on HIV diagnosis,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/920226/kris-aquino-is-returning-to-ph-gives-health-update/story/,"Kris Aquino is returning to PH, gives health update",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/919561/is-it-true-that-you-should-avoid-drinking-milk-when-you-have-the-cold-doctor-answers/story/,Is it true that you should avoid drinking milk when you have the cold? Doctor answers,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/920030/catherine-princess-of-wales-praised-for-cancer-video/story/,"Catherine, Princess of Wales praised for cancer video",1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/919919/vitamin-drip/story/,Is IV vitamin therapy safe and effective? Here's the 101 on celebrities' current favorite treatment,1
https://www.gmanetwork.com/news/lifestyle/healthandwellness/919876/kate-princess-of-wales-says-she-has-finished-chemotherapy-course/story/,"Kate, Princess of Wales, says she is grateful after finishing chemotherapy",1
