link,title
"https://www.eaglenews.ph/zimbabwe-reports-first-two-mpox-cases-of-unspecified-variant/,https://www.eaglenews.ph/cuba-faces-uphill-battle-as-oropouche-virus-spreads/,https://www.eaglenews.ph/thailand-says-mpox-case-recorded-in-traveller-from-africa/,https://www.eaglenews.ph/africa-could-start-mpox-vaccinations-within-days-health-agency-says/,https://www.eaglenews.ph/one-case-of-clade-2-mpox-detected-in-pakistan-new-strain-not-detected/,https://www.eaglenews.ph/hong-kongs-dr-fauci-sounds-alarm-on-next-pandemic/,https://www.eaglenews.ph/constant-blood-ukraines-frontline-medics-battle-exhaustion/,https://www.eaglenews.ph/uks-princess-of-wales-makes-first-public-appearance-since-cancer-diagnosis/,https://www.eaglenews.ph/british-tv-presenter-michael-mosley-possibly-found-dead-on-greek-island/,https://www.eaglenews.ph/who-confirms-first-fatal-human-case-of-h5n2-bird-flu/,https://www.eaglenews.ph/more-than-1-in-4-children-under-age-5-face-severe-food-poverty-unicef/,https://www.eaglenews.ph/morocco-says-eight-dead-after-drinking-bootleg-alcohol/","Zimbabwe reports first two mpox cases of unspecified variant,Cuba faces uphill battle as Oropouche virus spreads,Thailand says mpox case recorded in traveller from Africa,Africa could start mpox vaccinations within days, health agency says,One case of clade 2 mpox detected in Pakistan, new strain not detected,‘Hong Kong’s Dr Fauci’ sounds alarm on next pandemic,‘Constant blood’: Ukraine’s frontline medics battle exhaustion,UK’s Princess of Wales makes first public appearance since cancer diagnosis,British TV presenter Michael Mosley found dead on Greek island,WHO confirms first fatal human case of H5N2 bird flu,More than 1 in 4 children under age 5 face ‘severe’ food poverty: UNICEF,Morocco says eight dead after drinking bootleg alcohol"
"https://www.eaglenews.ph/sweden-orders-review-after-explosion-of-adhd-cases/,https://www.eaglenews.ph/first-patient-to-get-gene-edited-pig-kidney-transplant-dies/,https://www.eaglenews.ph/who-says-us-keeping-them-updated-on-bird-flu-outbreak/,https://www.eaglenews.ph/philips-settles-us-sleep-machine-cases-for-1-1-billion/,https://www.eaglenews.ph/nestle-denies-double-standard-on-baby-food-in-poorer-countries/,https://www.eaglenews.ph/japan-anime-studio-draws-on-talent-of-autistic-artists/,https://www.eaglenews.ph/use-of-alcohol-and-e-cigarettes-among-youth-alarming-who/,https://www.eaglenews.ph/bird-flu-viral-fragments-found-in-pasteurized-milk-us-officials/,https://www.eaglenews.ph/a-healthy-addiction-sea-saunas-make-waves-in-ireland/,https://www.eaglenews.ph/h5n1-strain-of-bird-flu-found-in-milk-who/,https://www.eaglenews.ph/japan-doctors-sue-google-maps-over-punching-bag-reviews/,https://www.eaglenews.ph/human-cases-of-bird-flu-an-enormous-concern-who/","Sweden orders review after ‘explosion’ of ADHD cases,First patient to get gene-edited pig kidney transplant dies,WHO says US keeping them updated on bird flu outbreak,Philips settles US sleep machine cases for $1.1 billion,Nestle denies ‘double standard’ on baby food in poorer countries,Japan anime studio draws on talent of autistic artists,Use of alcohol and e-cigarettes among youth ‘alarming’: WHO,Bird flu viral fragments found in pasteurized milk: US officials,A ‘healthy addiction’: sea saunas make waves in Ireland,H5N1 strain of bird flu found in milk: WHO,Japan doctors sue Google Maps over ‘punching bag’ reviews,Human cases of bird flu ‘an enormous concern’: WHO"
"https://www.eaglenews.ph/womens-bodies-being-turned-into-battlegrounds-un/,https://www.eaglenews.ph/asia-pacific-gets-new-weapon-in-fight-against-drug-resistant-tb/,https://www.eaglenews.ph/diabetes-drug-shows-promise-against-parkinsons-in-clinical-study/,https://www.eaglenews.ph/how-period-tracking-could-boost-performance-of-female-olympians/,https://www.eaglenews.ph/japan-dietary-supplement-maker-probes-five-deaths/,https://www.eaglenews.ph/nations-fail-to-reach-pandemic-accord-talks-to-resume-april/,https://www.eaglenews.ph/japan-drugmaker-reports-two-more-deaths-in-supplement-scare/,https://www.eaglenews.ph/latin-america-caribbean-set-for-record-dengue-season/,https://www.eaglenews.ph/almost-one-child-in-six-is-cyberbullied-who-europe/,https://www.eaglenews.ph/japan-drugmaker-reports-death-after-health-supplement-recall/,https://www.eaglenews.ph/10-key-dates-on-the-path-to-a-pandemic-accord/,https://www.eaglenews.ph/un-warns-against-thirsty-tech-to-solve-water-crisis/","Women’s bodies being turned into ‘battlegrounds’: UN,Asia-Pacific gets new weapon in fight against drug-resistant TB,Diabetes drug shows promise against Parkinson’s in clinical study,How period tracking could boost performance of female Olympians,Japan dietary supplement maker probes five deaths,Nations fail to reach pandemic accord: talks to resume April,Japan drugmaker reports two more deaths in supplement scare,Latin America, Caribbean set for record dengue season,Almost one child in six is cyberbullied: WHO Europe,Japan drugmaker reports death after health supplement recall,10 key dates on the path to a pandemic accord,UN warns against thirsty tech to solve water crisis"
"https://www.eaglenews.ph/us-surgeons-transplant-pig-kidney-to-live-patient-in-world-first/,https://www.eaglenews.ph/neuralink-shows-quadriplegic-playing-chess-with-brain-implant-2/,https://www.eaglenews.ph/the-search-to-discover-why-outliers-survive-deadliest-cancers/,https://www.eaglenews.ph/how-genetic-therapies-transformed-the-lives-of-sickle-cell-patients/,https://www.eaglenews.ph/surging-nervous-system-disorders-now-top-cause-of-illness-study/,https://www.eaglenews.ph/man-in-iron-lung-dead-at-78-family/,https://www.eaglenews.ph/whale-menopause-sheds-light-on-human-evolutionary-mystery/,https://www.eaglenews.ph/mourners-gather-as-liberia-approaches-decade-since-ebola-outbreak/,https://www.eaglenews.ph/covid-lowered-life-expectancy-by-1-6-years-worldwide-study/,https://www.eaglenews.ph/s-korea-starts-process-to-suspend-licences-of-4900-striking-doctors/,https://www.eaglenews.ph/few-women-know-alcohol-linked-to-breast-cancer-who-europe/,https://www.eaglenews.ph/quit-medicine-for-farming-south-korean-doctors-speak-out/","US surgeons transplant pig kidney to live patient in world first,Neuralink shows quadriplegic playing chess with brain implant,The search to discover why ‘outliers’ survive deadliest cancers,How genetic therapies transformed the lives of sickle cell patients,Surging nervous system disorders now top cause of illness: study,‘Man in iron lung’ dead at 78: family,Whale menopause sheds light on human evolutionary mystery,Mourners gather as Liberia approaches decade since Ebola outbreak,Covid lowered life expectancy by 1.6 years worldwide: study,S. Korea starts process to suspend licences of 4,900 striking doctors,Few women know alcohol linked to breast cancer: WHO Europe,Quit medicine for farming? South Korean doctors speak out"
"https://www.eaglenews.ph/meningitis-kills-20-nigerian-school-students/,https://www.eaglenews.ph/singapore-offers-payouts-to-retain-nurses/,https://www.eaglenews.ph/bangkok-says-work-from-home-as-pollution-blankets-city/,https://www.eaglenews.ph/first-child-cured-of-rare-brain-tumour-offers-real-hope/,https://www.eaglenews.ph/us-officials-confirm-rare-human-case-of-bubonic-plague/,https://www.eaglenews.ph/brazil-on-dengue-fever-alert/,https://www.eaglenews.ph/thai-government-says-will-ban-recreational-cannabis-use/,https://www.eaglenews.ph/child-pneumonia-spikes-in-pakistans-smoggy-winter/,https://www.eaglenews.ph/five-key-facts-about-cancer/,https://www.eaglenews.ph/new-cancer-cases-to-soar-77-by-2050-who/,https://www.eaglenews.ph/more-than-one-billion-now-afflicted-by-obesity-lancet/,https://www.eaglenews.ph/ukraine-women-fear-premature-birth-at-frontline-hospital/","Meningitis kills 20 Nigerian school students,Singapore offers payouts to retain nurses,Bangkok says work from home as pollution blankets city,First child cured of rare brain tumour ‘offers real hope’,US officials confirm rare human case of bubonic plague,Brazil on dengue fever alert,Thai government says will ban recreational cannabis use,Child pneumonia spikes in Pakistan’s smoggy winter,Five key facts about cancer,New cancer cases to soar 77% by 2050: WHO,More than one billion now afflicted by obesity: Lancet,Ukraine women fear premature birth at frontline hospital"
"https://www.eaglenews.ph/prehistoric-chewing-gum-sheds-light-on-stone-age-diet/,https://www.eaglenews.ph/deaf-boy-can-now-hear-after-breakthrough-gene-treatment/,https://www.eaglenews.ph/who-coordinator-describes-gaza-hospitals-in-rapid-deterioration/,https://www.eaglenews.ph/madrid-wants-masks-worn-in-hospitals-as-viruses-surge/,https://www.eaglenews.ph/doctors-in-england-start-longest-strike-in-nhs-history/,https://www.eaglenews.ph/a-whiff-of-tears-reduces-male-aggression-says-study/,https://www.eaglenews.ph/mapping-bedbugs-s-korean-blockchain-engineer-fights-infestation-with-data/,https://www.eaglenews.ph/failure-in-psychiatric-care-of-paris-attacker-minister/,https://www.eaglenews.ph/life-expectancy-in-the-us-ticks-up-but-remains-below-pre-pandemic-levels/,https://www.eaglenews.ph/australia-to-ban-vape-imports-over-child-addiction-concerns/,https://www.eaglenews.ph/uk-confirms-first-human-case-of-swine-flu-strain-h1n2/,https://www.eaglenews.ph/china-reports-no-unusual-or-novel-pathogens-in-respiratory-illnesses-upsurge/","Prehistoric ‘chewing gum’ sheds light on Stone Age diet,Deaf boy can now hear after breakthrough gene treatment,WHO coordinator describes Gaza hospitals in ‘rapid deterioration’,Madrid wants masks worn in hospitals as viruses surge,Doctors in England start longest strike in NHS history,A whiff of tears reduces male aggression, says study,Mapping bedbugs: S. Korean blockchain engineer fights infestation with data,‘Failure’ in psychiatric care of Paris attacker: minister,Life expectancy in the US ticks up, but remains below pre-pandemic levels,Australia to ban vape imports over child addiction concerns,UK confirms first human case of swine flu strain H1N2,China reports no ‘unusual or novel pathogens’ in respiratory illnesses upsurge"
"https://www.eaglenews.ph/who-asks-china-for-more-data-on-respiratory-illness/,https://www.eaglenews.ph/ai-use-in-mozambique-jails-spawns-new-hope-in-tb-fight/,https://www.eaglenews.ph/us-approves-first-vaccine-against-chikungunya-virus-drug-regulator/,https://www.eaglenews.ph/rare-aid-delivery-reaches-al-shifa-hospital-in-gaza-city-un/,https://www.eaglenews.ph/us-officials-warn-of-dramatic-rise-in-infant-syphilis/,https://www.eaglenews.ph/why-sweden-going-smoke-free-may-not-be-such-good-snus/,https://www.eaglenews.ph/climate-change-and-filthy-water-drive-disease-in-iraq/,https://www.eaglenews.ph/meta-sued-over-child-mental-health-concerns/,https://www.eaglenews.ph/bird-flu-detected-in-antarctica-region-for-first-time/,https://www.eaglenews.ph/philippines-health-insurer-hacked-what-we-know/,https://www.eaglenews.ph/popular-weight-loss-drugs-linked-to-higher-risk-of-stomach-paralysis-pancreatitis-bowel-obstruction/,https://www.eaglenews.ph/un-one-in-10-babies-worldwide-born-preterm-with-risks-of-complications/","WHO asks China for more data on respiratory illness,AI use in Mozambique jails spawns new hope in TB fight,US approves first vaccine against chikungunya virus: drug regulator,Rare aid delivery reaches Al-Shifa hospital in Gaza City: UN,US officials warn of dramatic rise in infant syphilis,Why Sweden going smoke-free may not be such good ‘snus’,Climate change and filthy water drive disease in Iraq,US states accuse Meta of profiting ‘from children’s pain’,Bird flu detected in Antarctica region for first time,Philippines health insurer hacked: What we know,Popular weight loss drugs linked to higher risk of stomach paralysis, pancreatitis, bowel obstruction,UN: One in 10 babies worldwide born preterm, with risks of complications"
"https://www.eaglenews.ph/climate-change-worsens-bangladesh-dengue-outbreak-with-record-deaths/,https://www.eaglenews.ph/france-to-hold-crisis-meetings-on-bedbug-scourge/,https://www.eaglenews.ph/nobel-winning-mrna-pioneer-weissman-now-wants-to-defeat-covid-forever/,https://www.eaglenews.ph/bangladesh-dengue-deaths-top-1000-in-worst-outbreak-on-record/,https://www.eaglenews.ph/recent-winners-of-the-nobel-medicine-prize/,https://www.eaglenews.ph/narcolepsy-cancer-tipped-as-medicine-prize-opens-nobel-week/,https://www.eaglenews.ph/anti-covid-drug-may-have-led-to-virus-mutations-study/,https://www.eaglenews.ph/s-african-chickens-hit-by-worst-bird-flu-outbreak/,https://www.eaglenews.ph/air-pollution-from-fires-hits-worlds-poorest-hardest-study/,https://www.eaglenews.ph/avian-flu-hits-bird-paradise-of-galapagos-islands/,https://www.eaglenews.ph/indias-nipah-virus-outbreak-what-do-we-know-so-far/,https://www.eaglenews.ph/immunologist-wins-breakthrough-prize-for-innovative-cancer-treatment/","Climate change worsens Bangladesh dengue outbreak, with record deaths,France to hold crisis meetings on bedbug ‘scourge’,Nobel-winning mRNA pioneer Weissman now wants to defeat Covid forever,Bangladesh dengue deaths top 1,000 in worst outbreak on record,Recent winners of the Nobel Medicine Prize,Narcolepsy, cancer tipped as Medicine Prize opens Nobel week,Anti-Covid drug may have led to virus mutations: study,S.African chickens hit by ‘worst’ bird flu outbreak,Air pollution from fires hits world’s poorest hardest: study,Avian flu hits bird paradise of Galapagos Islands,India’s Nipah virus outbreak: what do we know so far?,Immunologist wins ‘Breakthrough Prize’ for innovative cancer treatment"
"https://www.eaglenews.ph/us-surgeons-report-longest-successful-pig-to-human-kidney-transplant/,https://www.eaglenews.ph/france-goes-a-bit-veggie-for-olympics/,https://www.eaglenews.ph/covids-back-heres-what-to-know-this-fall-and-winter/,https://www.eaglenews.ph/lead-poisoning-causes-far-more-death-iq-loss-than-thought-study/,https://www.eaglenews.ph/countries-block-swedish-pork-over-swine-fever-outbreak/,https://www.eaglenews.ph/scientists-grow-human-like-kidneys-in-pigs/,https://www.eaglenews.ph/eu-drug-watchdog-approves-updated-pfizer-covid-jab/,https://www.eaglenews.ph/brain-implants-provide-hope-for-those-unable-to-speak/,https://www.eaglenews.ph/us-surgeons-say-pig-kidney-functional-in-human-for-more-than-a-month/,https://www.eaglenews.ph/us-court-restricts-access-to-abortion-pill-ruling-on-hold/,https://www.eaglenews.ph/cyprus-cats-to-get-covid-meds/,https://www.eaglenews.ph/medical-journals-warn-of-growing-nuclear-weapon-threat/","US surgeons report longest successful pig-to-human kidney transplant,France goes (a bit) veggie for Olympics,Covid’s back: Here’s what to know this fall and winter,Lead poisoning causes far more death, IQ loss than thought: study,Countries block Swedish pork over swine fever outbreak,Scientists grow human-like kidneys in pigs,EU drug watchdog approves updated Pfizer Covid jab,Brain implants provide hope for those unable to speak,US surgeons say pig kidney functional in human for more than a month,US court restricts access to abortion pill, ruling on hold,Cyprus cats to get Covid meds,Medical journals warn of ‘growing’ nuclear weapon threat"
"https://www.eaglenews.ph/croatia-targets-latest-climate-change-threat-mosquitoes/,https://www.eaglenews.ph/doctors-walk-out-in-uk-health-services-biggest-strike/,https://www.eaglenews.ph/us-makes-new-alzheimers-drug-more-widely-accessible/,https://www.eaglenews.ph/who-announces-18-mn-malaria-jab-doses-for-12-african-nations/,https://www.eaglenews.ph/study-highlights-limitations-of-bmi-in-predicting-death/,https://www.eaglenews.ph/britains-public-health-service-at-75-on-life-support/,https://www.eaglenews.ph/diabetes-cases-to-double-to-1-3-billion-by-2050-study/,https://www.eaglenews.ph/night-owls-die-earlier-due-to-drinking-and-smoking-study/,https://www.eaglenews.ph/positive-results-for-potential-first-chikungunya-vaccine/,https://www.eaglenews.ph/cheap-diabetes-drug-reduces-risk-of-long-covid-study/,https://www.eaglenews.ph/eu-approves-first-vaccine-against-common-respiratory-virus/,https://www.eaglenews.ph/treatment-found-to-reduce-progression-of-rare-blood-cancer-by-74/","Croatia targets latest climate-change threat: mosquitoes,Doctors walk out in UK health service’s biggest strike,US makes new Alzheimer’s drug more widely accessible,WHO announces 18 mn malaria jab doses for 12 African nations,Study highlights limitations of BMI in predicting death,Britain’s public health service at 75: on life support?,Diabetes cases to double to 1.3 billion by 2050: study,Night owls die earlier due to drinking and smoking: study,Positive results for potential first chikungunya vaccine,Cheap diabetes drug reduces risk of long Covid: study,EU approves first vaccine against common respiratory virus,Treatment found to reduce progression of rare blood cancer by 74%"
