link,title,annotation
h,Z,1
t,i,1
t,m,1
p,b,1
s,a,1
:,b,1
/,w,1
/,e,1
w, ,1
w,r,1
w,e,1
.,p,1
e,o,1
a,r,1
g,t,1
l,s,1
e, ,1
n,f,1
e,i,1
w,r,1
s,s,1
.,t,1
p, ,1
h,t,1
/,w,1
z,o,1
i, ,1
m,m,1
b,p,1
a,o,1
b,x,1
w, ,1
e,c,1
-,a,1
r,s,1
e,e,1
p,s,1
o, ,1
r,o,1
t,f,1
s, ,1
-,u,1
f,n,1
i,s,1
r,p,1
s,e,1
t,c,1
-,i,1
t,f,1
w,i,1
o,e,1
-,d,1
m, ,1
p,v,1
o,a,1
x,r,1
-,i,1
c,a,1
a,n,1
s,t,1
e,",",1
s,C,1
-,u,1
o,b,1
f,a,1
-, ,1
u,f,1
n,a,1
s,c,1
p,e,1
e,s,1
c, ,1
i,u,1
f,p,1
i,h,1
e,i,1
d,l,1
-,l,1
v, ,1
a,b,1
r,a,1
i,t,1
a,t,1
n,l,1
t,e,1
/, ,1
",",a,1
h,s,1
t, ,1
t,O,1
p,r,1
s,o,1
:,p,1
/,o,1
/,u,1
w,c,1
w,h,1
w,e,1
., ,1
e,v,1
a,i,1
g,r,1
l,u,1
e,s,1
n, ,1
e,s,1
w,p,1
s,r,1
.,e,1
p,a,1
h,d,1
/,s,1
c,",",1
u,T,1
b,h,1
a,a,1
-,i,1
f,l,1
a,a,1
c,n,1
e,d,1
s, ,1
-,s,1
u,a,1
p,y,1
h,s,1
i, ,1
l,m,1
l,p,1
-,o,1
b,x,1
a, ,1
t,c,1
t,a,1
l,s,1
e,e,1
-, ,1
a,r,1
s,e,1
-,c,1
o,o,1
r,r,1
o,d,1
p,e,1
o,d,1
u, ,1
c,i,1
h,n,1
e, ,1
-,t,1
v,r,1
i,a,1
r,v,1
u,e,1
s,l,1
-,l,1
s,e,1
p,r,1
r, ,1
e,f,1
a,r,1
d,o,1
s,m,1
/, ,1
",",A,1
h,f,1
t,r,1
t,i,1
p,c,1
s,a,1
:,",",1
/,A,1
/,f,1
w,r,1
w,i,1
w,c,1
.,a,1
e, ,1
a,c,1
g,o,1
l,u,1
e,l,1
n,d,1
e, ,1
w,s,1
s,t,1
.,a,1
p,r,1
h,t,1
/, ,1
t,m,1
h,p,1
a,o,1
i,x,1
l, ,1
a,v,1
n,a,1
d,c,1
-,c,1
s,i,1
a,n,1
y,a,1
s,t,1
-,i,1
m,o,1
p,n,1
o,s,1
x, ,1
-,w,1
c,i,1
a,t,1
s,h,1
e,i,1
-,n,1
r, ,1
e,d,1
c,a,1
o,y,1
r,s,1
d,",",1
e, ,1
d,h,1
-,e,1
i,a,1
n,l,1
-,t,1
t,h,1
r, ,1
a,a,1
v,g,1
e,e,1
l,n,1
l,c,1
e,y,1
r, ,1
-,s,1
f,a,1
r,y,1
o,s,1
m,",",1
-,O,1
a,n,1
f,e,1
r, ,1
i,c,1
c,a,1
a,s,1
/,e,1
",", ,1
h,o,1
t,f,1
t, ,1
p,c,1
s,l,1
:,a,1
/,d,1
/,e,1
w, ,1
w,2,1
w, ,1
.,m,1
e,p,1
a,o,1
g,x,1
l, ,1
e,d,1
n,e,1
e,t,1
w,e,1
s,c,1
.,t,1
p,e,1
h,d,1
/, ,1
a,i,1
f,n,1
r, ,1
i,P,1
c,a,1
a,k,1
-,i,1
c,s,1
o,t,1
u,a,1
l,n,1
d,",",1
-, ,1
s,n,1
t,e,1
a,w,1
r, ,1
t,s,1
-,t,1
m,r,1
p,a,1
o,i,1
x,n,1
-, ,1
v,n,1
a,o,1
c,t,1
c, ,1
i,d,1
n,e,1
a,t,1
t,e,1
i,c,1
o,t,1
n,e,1
s,d,1
-,",",1
w,‘,1
i,H,1
t,o,1
h,n,1
i,g,1
n, ,1
-,K,1
d,o,1
a,n,1
y,g,1
s,’,1
-,s,1
h, ,1
