link,title
https://www.abs-cbn.com/news/nation/2025/5/6/groups-challenge-constitutionality-of-magna-carta-of-filipino-seafarers-1352,Groups challenge constitutionality of Magna Carta of Filipino Seafarers
https://www.abs-cbn.com/news/nation/2025/5/6/wr-numero-s-april-survey-names-15-senate-bets-in-winning-circle-1342,WR Numero's April survey names 15 Senate bets in 'winning circle'
https://www.abs-cbn.com/news/nation/2025/5/6/marcos-orders-probe-on-naia-bollards-after-deadly-crash-1339,Marcos orders probe on NAIA bollards after deadly crash
https://www.abs-cbn.com/news/nation/2025/5/6/city-bus-operators-urge-rethink-of-proposed-4-hour-limit-for-puv-drivers-1210,City bus operators urge rethink of proposed 4-hour limit for PUV drivers
https://www.abs-cbn.com/news/nation/2025/5/6/marcos-to-declare-may-12-2025-as-holiday-for-elections-1149,"May 12, 2025 a holiday for midterm elections: Palace"
https://www.abs-cbn.com/news/nation/2025/5/6/residential-area-sa-las-pi-as-city-nilamon-ng-apoy-1051,"Residential area sa Las Piñas City, nilamon ng apoy"
https://www.abs-cbn.com/news/nation/2025/5/6/7-5m-ballots-now-bound-for-metro-manila-for-halalan2025-0854,7.5M ballots now bound for Metro Manila for #Halalan2025
https://www.abs-cbn.com/news/nation/2025/5/5/-2-oras-niya-ako-binugbog-rep-duterte-s-accuser-recounts-alleged-assault-0155,'2 oras niya ako binugbog': Rep. Duterte's accuser recounts alleged assault
https://www.abs-cbn.com/news/nation/2025/5/5/bayan-muna-reiterates-return-of-funds-to-philhealth-and-pdic-0134,Bayan Muna reiterates return of funds to PhilHealth and PDIC
https://www.abs-cbn.com/news/nation/2025/5/5/lalaking-nangholdap-ng-bangko-sa-taguig-arestado-higit-p7m-muntik-matangay-2306,Lalaking nangholdap ng bangko arestado; higit P7M muntik matangay
https://www.abs-cbn.com/news/nation/2025/5/5/lotto-results-mayo-5-2025-2247,"LOTTO RESULTS: Mayo 5, 2025"
https://www.abs-cbn.com/news/nation/2025/5/5/tv-patrol-5-sugatan-nasa-200-pamilya-nawalan-ng-tirahan-sa-sunog-sa-qc-2132,"TV PATROL: 5 sugatan, nasa 200 pamilya nawalan ng tirahan sa sunog sa QC"
https://www.abs-cbn.com/news/nation/2025/5/5/tv-patrol-mandatory-drug-testing-sa-mga-puv-driver-nais-ipatupad-ng-dotr-2048,TV PATROL: Mandatory drug testing sa mga PUV driver nais ipatupad ng DOTr
https://www.abs-cbn.com/news/nation/2025/5/5/tv-patrol-infinitus-itinangging-kinontrata-ng-chinese-embassy-para-magsilbing-troll-farm-2038,TV PATROL: 'Infinitus' itinangging kinontrata ng Chinese Embassy para magsilbing troll farm
https://www.abs-cbn.com/news/nation/2025/5/5/tv-patrol-sen-bong-go-nangunguna-pa-rin-sa-pinakahuling-pulse-asia-survey-2032,TV PATROL: Sen. Bong Go nangunguna pa rin sa pinakahuling Pulse Asia survey
https://www.abs-cbn.com/news/nation/2025/5/5/tv-patrol-kasong-administratibo-ng-vlogger-cop-tatalakayin-ng-napolcom-2028,TV PATROL: Kasong administratibo ng 'vlogger cop' tatalakayin ng NAPOLCOM
