link,title,content,author,date
https://www.rappler.com/science/life-health/oxford-covid-vaccine-produces-strong-immune-response-after-third-booster-shot/,Oxford COVID vaccine produces strong immune response after 3rd booster shot – study,"A third shot of the Oxford-AstraZeneca COVID-19 vaccine produces a strong immune response, researchers said on Monday, June 28, adding there was not yet evidence that such shots were needed, especially given shortages in some countries.
The Oxford University study found that a third dose of the vaccine increases antibody and T-cell immune responses, while the second dose can be delayed up to 45 weeks and also lead to an enhanced immune response.
The British government has said it is looking at plans for an autumn vaccine booster campaign, with three-fifths of adults already having received both doses of a COVID vaccine.
Andrew Pollard, director of the Oxford Vaccine Group, said that evidence that the vaccine protects against current variants for a sustained period of time meant that such a booster may not be needed.
“We do have to be in a position where we could boost if it turned out that was necessary … (but) we don’t have any evidence that that is required,” he told reporters.
“At this point with a high level of protection in the UK population and no evidence of that being lost, to give third doses now in the UK whilst other countries have zero doses is not acceptable.”
Studies had previously shown that the shot, invented at Oxford University and licensed to AstraZeneca has higher efficacy when the second dose is delayed to 12 weeks instead of 4 weeks.
Monday’s research was released in a preprint, and looked at 30 participants who received a late second dose and 90 who received a third dose, all of whom were under 55.
It helps assuage concerns that viral vector COVID vaccines, such as those made by AstraZeneca and Johnson & Johnson, may lose their potency if annual inoculations are needed due to the risk that the body produces an immune response against the vectors that deliver the vaccine’s genetic information.
“There had been some concerns that we would not be able to use this vaccine in a booster vaccination regime, and that’s certainly not what the data is suggesting,” study author Teresa Lambe of Oxford’s Jenner Institute told Reuters.",Reuters,"Jun 28, 2021 8:10 PM PHT"
https://www.rappler.com/world/asia-pacific/indonesia-recommends-sinovac-vaccine-for-children-aged-12-17/,Indonesia recommends Sinovac vaccine for children aged 12-17,"Indonesia’s food and drug agency has recommended the COVID-19 vaccine made by China’s Sinovac Biotech for children aged 12-17, the country’s COVID-19 task force said, as the country seeks to extend inoculations amid a surge in infections.
Indonesia has reported record daily rises in cases of more than 20,000 recently after the emergence of virus variants and travel after the Muslim fasting month has helped drive a new wave of infections.
Task force spokesman Wiku Adisasmito welcomed the food and drug agency’s (BPOM) recommendation and said “the government invites the people to still wait for the issuance of emergency use approval from BPOM.”
Penny K. Lukito, the head of BPOM, did not immediately respond to a request for comment on the timing of such a ruling.
Indonesia has been using Sinovac as the main plank for its vaccination program after receiving about 94 million doses, while it has received about 10 million made by AstraZeneca and Sinopharm.
Task force data shows children aged 0-18 account for 12.6% of Indonesia’s total COVID-19 infections.
The World Health Organization (WHO) approved emergency use of Sinovac’s vaccine this month, saying results showed it prevented symptomatic disease in 51% of recipients and prevented severe COVID-19 and hospital stays.
The Southeast Asian country is under pressure to speed up vaccinations with hospitals in several designated “red zone” reporting overcapacity and with 93% of isolation beds in Jakarta occupied as of Sunday, June 27.
Indonesia reported it had given 1.3 million vaccine shots on Saturday, the highest daily count since the program began in January. About 13.18 million people have received both shots as of Monday, government data showed.",Reuters,"Jun 28, 2021 7:24 PM PHT"
https://www.rappler.com/science/life-health/covid-19-vaccines-why-important-get-second-dose/,COVID-19 vaccines: Why it’s important you get your 2nd dose,"Vaccination is the safest way to gain immunity to the coronavirus, and with most COVID-19 vaccines, you need two doses to get the greatest possible protection.
Immunologists call this method of giving people multiple doses “prime-boosting.” Essentially, you first teach the immune system what it is looking for – you prime it with the first vaccination. Then, after the immune system has had time to respond to the priming, it is challenged again. The immune response learned the first time is boosted when put into practice on the second exposure.
Most (though not all) vaccines – COVID-19 or otherwise – use prime-boosting to maximize protection. Some even require further doses. This is because immunity can wane over time or, as is the case with the flu vaccine, the virus that causes the disease can change so that the original vaccine no longer provides good protection.
With COVID-19, we have strong evidence that taking a second dose increases your defense against the disease. Despite this, one in 40 people in the UK who have had a first dose don’t seem to be getting their second. In the US, there have been reports of millions of people skipping their second doses. In doing so, these people are endangering their health.
The benefits of prime-boosting with COVID-19 vaccines were initially seen in clinical trials. Early studies of the currently approved COVID-19 vaccines compared the immune responses in people who received one or two vaccine doses. Results showed that after the second dose, people had higher amounts of antibodies to fight the virus, indicating that taking more than one dose would probably increase vaccine effectiveness.
Larger clinical trials then continued with this prime-boosting regimen. With the Pfizer/BioNTech vaccine, protection against symptomatic COVID-19 was found to be 52% from 12 days after the first dose (immunity takes time to build). Protection then rose to 95% after the second dose.
With the Oxford/AstraZeneca vaccine, protection against symptomatic COVID-19 from 22 days after the first dose was estimated to be 76%. When a second dose was given 12 weeks after the first, it raised protection to 81%.
With the rollout of COVID-19 vaccines across many countries worldwide, we’re now getting real-world data that confirms the benefits of prime-boosting that were recorded in trials. A recent British preprint – a piece of research not yet reviewed by other scientists – found that from 21 days after the first vaccine dose, coronavirus infections were reduced by 66% in people receiving the Pfizer/BioNTech vaccine and by 61% in those taking the Oxford/AstraZeneca vaccine. But in people who had also taken second doses, these reductions then fell further to 80% and 79% respectively.
There’s also now an extra reason you should get your second dose: new coronavirus variants of concern. These are forms of the coronavirus that have genetic mutations that may make them more transmissible, less susceptible to the protective effects of vaccines, harder to detect, or cause more severe disease.
From late 2020, the UK struggled against the Alpha variant, a more transmissible form of the virus that became dominant over winter. This variant has since been out-competed by the Delta variant, an even more transmissible form of the virus that is now dominant instead.
A new lab-based study suggests that the Pfizer/BioNTech vaccine provides protection against currently circulating variants, including Alpha and Delta. However, it also found that after only one dose, the ability of the vaccine to combat different variants varies significantly.
The scientists investigated the antibody responses of 250 people vaccinated with the Pfizer/BioNTech vaccine against five variants of the coronavirus, including the original “wild type” that spread in early 2020 as well as the Alpha and Delta variants and several other forms. After the first and second dose, the researchers looked to see whether people had antibodies able to prevent infection – called neutralizing antibodies – for these different forms of the virus.
In individuals who had received only one dose of the vaccine, neutralizing antibody levels for the Delta variant were significantly lower than for the Alpha variant. That is to say, the research suggested that a single dose might still afford more protection than no vaccination, but that people who had only had a single dose would be less well protected than they were before the Delta variant had emerged.
Critically, these laboratory results appear to be reflected in the real world. A preprint from Public Health England suggests that after one dose, the Pfizer/BioNTech and Oxford/AstraZeneca vaccines are 50% protective against symptomatic disease caused by the Alpha variant but only 33% protective against the Delta variant. To stress, against the newly dominant variant in the UK, a single vaccine dose is less likely to stop you from getting ill.
Yet after two doses of the Pfizer/BioNTech vaccine, the paper suggests protection against symptomatic COVID-19 rises to 93% against the Alpha variant and 88% for the Delta variant. The Oxford/AstraZeneca vaccine also sees a lift: after a second dose it’s 66% protective against Alpha and 60% effective against Delta.
The importance of having two doses is even more evident when looking at hospitalization rates for COVID-19. Another recent preprint from Public Health England suggests that protection against needing hospital treatment for COVID-19 caused by the Delta variant goes up from 94% with one dose to 96% with two doses of the Pfizer/BioNTech vaccine. The difference is even more marked for the Oxford/AstraZeneca vaccine, with protection rising from 71% to 92% with a second dose.
Although these findings are yet to be formally published, the evidence is strong that getting a second vaccine dose raises your protection against getting ill and developing serious illness. Meanwhile, the new dominance of the Delta variant has also made the lower protection offered by a single dose even lower than it was before. Making that second trip to the vaccine clinic is therefore critically important. – The Conversation|Rappler.com
Rebecca Aicheler is a senior lecturer in Immunology, Cardiff Metropolitan University.
This piece was originally published in The Conversation.
Loved this read? Keep stories like this going. Support independent journalism with Rappler+.
Got comments, questions, or insights about this story? Download the Rappler Communities app for iOS, Android, or web, tap the Community tab, and join any of our chat rooms. See you there!",Rebecca Aicheler,"Jun 28, 2021 8:58 AM PHT"
https://www.rappler.com/world/us-canada/johnson-johnson-pay-opioid-settlement-avoid-trial/,"J&J to pay $263 million in New York opioid settlements, avoids trial","Johnson & Johnson said on Saturday, June 26, it will pay $263 million to resolve claims it fueled an opioid epidemic in New York state and two of its largest counties.
The settlements remove the drugmaker from a jury trial scheduled to begin on Tuesday, June 29, on Long Island, where several big opioid makers and distributors are also defendants.
Johnson & Johnson did not admit liability or wrongdoing in settling with New York state, and with Nassau and Suffolk counties. The $229.9 million state settlement also calls for J&J to stop selling the painkillers nationwide.
“The opioid epidemic has wreaked havoc” across the nation, New York Attorney General Letitia James said in a statement. “Johnson & Johnson helped fuel this fire.”
She said her focus remains “getting funds into communities devastated by opioids as quickly as possible.”
J&J said the settlements were consistent with its prior agreement to pay $5 billion to settle opioid claims by states, cities, counties, and tribal governments nationwide.
The healthcare company and the largest US drug distributors – AmerisourceBergen Corp., Cardinal Health Inc., and McKesson Corp. – have proposed paying a combined $26 billion to end thousands of opioid lawsuits.
J&J has also been appealing an Oklahoma judge’s 2019 ruling that the New Brunswick, New Jersey-based company pay that state $465 million for its deceptive marketing of opioids.
Tuesday’s opioids trial is one of several scheduled for this year, with others underway in California and West Virginia.
Drugmakers AbbVie Inc. and Teva Pharmaceutical Industries Ltd. and several distributors are among the defendants. Pharmacy chain Walgreens Boots Alliance Inc. is also a defendant, though it was sued only by the counties.
Walmart Inc., Rite Aid Corp., and CVS Health Corp. were severed from the trial during jury selection. CVS has settled with Nassau and Suffolk counties. Settlement terms have not been disclosed.
The US Centers for Disease Control and Prevention has said nearly 500,000 people died from opioid overdoses from 1999 to 2019.",Reuters,"Jun 26, 2021 11:51 PM PHT"
https://www.rappler.com/science/life-health/study-covid-19-china-origin-estimates/,First COVID-19 case could have emerged in China in October 2019 – study,"The virus that causes COVID-19 could have started spreading in China as early as October 2019, two months before the first case was identified in the central city of Wuhan, a new study showed on Friday, June 25.
Researchers from Britain’s University of Kent used methods from conservation science to estimate that SARS-CoV-2 first appeared from early October to mid-November 2019, according to a paper published in the PLOS Pathogens journal.
The most likely date for the virus’s emergence was Nov. 17, 2019, and it had probably already spread globally by January 2020, they estimated.
China’s first official COVID-19 case was in December 2019 and was linked to Wuhan’s Huanan seafood market.
However, some early cases had no known connection with Huanan, implying that SARS-CoV-2 was already circulating before it reached the market.
A joint study published by China and the World Health Organization at the end of March acknowledged there could have been sporadic human infections before the Wuhan outbreak.
In a paper released in preprint form this week, Jesse Bloom of the Fred Hutchinson Cancer Research Center in Seattle recovered deleted sequencing data from early COVID-19 cases in China.
The data showed that samples taken from the Huanan market were “not representative” of SARS-CoV-2 as a whole, and were a variant of a progenitor sequence circulating earlier, which spread to other parts of China.
The US National Institutes of Health confirmed to Reuters that the samples used in the study were submitted to the Sequence Read Archive (SRA) in March 2020 and later deleted at the request of Chinese investigators, who said they would be updated and submitted to another archive.
Critics said the deletion was further evidence that China was trying to cover up the origins of COVID-19.
“Why would scientists ask international databases to delete key data that informs us about how COVID-19 began in Wuhan?” said Alina Chan, a researcher with Harvard’s Broad Institute, writing on Twitter.
Another study by Australian scientists, published on Thursday in the Scientific Reports journal, used genomic data to show SARS-CoV-2 binds to human receptors far more easily than other species, suggesting it was already adapted to humans when it first emerged.
It said it was possible there was another unidentified animal with even stronger affinity that served as an intermediary species, but the hypothesis that it leaked from the lab could not be ruled out.
“While it is clear early viruses had a high propensity for human receptors, that doesn’t mean they were ‘man-made’,” said Dominic Dwyer, infectious disease expert at Australia’s Westmead Hospital who was part of the WHO team investigating COVID-19 in Wuhan this year.
“Such conclusions remain speculative,” he said.
Serum samples still needed to be tested to make a stronger case about COVID-19’s origins, said Stuart Turville, associate professor at the Kirby Institute, an Australian medical research organisation who was responding to the University of Kent study.
“Unfortunately with the current pressure of the lab leak hypothesis and the sensitivities in doing this follow-up research in China, it may be some time till we see reports like that,” he said.",Reuters,"Jun 25, 2021 12:22 PM PHT"
https://www.rappler.com/science/life-health/who-estimates-covid-19-boosters-needed-yearly-most-vulnerable/,WHO estimates COVID-19 boosters needed yearly for most vulnerable,"The World Health Organization (WHO) forecasts that people most vulnerable to COVID-19, such as the elderly, will need to get an annual vaccine booster to be protected against variants, an internal document seen by Reuters shows.
The estimate is included in a report, which is to be discussed at a board meeting of Gavi, a vaccine alliance that co-leads the WHO’s COVID-19 vaccine program COVAX. The forecast is subject to changes and is also paired with two other less likely scenarios.
Vaccine makers Moderna Inc and Pfizer Inc, with its German partner BioNTech, have been vocal in their view that the world will soon need booster shots to maintain high levels of immunity, but the evidence for this is still unclear.
The document shows that the WHO considers annual boosters for high-risk individuals as its “indicative” baseline scenario, and boosters every two years for the general population.
It does not say how these conclusions were reached, but shows that under the base scenario new variants would continue to emerge and vaccines would be regularly updated to meet these threats.
The UN agency declined to comment on the content of the internal document.
A spokesperson for Gavi said COVAX was planning to take a wide range of scenarios into consideration.
The document, which is dated June 8 and is still a “work in progress,” also predicts under the base case that 12 billion COVID-19 vaccine doses will be produced globally next year.
That would be slightly higher than the forecast of 11 billion doses for this year cited by the International Federation of Pharmaceutical Manufacturers & Associations (IFPMA), signaling that the UN agency does not expect a significant ramp-up of vaccine production in 2022.
The document predicts manufacturing problems, regulatory approval issues and “transition away from some technology platforms” as potential drags on supplies next year.
It does not signal which technologies could be phased out, but the European Union, which has reserved the world’s largest volume of COVID-19 vaccines, has bet heavily on shots using messenger RNA (mRNA) technology, such as those by Pfizer and Moderna, and has forgone some purchases of viral vector vaccines from AstraZeneca Plc and Johnson & Johnson.
The scenarios will be used to define the WHO’s global vaccination strategy and the forecasts may change as new data emerges on the role of boosters and the duration of vaccine protection, Gavi says in another document, also seen by Reuters.
So far about 2.5 billion doses have been administered worldwide, mostly in rich countries where over half of the population has received at least one dose, whereas in many poorer countries less than 1% has been vaccinated, according to Gavi’s estimates.
This gap could widen next year under the WHO’s most pessimistic forecast, as the need for annual boosters could once again push poorer nations to the back of the queue.
In its worst-case scenario, the UN agency says production would be 6 billion doses next year, due to stringent regulation for new shots and manufacturing issues with existing ones.
That could be compounded by the need for annual boosters for the entire world, and not just the most vulnerable, to combat variants and limited duration of protection.
In the more optimistic situation, all vaccines in the pipeline would get authorised and production capacity would ramp up to about 16 billion doses to meet demand. Vaccines would also be shared equitably across the world.
There would be no need for boosters as vaccines would show strong efficacy against variants and long protection.",Reuters,"Jun 25, 2021 8:47 AM PHT"
https://www.rappler.com/world/global-affairs/explainer-things-to-know-about-delta-variant-coronavirus/,EXPLAINER: What is the Delta variant of coronavirus with K417N mutation?,"India said on Wednesday, June 23, it has found around 40 cases of the Delta coronavirus variant carrying a mutation that appears to make it more transmissible, and advised states to increase testing.
Below is what we know about the variant.
The variant, called “Delta Plus” in India, was first reported in a Public Health England bulletin  on June 11.
It is a sub-lineage of the Delta variant first detected in India and has acquired the spike protein mutation called K417N which is also found in the Beta variant first identified in South Africa.
Some scientists worry that the mutation, coupled with other existing features of the Delta variant, could make it more transmissible.
“The mutation K417N has been of interest as it is present in the Beta variant (B.1.351 lineage), which was reported to have immune evasion property,” India’s health ministry said in a statement.
Shahid Jameel, a top Indian virologist, said the K417N was known to reduce the effectiveness of a cocktail of therapeutic monoclonal antibodies.
As of June 16 , at least 197 cases has been found from 11 countries – Britain (36), Canada (1), India (8), Japan (15), Nepal (3), Poland (9), Portugal (22), Russia (1), Switzerland (18), Turkey (1), the United States (83).
India said on Wednesday around 40 cases of the variant have been observed in the states of Maharashtra, Kerala and Madhya Pradesh, with “no significant increase in prevalence”. The earliest case in India is from a sample taken on April 5.
Britain said its first 5 cases were sequenced on April 26 and they were contacts of individuals who had travelled from, or transited through, Nepal and Turkey.
No deaths were reported among the UK and Indian cases.
Studies are ongoing in India and globally to test the effectiveness of vaccines against this mutation.
“WHO is tracking this variant as part of the Delta variant, as we are doing for other Variants of Concern with additional mutations,” the World Health Organization (WHO) said in a statement sent to Reuters.
“For the moment, this variant does not seem to be common, currently accounting for only a small fraction of the Delta sequences … Delta and other circulating Variants of Concern remain a higher public health risk as they have demonstrated increases in transmission,” it said.
But India’s health ministry warned that regions where it has been found “may need to enhance their public health response by focusing on surveillance, enhanced testing, quick contact-tracing and priority vaccination.”
There are worries Delta Plus would inflict another wave of infections on India after it emerged from the world’s worst surge in cases only recently.
“The mutation itself may not lead to a third wave in India – that also depends on COVID-appropriate behaviour, but it could be one of the reasons,” said Tarun Bhatnagar, a scientist with the state-run Indian Council for Medical Research.",Reuters,"Jun 24, 2021 12:16 AM PHT"
https://www.rappler.com/science/life-health/study-astrazeneca-pfizer-vaccines-effective-delta-covid-19-variants/,"AstraZeneca, Pfizer vaccines effective vs Delta COVID-19 variants – study","COVID-19 vaccines made by AstraZeneca and the Pfizer-BioNTech alliance remain broadly effective against Delta and Kappa variants of the COVID-19 causing virus, which were first identified in India, according to a scientific study, underpinning a continued push to deliver the shots.
The study by Oxford University researchers, published in the journal Cell, investigated the ability of antibodies in the blood from people, who were vaccinated with the two-shot regimens, to neutralize the highly contagious Delta and Kappa variants, a statement said.
“There is no evidence of widespread escape suggesting that the current generation of vaccines will provide protection against the B1617 lineage,” the paper said, referring to the Delta and Kappa variants by a commonly used code.
However, the concentration of neutralizing antibodies in the blood was somewhat reduced, which may lead to some breakthrough infections, they cautioned.
Last week, an analysis by the Public Health England (PHE) showed that vaccines made by Pfizer Inc and AstraZeneca offer high protection of more than 90% against hospitalization from the Delta variant.
“We are encouraged to see the non-clinical results published from Oxford and these data, alongside the recent early real-world analysis from Public Health England, provide us with a positive indication that our vaccine can have significant impact against the Delta variant,” AstraZeneca executive Mene Pangalos said in a separate statement.
The Delta variant is becoming the globally dominant version of the disease, the World Health Organization’s chief scientist said on Friday, June 18.
The Oxford researchers also analyzed reinfection patterns in people who had previously had COVID-19. The risk of reinfection with the Delta variant appeared particularly high in individuals previously infected by the Beta and Gamma lineages that emerged in South Africa and Brazil, respectively.
By contrast, previous infection with the Alpha, or B117, variant first detected in Britain, conferred “reasonable” cross-protection against all variants of concern, lending itself as a template that next-generation vaccines could be molded on.
“B117 might be a candidate for new variant vaccines to provide the broadest protection,” the researchers said.",Reuters,"Jun 23, 2021 6:04 PM PHT"
https://www.rappler.com/world/global-affairs/global-herd-immunity-out-of-reach-inequitable-vaccine-distribution/,Global herd immunity remains out of reach because of inequitable vaccine distribution,"In the race between infection and injection, injection has lost.
Public health experts estimate that approximately 70% of the world’s 7.9 billion people must be fully vaccinated to end the COVID-19 pandemic. As of June 21, 2021, 10.04% of the global population had been fully vaccinated, nearly all of them in rich countries.
Only 0.9% of people in low-income countries have received at least one dose.
I am a scholar of global health who specializes in healthcare inequities. Using a data set on vaccine distribution compiled by the Global Health Innovation Center’s Launch and Scale Speedometer at Duke University in the United States, I analyzed what the global vaccine access gap means for the world.
Supply is not the main reason some countries are able to vaccinate their populations while others experience severe disease outbreaks – distribution is.
Many rich countries pursued a strategy of overbuying COVID-19 vaccine doses in advance. My analyses demonstrate that the US, for example, has procured 1.2 billion COVID-19 vaccine doses, or 3.7 doses per person. Canada has ordered 381 million doses; every Canadian could be vaccinated five times over with the two doses needed.
Overall, countries representing just one-seventh of the world’s population had reserved more than half of all vaccines available by June 2021. That has made it very difficult for the remaining countries to procure doses, either directly or through COVAX, the global initiative created to enable low- to middle-income countries equitable access to COVID-19 vaccines.
Benin, for example, has obtained about 203,000 doses of China’s Sinovac vaccine – enough to fully vaccinate 1% of its population. Honduras, relying mainly on AstraZeneca, has procured approximately 1.4 million doses. That will fully vaccinate 7% of its population. In these “vaccine deserts,” even front-line health workers aren’t yet inocculated.
Haiti has received about 461,500 COVID-19 vaccine doses by donations and is grappling with a serious outbreak.
Even COVAX’s goal – for lower-income countries to “receive enough doses to vaccinate up to 20% of their population” – would not get COVID-19 transmission under control in those places.
Last year, researchers at Northeastern University modeled two vaccine rollout strategies. Their numerical simulations found that 61% of deaths worldwide would have been averted if countries cooperated to implement an equitable global vaccine distribution plan, compared with only 33% if high-income countries got the vaccines first.
Put briefly, when countries cooperate, COVID-19 deaths drop by approximately in half.
Vaccine access is inequitable within countries, too – especially in countries where severe inequality already exists.
In Latin America, for example, a disproportionate number of the tiny minority of people who’ve been vaccinated are elites: political leaders, business tycoons, and those with the means to travel abroad to get vaccinated. This entrenches wider health and social inequities.
The result, for now, is two separate and unequal societies in which only the wealthy are protected from a devastating disease that continues to ravage those who are not able to access the vaccine.
This is a familiar story from the HIV era.
In the 1990s, the development of effective antiretroviral drugs for HIV/AIDS saved millions of lives in high-income countries. However, about 90% of the global poor who were living with HIV had no access to these lifesaving drugs.
Concerned about undercutting their markets in high-income countries, the pharmaceutical companies that produced antiretrovirals, such as Burroughs Wellcome, adopted internationally consistent prices. Azidothymidine, the first drug to fight HIV, cost about $8,000 a year – over $19,000 in today’s dollars.
That effectively placed effective HIV/AIDS drugs out of reach for people in poor nations – including countries in sub-Saharan Africa, the epidemic’s epicenter. By the year 2000, 22 million people in sub-Saharan Africa were living with HIV, and AIDS was the region’s leading cause of death.
The crisis over inequitable access to AIDS treatment began dominating international news headlines, and the rich world’s obligation to respond became too great to ignore.
“History will surely judge us harshly if we do not respond with all the energy and resources that we can bring to bear in the fight against HIV/AIDS,” said South African President Nelson Mandela in 2004.
Pharmaceutical companies began donating antiretrovirals to countries in need and allowing local businesses to manufacture generic versions, providing bulk, low-cost access for highly affected poor countries. New global institutions like the Global Fund to Fight AIDS, Tuberculosis, and Malaria were created to finance health programs in poor countries.
Pressured by grassroots activism, the United States and other high-income countries also spent billions of dollars to research, develop and distribute affordable HIV treatments worldwide.
It took over a decade after the development of antiretrovirals, and millions of unnecessary deaths, for rich countries to make those lifesaving medicines universally available.
Fifteen months into the current pandemic, wealthy, highly vaccinated countries are starting to assume some responsibility for boosting global vaccination rates.
Leaders of the United States, Canada, United Kingdom, European Union and Japan recently pledged to donate a total of 1 billion COVID-19 vaccine doses to poorer countries.
It is not yet clear how their plan to “vaccinate the world” by the end of 2022 will be implemented and whether recipient countries will receive enough doses to fully vaccinate enough people to control viral spread. And the late 2022 goal will not save people in the developing world who are dying of COVID-19 in record numbers now, from Brazil to India.
The HIV/AIDS epidemic shows that ending the coronavirus pandemic will require, first, prioritizing access to COVID-19 vaccines on the global political agenda. Then wealthy nations will need to work with other countries to build their vaccine manufacturing infrastructure, scaling up production worldwide.
Finally, poorer countries need more money to fund their public health systems and purchase vaccines. Wealthy countries and groups like the G-7 can provide that funding.
These actions benefit rich countries, too. As long as the world has unvaccinated populations, COVID-19 will continue to spread and mutate. Additional variants will emerge.
As a May 2021 UNICEF statement put it: “In our interdependent world no one is safe until everyone is safe.” – The Conversation|Rappler.com
Maria De Jesus is an Associate Professor and Research Fellow at the Center on Health, Risk, and Society, American University School of International Service.
This piece was originally published in The Conversation.
Loved this read? Keep stories like this going. Support independent journalism with Rappler+.
Got comments, questions, or insights about this story? Download the Rappler Communities app for iOS, Android, or web, tap the Community tab, and join any of our chat rooms. See you there!",Maria De Jesus,"Jun 23, 2021 11:41 AM PHT"
https://www.rappler.com/science/life-health/which-covid-19-vaccine-best-why-hard-answer/,Which COVID-19 vaccine is best? Here’s why that’s really hard to answer,"With the rollout of COVID-19 vaccines accelerating, people are increasingly asking: which vaccine is best?
Even if we tried to answer this question, defining which vaccine is “best” is not simple. Does that mean the vaccine is better at protecting you from serious disease? The one that protects you from whichever variant is circulating near you? The one that needs fewer booster shots? The one for your age group? Or is it another measure entirely?
Even if we could define what’s “best,” it’s not as if you get a choice of vaccine. Until a suite of vaccines become available, the vast majority of people around the world will be vaccinated with whichever vaccine is available. That’s based on available clinical data and health authorities’ recommendations, or by what your doctor advises if you have an underlying medical condition. So the candid answer to which COVID vaccine is “best” is simply the one available to you right now.
Still not convinced? Here’s why it’s so difficult to compare COVID vaccines.
You might think clinical trials might provide some answers about which vaccine is “best,” particularly the large phase 3 trials used as the basis of approval by regulatory authorities around the world.
These trials, usually in tens of thousands of people, compare the number of COVID-19 cases in people who get the vaccine, versus those who get a placebo. This gives a measure of efficacy, or how well the vaccine works under the tightly controlled conditions of a clinical trial.
And we know the efficacy of different COVID vaccines differ. For instance, we learned from clinical trials that the Pfizer vaccine reported an efficacy of 95% in preventing symptoms, whereas AstraZeneca had an efficacy of 62-90%, depending on the dosing regime.
But direct comparison of phase 3 trials is complex as they take place at different locations and times. This means rates of infection in the community, public health measures, and the mix of distinct viral variants can vary. Trial participants can also differ in age, ethnicity, and potential underlying medical conditions.
One way we can compare vaccine efficacy directly is to run head-to-head studies. These compare outcomes of people receiving one vaccine with those who receive another, in the same trial.
In these trials, how we measure efficacy, the study population, and every other factor is the same. So we know any differences in outcomes must be down to differences between the vaccines.
For instance, a head-to-head trial is under way in the UK to compare the AstraZeneca and Valneva vaccines. The phase 3 trial is expected to be completed later this year.
Until we wait for the results of head-to-head studies, there’s much we can learn from how vaccines work in the general community, outside clinical trials. Real-world data tells us about vaccine effectiveness (not efficacy).
And the effectiveness of COVID vaccines can be compared in countries that have rolled out different vaccines to the same populations.
For instance, the latest data from the UK show both Pfizer and AstraZeneca vaccines have similar effectiveness. They both reliably prevent COVID-19 symptoms, hospitalization and death, even after a single dose.
So what at first glance looks “best” according to efficacy results from clinical trials doesn’t always translate to the real world.
The COVID vaccine you get today is not likely to be your last. As immunity naturally wanes after immunization, periodic boosters will become necessary to maintain effective protection.
There is now promising data from Spain that mix-and-matching vaccines is safe and can trigger very potent immune responses. So this may be a viable strategy to maintain high vaccine effectiveness over time.
In other words, the “best” vaccine might in fact be a number of different vaccines.
Variant viruses have started to circulate, and while current vaccines show reduced protection against these variants, they still protect.
Companies, including Moderna, are rapidly updating their vaccines to be administered as variant-specific boosters to combat this.
So, while one vaccine might have a greater efficacy in a phase 3 trial, that vaccine might not necessarily be “best” at protecting against future variants of concern circulating near you.
It is entirely rational to want the “best” vaccine available. But the best vaccine is the one available to you right now because it stops you from catching COVID-19, reduces transmission to vulnerable members of our community, and substantially reduces your risk of severe disease.
All available vaccines do this job and do it well. From a collective perspective, these benefits are compounded. The more people get vaccinated, the more the community becomes immune (also known as herd immunity), further curtailing the spread of COVID-19.
The global pandemic is a highly dynamic situation, with emerging viral variants of concern, uncertain global vaccine supply, patchy governmental action, and potential for explosive outbreaks in many regions.
So waiting for the perfect vaccine is an unattainable ambition. Every vaccine delivered is a small but significant step towards global normality. – The Conversation|Rappler.com
Wen Shi Lee and Hyon Xhi Tan are postdoctoral researchers at the Peter Doherty Institute for Infection and Immunity.
This piece was originally published in The Conversation.
Loved this read? Keep stories like this going. Support independent journalism with Rappler+.
Got comments, questions, or insights about this story? Download the Rappler Communities app for iOS, Android, or web, tap the Community tab, and join any of our chat rooms. See you there!",Wen Shi Lee,"Jun 21, 2021 8:35 AM PHT"
