link,title,annotation
https://www.webmd.com/diabetes/news/20250220/fda-oks-first-fast-acting-insulin-biosimilar-diabetes,FDA OKs First Fast-Acting Insulin Biosimilar for Diabetes,1
https://www.webmd.com/heart-disease/news/20250220/many-athletes-heart-issues-able-play-again,Many Athletes With Heart Issues May Be Able to Play Again,1
https://www.webmd.com/a-to-z-guides/news/20250219/dangerous-hospital-shortages-what-know,‘Dangerous’ Hospital Bed Shortages on Horizon: What to Know,1
https://www.webmd.com/vaccines/news/20250219/new-studies-show-rsv-vaccine-is-safe-during-pregnancy,New Studies Show RSV Vaccine Is Safe During Pregnancy,1
https://www.webmd.com/pain-management/news/20250218/fda-approves-drug-rare-joint-tumor-tgct,FDA Approves New Drug for Rare Joint Tumor,1
https://www.webmd.com/vaccines/news/20250218/fda-oks-vaccine-for-mosquito-borne-chikungunya,FDA OKs Vaccine for Mosquito-Borne Chikungunya,1
https://www.webmd.com/children/vaccines/news/20250218/fda-approves-5-in-1-vaccine-against-meningococcal-disease,FDA Approves 5-in-1 Vaccine Against Meningococcal Disease,1
https://www.webmd.com/colorectal-cancer/news/20250214/yogurt-help-lower-colon-cancer-risk-study,Yogurt May Help Lower Your Colon Cancer Risk: Study,1
https://www.webmd.com/mental-health/news/20250213/erosion-trust-damages-mental-health,How an Ongoing Erosion of Trust Damages Your Mental Health,1
https://www.webmd.com/mental-health/addiction/news/20250213/semaglutide-shows-promise-for-cutting-alcohol-use,Semaglutide Shows Promise for Cutting Alcohol Use,1
https://www.webmd.com/cancer/lymphoma/news/20250213/fda-oks-triple-combo-advanced-large-b-cell-lymphoma,FDA OKs Triple Combo for Advanced Large B-Cell Lymphoma,1
https://www.webmd.com/pain-management/news/20250212/fda-approves-new-treatment-for-nf1-related-tumors,FDA Approves New Treatment for NF1-Related Tumors,1
https://www.webmd.com/obesity/news/20250212/glp-1-drugs-again-linked-blindness-risk,GLP-1 Drugs Again Linked to Blindness Risk,1
https://www.webmd.com/cold-and-flu/news/20250211/how-bad-will-it-get-flu-rates-are-still-rising,How Bad Will It Get? Flu Rates Are Still Rising,1
https://www.webmd.com/sex/news/20250211/judge-orders-federal-health-website-information-restored,Judge Orders Federal Health Website Information to Be Restored,1
https://www.webmd.com/digestive-disorders/news/20250210/fda-oks-new-antibiotic-combo-abdominal-infections,FDA OKs New Antibiotic Combo for Serious Abdominal Infections,1
https://www.webmd.com/diet/news/20250210/juice-cleanses-may-disrupt-gut-bacteria,Juice Cleanses May Disrupt Gut Bacteria,1
https://www.webmd.com/obesity/news/20250207/obesity-stigma-depends-where-you-live,Obesity Stigma Depends on Where You Live,1
https://www.webmd.com/mental-health/addiction/news/20250206/hospitalized-cannabis-risk-early-death-may-rise,Hospitalized for Cannabis? Your Risk of Early Death May Rise,1
https://www.webmd.com/parkinsons-disease/news/20250206/fda-oks-new-wearable-infusion-device-for-parkinsons,FDA OKs New Wearable Infusion Device for Parkinson’s,1
https://www.webmd.com/a-to-z-guides/news/20250206/forever-chemicals-are-everywhere-heres-how-to-stress-less,Forever Chemicals Are Everywhere. Here’s How to Stress Less,1
https://www.webmd.com/diabetes/news/20250206/fda-oks-implantable-susvimo-diabetic-macular-edema,FDA OKs Implantable Treatment for Diabetic Macular Edema,1
https://www.webmd.com/cancer/lymphoma/news/20250205/fda-approves-new-drug-combination-for-mantle-cell-lymphoma,FDA Approves New Drug Combination for Mantle Cell Lymphoma,1
https://www.webmd.com/heart-disease/news/20250205/1-in-5-older-people-are-taking-aspirin-and-many-probably-shouldnt,1 in 5 Older Adults Take Aspirin—But Some Shouldn’t,1
https://www.webmd.com/alzheimers/news/20250205/fitness-reduces-dementia-risk,"Fitness Reduces Dementia Risk, Even in Those at Genetic Risk",1
https://www.webmd.com/brain/news/20250204/scientists-are-finding-more-microplastics-in-the-brain,Scientists Are Finding More Microplastics in the Brain,1
https://www.webmd.com/children/news/20250203/ultraprocessed-food-preschooler-obesity-risk,Ultraprocessed Foods Linked to Preschooler Obesity Risk,1
https://www.webmd.com/pain-management/news/20250131/fda-approves-new-non-opioid-pain-treatment,FDA Approves New Non-Opioid Pain Treatment,1
https://www.webmd.com/migraines-headaches/news/20250131/cm/fda-clears-new-migraine-drug-for-adults,FDA Clears New Migraine Drug for Adults,1
https://www.webmd.com/fitness-exercise/news/20250130/smart-fitness-clothing-2025,The Skinny on ‘Smart’ Fitness Clothing in 2025,1
https://www.webmd.com/parenting/news/20250130/what-experts-say-kids-should-be-drinking,What Experts Say Kids Should and Shouldn’t Be Drinking,1
https://www.webmd.com/lung/news/20250129/kansas-struggles-to-contain-worsening-tb-outbreak,Kansas Struggles to Contain Worsening TB Outbreak,1
https://www.webmd.com/food-recipes/food-poisoning/news/20250129/norovirus-myths-you-should-stop-believing,Norovirus Myths You Should Stop Believing,1
https://www.webmd.com/diabetes/news/20250129/fda-oks-ozempic-kidney-disease,FDA OKs Ozempic for Kidney Disease in Diabetes Patients,1
https://www.webmd.com/breast-cancer/news/20250128/fda-approves-drug-for-hard-to-treat-breast-cancer,FDA Approves Drug for Hard-to-Treat Breast Cancer,1
https://www.webmd.com/brain/news/20250128/losing-your-voice-heres-what-to-know,Losing Your Voice? Here’s What to Know,1
https://www.webmd.com/mental-health/addiction/news/20250128/cannabis-use-can-reduce-working-memory-study,Cannabis Use Can Reduce Working Memory: Study,1
https://www.webmd.com/depression/news/20250127/what-to-know-about-the-new-nasal-spray-for-tough-depression,What to Know About the New Nasal Spray for Tough Depression,1
https://www.webmd.com/balance/news/20250123/feeling-the-winter-blues-notice-nature-for-a-well-being-boost,Feeling the Winter Blues? Notice Nature for a Well-Being Boost,1
https://www.webmd.com/add-adhd/news/20250123/people-with-adhd-may-face-shorter-life-expectancy,People With ADHD May Face Shorter Life Expectancy,1
https://www.webmd.com/cancer/lymphoma/news/20250123/fda-approves-regimen-bone-marrow-transplant-grafapex,FDA Approves New Prep Regimen for Bone Marrow Transplant,1
https://www.webmd.com/mental-health/news/20250122/wildfires-and-mental-health-community-first-then-therapy,"Wildfires and Mental Health: Community First, Then Therapy",1
https://www.webmd.com/cholesterol-management/news/20250121/new-drugs-offer-hope-for-people-with-high-lipoproteina-cholesterol,New Drugs Offer Hope for People With High Lipoprotein(a) Cholesterol,1
https://www.webmd.com/breast-cancer/news/20250121/fda-approves-new-treatment-advanced-breast-cancer,FDA Approves New Treatment for Advanced Breast Cancer,1
https://www.webmd.com/alzheimers/news/20250117/has-our-dementia-risk-doubled-dont-panic-heres-what-to-do,Has Our Dementia Risk Doubled? Don’t Panic – Here’s What to Do,1
https://www.webmd.com/obesity/news/20250117/medicare-to-negotiate-lower-prices-for-wegovy-and-ozempic,Medicare to Negotiate Lower Prices for Wegovy and Ozempic,1
https://www.webmd.com/ibd-crohns-disease/crohns-disease/news/20250116/fda-approves-omvoh-for-crohns-disease,FDA Approves Omvoh for Crohn’s Disease,1
https://www.webmd.com/a-to-z-guides/news/20250116/bridge-rnas-holy-grail-in-next-gen-gene-editing-tech,Bridge RNAs: ‘Holy Grail’ in Next-Gen Gene Editing Tech?,1
https://www.webmd.com/cancer/news/20250116/cancer-risk-for-younger-women-reaches-1-in-17,Cancer Risk for Younger Women Reaches 1 in 17,1
https://www.webmd.com/prostate-cancer/news/20250115/how-to-avoid-overtreatment-of-prostate-cancer,How to Avoid Overtreatment of Prostate Cancer,1
https://www.webmd.com/diet/news/20250115/red-3-dye-banned-food-candy-drinks-2027,"Red No. 3 Will Be Banned in Food, Candy, and Drinks by 2027",1
https://www.webmd.com/diet/news/20250114/fda-wants-nutritional-info-front-packaged-foods,FDA Wants Nutritional Info on the Front of Packaged Foods,1
https://www.webmd.com/mental-health/addiction/news/20250114/gambling-smartphones-hijacking-brains,"Gambling, Smartphones, and the Hijacking of Our Brains",1
https://www.webmd.com/cold-and-flu/news/20250113/flu-rsv-norovirus-in-full-swing-as-covid-looms,"Flu, RSV, and Norovirus Are in Full Swing, While COVID Looms",1
https://www.webmd.com/fitness-exercise/news/20250110/science-of-swearing-will-make-you-say-wow-wtf,"The Science of Swearing Will Make You Say, 'Wow, WTF!'",1
https://www.webmd.com/diet/news/20250110/protein-powder-harmful-metals,Your Protein Powder May Contain Harmful Metals,1
https://www.webmd.com/parenting/news/20250109/screen-use-again-tied-to-preschooler-sleep-behavior-issues,"Screen Use Again Tied to Preschoolers’ Sleep, Behavior Issues",1
https://www.webmd.com/colorectal-cancer/news/20250109/calcium-may-lower-colorectal-cancer-risk-women,Calcium May Lower Colorectal Cancer Risk in Women,1
https://www.webmd.com/fitness-exercise/news/20250108/why-your-body-loves-intense-exercise-even-if-you-do-not,Why Your Body Loves Intense Exercise (Even if You Don’t),1
https://www.webmd.com/diet/news/20250108/coffee-benefits-limited-morning-hours,Coffee’s Health Benefits May Be Limited to Morning Cups Only,1
https://www.webmd.com/cold-and-flu/news/20250107/louisiana-person-first-bird-flu-related-death-us,Louisiana Person Is First Bird Flu-Linked Death in U.S.,1
https://www.webmd.com/eye-health/macular-degeneration/news/20250107/new-therapy-brings-hope-for-dry-amd-vision-loss,New Therapy Brings Hope for Dry AMD Vision Loss,1
https://www.webmd.com/diet/news/20250106/best-diets-2025-mediterranean-still-tops-rankings,Best Diets 2025: Mediterranean Diet Still Tops the Rankings,1
https://www.webmd.com/sleep-disorders/sleep-apnea/news/20241223/fda-approves-zepbound-obstructive-sleep-apnea,FDA Approves Zepbound for Obstructive Sleep Apnea,1
https://www.webmd.com/children/news/20241220/fda-approves-new-drug-for-kids-with-severe-immune-disease,FDA Approves New Drug for Kids With Severe Immune Disease,1
https://www.webmd.com/children/news/20241220/fda-oks-first-treatment-familial-chylomicronemia-syndrome-olezarsen,FDA OKs First Treatment for Familial Chylomicronemia Syndrome,1
https://www.webmd.com/mental-health/news/20241219/feeling-blue-holiday-lights-might-be-the-cure,Feeling Blue? Holiday Lights Might Be the Cure,1
https://www.webmd.com/covid/news/20241219/us-sees-rise-in-life-expectancy-after-pandemic-decline,U.S. Sees Rise in Life Expectancy After Pandemic Decline,1
https://www.webmd.com/lung-cancer/news/20241219/fda-approves-new-drug-advanced-lung-cancer,FDA Approves New Drug for Advanced Lung Cancer,1
https://www.webmd.com/skin-problems-and-treatments/eczema/news/20241217/fda-approves-nemluvio-atopic-dermatitis,FDA Approves Nemluvio for Atopic Dermatitis,1
https://www.webmd.com/mental-health/news/20241216/holiday-family-time-feel-health-hazard,Why Holiday Family Time Can Feel Like a Health Hazard,1
https://www.webmd.com/melanoma-skin-cancer/news/20241216/fda-approves-new-drug-for-advanced-skin-cancer,FDA Approves New Drug for Advanced Skin Cancer,1
https://www.webmd.com/children/vaccines/news/20241212/kids-flu-vaccination-rates-continue-to-plummet-this-season,Kids’ Flu Vaccination Rates Continue to Plummet This Season,1
https://www.webmd.com/cancer/cervical-cancer/news/20241211/cervical-cancer-screening-made-simple-with-self-swab-option,Cervical Cancer Screening Made Simple with Self-Swab Option,1
https://www.webmd.com/vaccines/news/20241211/bonus-protections-routine-vaccines,The Bonus Protections of Routine Vaccines,1
https://www.webmd.com/diet/news/20241210/drinking-water-actually-healthy-maybe,Is Drinking More Water Actually Healthy? Maybe.,1
https://www.webmd.com/heart-disease/news/20241210/heart-health-skip-soda-have-ice-cream,"For Heart Health, Skip the Soda and Have Ice Cream Instead",1
https://www.webmd.com/vaccines/covid-19-vaccine/news/20241209/your-guide-covid-vaccines-2024-2025,Your Guide to COVID Vaccines for 2024-2025,1
https://www.webmd.com/lung-cancer/news/20241209/fda-approves-drug-for-aggressive-small-cell-lung-cancer,FDA Approves Drug for Aggressive Small-Cell Lung Cancer,1
https://www.webmd.com/a-to-z-guides/news/20241209/feds-take-aim-at-dry-cleaning-chemicals-red-dye-no-3,"Feds Take Aim at Dry-Cleaning Chemicals, Red Dye No. 3",1
https://www.webmd.com/parenting/baby/news/20241206/whooping-cough-and-newborns-how-to-set-boundaries-with-visitors,Whooping Cough and Newborns: How to Set Boundaries With Visitors,1
https://www.webmd.com/ibd-crohns-disease/ulcerative-colitis/news/20241206/cm/ulcerative-colitis-new-medications-new-hope-for-remission,"Ulcerative Colitis: New Medications, New Hope for Remission",1
https://www.webmd.com/healthy-aging/news/20241206/us-life-expectancy-to-fall-behind-that-of-global-peers-by-2050,U.S. Life Expectancy to Fall Behind That of Global Peers by 2050,1
https://www.webmd.com/cancer/news/20241205/fda-approves-new-drug-lung-pancreatic-cancer,FDA Approves New Drug for Lung and Pancreatic Cancers,1
https://www.webmd.com/diabetes/news/20241205/dark-chocolate-sweet-way-reduce-diabetes-risk,Daily Dark Chocolate: A Sweet Way to Reduce Diabetes Risk?,1
https://www.webmd.com/migraines-headaches/news/20241205/cm/migraine-patients-are-not-exaggerating-their-symptoms,Migraine Patients Are Not Exaggerating Their Symptoms,1
https://www.webmd.com/obesity/news/20241205/what-will-be-the-next-ozempic,What Will Be the Next Ozempic?,1
https://www.webmd.com/obesity/news/20241204/wegovy-vs-zepbound-new-data-declares-winner,Wegovy vs. Zepbound: New Data Declares a Winner,1
https://www.webmd.com/alzheimers/news/20241203/midlife-belly-fat-tied-early-signs-dementia,Midlife Belly Fat May Be Tied to Early Signs of Dementia,1
https://www.webmd.com/sex-relationships/news/20241203/how-infidelity-hurts-the-body-as-much-as-the-mind,How Infidelity Hurts the Body as Much as the Mind,1
https://www.webmd.com/obesity/news/20241202/weight-loss-drugs-linked-decreased-alcohol-use,Weight Loss Drugs Linked to Decreased Alcohol Use,1
https://www.webmd.com/heart-disease/atrial-fibrillation/news/20241202/fda-approves-new-svt-drug-for-critical-care-use,FDA Approves New SVT Drug for Critical Care Use,1
https://www.webmd.com/obesity/news/20241126/white-house-wants-medicare-medicaid-to-cover-glp-1-drugs,"White House Wants Medicare, Medicaid to Cover GLP-1 Drugs",1
https://www.webmd.com/diet/news/20241125/bird-flu-thanksgiving-turkey-safe,Bird Flu and Thanksgiving: Is Turkey Still on the Table?,1
https://www.webmd.com/cold-and-flu/news/20241125/first-bird-case-child-california,First Bird Flu Case in a Child Reported in California,1
https://www.webmd.com/heart-disease/news/20241125/fda-approves-new-drug-life-threatening-heart-condition,FDA Approves New Drug for Life-Threatening Heart Condition,1
https://www.webmd.com/cold-and-flu/news/20241125/bird-flu-fears-spark-recall-raw-milk-california,Bird Flu Fears Spark Recall of Raw Milk in California,1
https://www.webmd.com/mental-health/news/20241122/fascinating-reason-winter-doesnt-have-to-feel-so-grim,The Fascinating Reason Winter Doesn’t Have to Feel So Grim,1
https://www.webmd.com/cancer/news/20241122/fda-approves-new-targeted-treatment-biliary-tract-cancer,FDA Approves New Targeted Treatment for Biliary Tract Cancer,1
https://www.webmd.com/food-recipes/food-poisoning/news/20241122/ground-beef-recalled-e-coli-risk,"Over 160,000 Pounds of Ground Beef Recalled for E. coli Risk",1
https://www.webmd.com/breast-cancer/news/20241121/cm/breast-cancer-community-finds-safe-haven-on-reddit,Breast Cancer Community Finds Safe Haven on Reddit,1
https://www.webmd.com/skin-problems-and-treatments/news/20241121/fda-approves-bimzelx-hidradenitis-suppurativa,FDA Approves Bimzelx for Hidradenitis Suppurativa,1
https://www.webmd.com/balance/news/20241121/staying-home-is-the-new-normal-health-impacts,Staying Home Is the New Normal: 4 Ways It Impacts Your Health,1
https://www.webmd.com/vaccines/covid-19-vaccine/news/20241120/most-us-adults-plan-to-skip-annual-covid-vaccines,Most U.S. Adults Plan to Skip Annual COVID Vaccines,1
https://www.webmd.com/obesity/news/20241119/why-you-are-probably-eligible-for-ozempic-or-wegovy,Why You’re Probably Eligible for Ozempic or Wegovy,1
https://www.webmd.com/obesity/news/20241119/this-is-the-secret-formula-to-weight-loss,"Yes, There Is a Secret Formula for Weight Loss. This Is It",1
https://www.webmd.com/cancer/lymphoma/news/20241119/firs-in-class-leukemia-treatment-approved,First-in-Class Leukemia Treatment Approved by FDA,1
https://www.webmd.com/food-recipes/food-poisoning/news/20241118/new-e-coli-outbreak-carrots,New E. coli Outbreak: Check Your Fridge for These Carrots,1
https://www.webmd.com/children/news/20241118/first-brain-injected-gene-therapy-aadc-deficiency,First Brain-Injected Gene Therapy Approved by FDA,1
https://www.webmd.com/fitness-exercise/news/20241115/how-walking-more-could-add-11-years-to-your-life,How Walking More Could Add 11 Years to Your Life,1
