link,title
https://abcnews.go.com/Health/drug-overdose-deaths-fall-2023-1st-time-pandemic/story?id=119003775,"Drug overdose deaths fall in 2023 for 1st time since pandemic began, CDC report finds"
https://abcnews.go.com/Health/wireStory/new-york-sues-vape-distributors-elf-bar-fruit-119006049,New York sues vape distributors over Elf Bar and other fruit and candy e-cigarettes
https://abcnews.go.com/Health/wireStory/spending-day-feet-work-occupational-hazard-119000460,Is spending all day on your feet at work an occupational hazard?
https://abcnews.go.com/Health/rfk-jr-studying-threat-ssris-weight-loss-drugs/story?id=118937552,Trump claims SSRIs and weight loss drugs may be a 'threat' to children. Are they?
https://abcnews.go.com/Health/personal-vaccine-reduce-risk-pancreatic-cancer-returning-after/story?id=118979678,"Vaccine shows promise for treating pancreatic cancer, study shows"
https://abcnews.go.com/Health/environmental-factors-lifestyle-choices-greater-impact-health-genes/story?id=118963326,"Environmental factors, lifestyle have greater impact on health than genes: Study"
https://abcnews.go.com/Health/wireStory/trumps-foreign-aid-freeze-halted-crucial-program-fighting-118969899,Trump's foreign aid freeze halted a crucial program fighting HIV in Africa. Here's what's at stake
https://abcnews.go.com/Health/wireStory/pain-gain-years-fitness-buzzword-recovery-118968571,"No pain, no gain? Hardly. This year's fitness buzzword is 'recovery'"
https://abcnews.go.com/Health/video/increase-measles-cases-us-118966662,Increase of measles cases ‘very concerning’ in US
https://abcnews.go.com/Health/wireStory/trump-officials-ban-junk-food-snap-past-efforts-118962517,Trump officials want to ban junk food from SNAP. Past efforts show it's not easy to do
https://abcnews.go.com/Health/wireStory/vatican-authorities-pope-now-pneumonia-lungs-worrying-118957335,Vatican says the pope now has pneumonia in both lungs. How worrying is that?
https://abcnews.go.com/Health/wireStory/philippine-village-battles-dengue-offering-bounties-mosquitos-dead-118955015,Philippine village battles dengue by offering bounties for mosquitos — dead or alive
https://abcnews.go.com/Health/wireStory/extent-fallout-trumps-hhs-purge-118980280,Here's the Extent of the Fallout From Trump's HHS Purge
https://abcnews.go.com/Health/wireStory/texas-measles-cases-new-mexico-now-outbreak-118936819,"Texas measles cases are up, and New Mexico now has an outbreak. Here's what you need to know"
https://abcnews.go.com/Health/states-abortion-bans-births-infant-deaths-studies-show/story?id=118900177,"States with abortion bans see more births and infant deaths, studies show"
https://abcnews.go.com/Health/video/pope-francis-hospitalized-amid-complex-clinical-picture-118923006,Pope Francis hospitalized amid ‘complex clinical picture’
https://abcnews.go.com/Health/wireStory/republicans-cuts-work-requirements-medicaid-jeopardizing-care-millions-118917022,"Republicans consider cuts and work requirements for Medicaid, jeopardizing care for millions"
https://abcnews.go.com/Health/wireStory/dying-serve-dozens-recruits-died-nationwide-training-become-118915372,Dozens of recruits have died nationwide while training to become police officers
https://abcnews.go.com/Health/video/abcs-politics-selina-wang-things-rfk-jr-118907718,ABC’s of Politics with Selina Wang: All-things RFK. Jr
https://abcnews.go.com/Health/measles-cases-rising-us-texas-outbreak-grows-concerned/story?id=118892122,Texas measles outbreak grows as cases spread to New Mexico. Should you be concerned?
https://abcnews.go.com/Health/video/texas-dad-runs-marathon-20th-time-cure-sons-118893920,Texas dad runs marathon for 20th time to help cure sons’ rare disease
https://abcnews.go.com/Health/wireStory/adults-wondering-autism-tips-seek-diagnosis-118891579,More adults are wondering if they have autism. Here are tips to seek a diagnosis
https://abcnews.go.com/Health/wireStory/south-african-ngos-worry-trumps-aid-freeze-cause-118880279,South African NGOs worry Trump's aid freeze will cause HIV patients to default on treatment
https://abcnews.go.com/Health/wireStory/doctor-wanted-small-town-offers-big-perks-attract-118880326,Doctor wanted: Small town offers big perks to attract a physician
https://abcnews.go.com/Health/video/new-cdc-report-shows-racial-disparity-maternal-mortality-118875069,New CDC report shows racial disparity in maternal mortality
https://abcnews.go.com/Health/video/weekend-health-roundup-dr-patel-118860861,Weekend health roundup with Dr. Patel
https://abcnews.go.com/Health/wireStory/bird-flu-confirmed-older-wyoming-woman-contact-infected-118856788,Bird flu confirmed in older Wyoming woman who likely had contact with infected flock at her home
https://abcnews.go.com/Health/wireStory/abortions-resume-missouri-after-judge-blocks-restrictions-118848400,Abortions to resume in Missouri after a judge blocks restrictions
https://abcnews.go.com/Health/wireStory/kindergarteners-learn-gun-safety-school-bill-gaining-momentum-118848218,Kindergarteners could learn gun safety in school under a bill gaining momentum in Utah
https://abcnews.go.com/Health/wireStory/texas-measles-outbreak-rises-48-cases-states-worst-118845821,Texas measles outbreak rises to 48 cases. It's the state's worst in nearly 30 years
