link,title,date
https://childrenshealthdefense.org/defender/mennonite-community-texas-frustrated-media-coverage-measles/,Exclusive: Mennonite Community in Texas Is ‘Frustrated’ by Media Coverage of Measles Outbreak,"MARCH 04, 2025"
https://childrenshealthdefense.org/defender/cdc-merck-data-gardasil-vaccine-neurological-disorder/,CDC Relied on Cherry-picked Data to Claim No Link Between Merck’s Gardasil Vaccine and POTS,"MARCH 04, 2025"
https://childrenshealthdefense.org/defender/slaughterhouses-dump-wastewater-blood-body-parts-bacteria-epa-looking-change-rtk/,"U.S. Slaughterhouses Dump Wastewater Containing Blood, Body Parts and Bacteria. The EPA Is Looking to Change That.","MARCH 03, 2025"
https://childrenshealthdefense.org/defender/why-more-than-1-million-bee-colonies-collapse-rtk/,Why Did More Than 1 Million Bee Colonies Collapse? Scientists Seek Answers,"MARCH 03, 2025"
https://childrenshealthdefense.org/defender/codys-law-florida-first-state-compensate-vaccine-injury-victims/,‘Cody’s Law’: Florida Lawmakers Weigh First State Law to Compensate Vaccine Injury Victims,"MARCH 03, 2025"
https://childrenshealthdefense.org/defender/cicp-payout-covid-vaccine-injury/,Government Pays $2.5 Million to Person Injured by COVID Vaccine — But 98% of Claims Are Denied,"FEBRUARY 28, 2025"
https://childrenshealthdefense.org/defender/usda-1-billion-plan-combat-bird-flu-vaccines-kill-more-birds/,USDA’s $1 Billion Plan to Combat Bird Flu Calls for Vaccines and Killing More Birds — Will It Work?,"FEBRUARY 28, 2025"
https://childrenshealthdefense.org/defender/united-states-planting-too-much-gmo-corn-farmers-losing-billions-dollars/,The U.S. Is Planting Too Much GMO Corn — And Farmers Are Losing Billions of Dollars,"FEBRUARY 28, 2025"
https://childrenshealthdefense.org/defender/measles-media-panic-real-threats-kids-health-safety/,Media Panic Over Measles Distracts From Real Threats to Kids’ Health and Safety,"FEBRUARY 27, 2025"
https://childrenshealthdefense.org/defender/pharma-paid-billions-to-physicians-specialists-rtk/,"Pharma Paid Billions to Physicians, Specialists — It May Be Why Consumers Pay More for Healthcare","FEBRUARY 27, 2025"
https://childrenshealthdefense.org/defender/flu-vaccine-strains-fda-advisory-committee-meeting/,FDA Calls Off Meeting to Select Flu Strains for Next Season’s Flu Vaccine,"FEBRUARY 27, 2025"
https://childrenshealthdefense.org/defender/texas-reported-death-child-tested-positive-measles/,"Texas Reports Death of Child Who Tested Positive for Measles, But Releases Few Details","FEBRUARY 26, 2025"
