link,title,author,date,content
https://www.infowars.com/posts/a-modest-proposal-lets-send-the-people-whove-been-destroying-america-to-alcatraz,A Modest Proposal: Let’s Send the People Who’ve Been Destroying America to Alcatraz,By Raw Egg Nationalist,7 hours ago,"Alcatraz. AL-ca-traz. Three unforgettable syllables. A name to conjure with.
For me at least, the first thing that springs to mind when that word rolls off my tongue is the minor rock band that served as a springboard for two of the most iconic guitar shredders of the 1980s: Yngwie J. Malmsteen and Steve Vai. But that was Alcatraz with a double Z, and that’s just me.
Today I’m talking about Alcatraz with a single Z: the federal prison of legend. The lonely rock in San Francisco Bay where, from 1934 to 1963, some of America’s most notorious prisoners were sent. The place where Al Capone, Machine Gun Kelly and the Birdman all did long stretches; the place where, if you tried to escape—and dozens did—the great white sharks patrolling the freezing waters would get you if the guards didn’t. That Alcatraz. The name means “pelican” in Spanish, apparently.
Since its closure in 1963, Alcatraz has been a national park and a very popular tourist attraction, but now it looks like it may be set to return to its roots as a correctional facility for the worst kinds of criminals America has to offer.
On Sunday, in a post on Truth Social, President Trump announced that he had instructed various parties, from the Federal Bureau of Prisons to the FBI, to reopen the prison, so that the “dregs of society” can once again be “kept far away from anyone they could harm.” Doing so, the President said, will help establish that the United States of America is once again a “serious nation.”
“For too long, America has been plagued by vicious, violent, and repeat Criminal Offenders, the dregs of society, who will never contribute anything other than Misery and Suffering,” the President wrote.
“When we were a more serious Nation, in times past, we did not hesitate to lock up the most dangerous criminals, and keep them far away from anyone they could harm. That’s the way it’s supposed to be.
“That is why, today, I am directing the Bureau of Prisons, together with the Department of Justice, FBI, and Homeland Security, to reopen a substantially enlarged and rebuilt ALCATRAZ, to house America’s most ruthless and violent Offenders.”
Unsurprisingly, President Trump’s modest proposal has been met with ridicule by his Democrat opponents in- and outside the state of California.
Nancy Pelosi, who was born when California was still part of Mexico and Alcatraz was home only to a load of birds with massive beaks, said it was not a “serious proposal.” Governor Newsom said, via his spokeswoman, “Looks like it’s Distraction Day again in Washington DC.”
Aptly named state senator Scott Wiener—the guy who takes a very keen interest in age-of-consent law when he’s not marching for gay pride in his leather harness and jockstrap—accused Trump of wanting “to turn Alcatraz into a domestic gulag right in the middle of San Francisco Bay.”
“In addition to being deeply unhinged, this is an attack on the rule of law. Putting aside that Alcatraz is a museum & tourist attraction, this is both nuts & terrifying,” he Tweeted.
Civil rights attorney Scott Hechinger called Alcatraz a “domestic torture complex” and said if Trump really wanted to do something about serious crime, he wouldn’t have cut “nearly $1 billion from bipartisan, proven, successful anti-crime, violence prevention programs around the country.”
And smug know-it-all Brian Krassenstein did some rough calculations and then said something smug.
“At least $175-250m just to shore up crumbling concrete, retrofit for earthquakes, and install 21st-century security tech. Operating costs that never stop bleeding. Everything, water, food, fuel, must be barged in, and raw sewage barged out. That pushes the annual budget to 3× a comparable mainland prison, roughly $70 – 75 M every single year,” he Tweeted, smugly.
Sure, the island has no fresh water source—millions of gallons had to be brought in by barge each week to serve the hundreds of guards and prisoners—and sure the whole place is in need of more than a lick of paint, but money shouldn’t be the main consideration here. It’s about sending a message.
Many of the most heinous criminals in the US are foreign-born, and the Trump administration is in the process of deporting them all. A good number of them, members of the Latin American gangs Tren de Aragua and MS-13, are being sent somewhere far, far worse than Alcatraz: the Center for Terrorist Confinement (CECOT), in El Salvador, under a $6 million deal with President Nayib Bukele. CECOT is, if I recall correctly, the largest prison in the world, and it’s full of people who torture, rape and murder for fun—all in huge communal cells with beds that look like shelves in a vast Amazon warehouse.
Rather you than me, Kilmar!
Getting those scumbags out of the country is by far the best and most economical option.
But that still leaves plenty of homegrown criminals and, in particular, a class of people whose crimes are so uniquely bad they demand a uniquely bad form of punishment.
I’m talking about the people responsible for the terrible mess America finds herself in today, the architects of American decay. The people Donald Trump was elected to vanquish forever. America Last. Globalists. Call them what you will.
I don’t need to tell you who these people are, and I don’t need to rehearse their crimes. We all know who they are, what they’ve done, to whom and for how long.
Put them all on Alcatraz and the cost will justify itself, a thousand times over.
Put Anthony Fauci in a cell with Big Mike and once the lights go out, the good doctor will understand something of what it feels like to be a small helpless mammal in one of his heinous NIH-funded experiments. Fauci will wish he was a beagle with sandflies eating his eyeballs instead.
It won’t happen, of course. The Constitution forbids cruel and unusual punishment. And, nine years later, we’re still waiting for Trump to make good on his 2016 promise of locking up Hillary Clinton for her manifold crimes. But thankfully, the Trump administration is hard at work destroying these rotten people’s rotten legacy—deporting millions of illegals, gutting bloated partisan bureaucracies, bringing to an end the enormous edifice of anti-white racial discrimination, preventing the sexual mutilation of children—which is punishment enough, I suppose.
My prediction: Trump’s idea to re-use Alcatraz as a penitentiary will just quietly be forgotten. I’d call that a missed opportunity, but oh well."
https://www.infowars.com/posts/video-republicans-pull-bill-hr-867-that-would-have-imprisoned-americans-for-20-years-for-criticizing-israel,VIDEO: Republicans Pull Bill HR 867 That Would Have Imprisoned Americans For 20 Years For Criticizing Israel,By Infowars.com,8 hours ago,"Watch & share Alex Jones exposing how globalists are promoting totalitarian censorship through both the left & right as well as how we can come together to stop it:
Share on X:
VIDEO: Republicans Pull Bill HR 867 That Would Have Imprisoned Americans For 20 Years For Criticizing IsraelIn This Important Report, Alex Jones Exposes How Globalist Forces Are Promoting Totalitarian Censorship Through Both The Left & Right Wing And How We Can Come Together To… pic.twitter.com/POGobaXY5F"
https://www.infowars.com/posts/trump-again-says-he-will-walk-away-from-ukraine-peace-talks,Trump AGAIN Says He Will ‘Walk Away’ From Ukraine Peace Talks,By Sean Miller,11 hours ago,"On NBC’s “Meet the Press” Sunday night President Donald Trump reiterated prior statements by him and Vice President JD Vance that the U.S. is ready to “walk away” from the Ukraine peace negotiations if progress fails to be made. Sunday’s statement is notable as the prior statements have all been made before the signing of Washington’s mineral deal.
“I do believe we’re closer with one party. And maybe not as close with the other, but we’ll have to see,” Trump said. “Five thousand soldiers a week on average, are dying. They’re not American soldiers. But I want to solve the problem.”
The “Meet The Press” interview was conducted for Trump’s first 100 days in office. The President recently got his mineral deal signed by Kiev and is now looking to end the war or cut his losses as he moves into the next phase of his presidential agenda.
The White House has already ordered Moscow and Kiev to begin direct peace negotiations with each other. The day prior, the Kremlin announced it is ready for direct negotiations with Ukrainian Dictator Vladimir Zelensky.
It appears the only holdup for peace is Ukraine’s Dictator.
The U.S. is sending more air defense systems to Ukraine, likely to protect the new U.S.-backed mining operations as part of the mineral deal.
The defensive missile systems are not designed for offensive attack and are likely necessary for safe mineral extraction operations due to the country’s Dictator opting to keep his war going while Trump tries to recoup Washington’s financial losses that paid for Zelensky’s military losses."
https://www.infowars.com/posts/romania-right-wing-candidate-wins-first-round-of-presidential-election-after-entire-election-canceled-and-top-candidate-banned,Romania: Right-Wing Candidate Wins First Round of Presidential Election After Entire Election Canceled And Top Candidate Banned,By Staff | Remix,14 hours ago,"With over 94 percent of the votes counted, George Simion, of the ultra-nationalist Alliance for the Union of Romanians (AUR) has won the first round of the Romanian presidential election by nearly 40 percent.
With over 3.3 million votes or nearly 40 percent, George Simion is in first, followed by the joint candidate of the governing coalition parties, Crin Antonescu, with 1.7 million votes, or 20.94 percent, and independent candidate Nicușor Dan in third place with 1.6 million votes, or 20.12 percent.
According to Mandiner, if Crin advances to the second round, he may have a chance at winning the post of president, with Nicușor less likely to prevail.
Simion won almost all of Romania, except areas of Szeklerland where many ethnic Hungarians live. In Harghita, Mureș, Covasna, Satu Mare and Bihor counties, Crin Antonescu is in first place, while Nicușor leads in Cluj-Napoca county with 95 percent.
The second round of the Romanian presidential election will be held on May 18.
The original first round was annulled last December by Romania’s Constitutional Court, citing foreign interference and illegal campaign financing that undermined the fairness of the election and the equal opportunities of the candidates. The move was sharply criticized as anti-democratic.
The winner of that first round, independent Călin Georgescu (previously of the AUR) was disqualified after the top court ruled, with no evidence, that Russia backed Georgescu’s candidacy.
Moscow has denied any involvement; however, after Georgescu was banned from running again in March, Kremlin spokesman Dmitry Peskov told a news conference, “Any election held without him will be illegitimate. The will of the Romanian people has been suppressed.”
At the time, George Simion, president of AUR, announced a parliamentary strike on social media, declaring that all AUR MPs would cease attending parliamentary meetings, calling Georgescu’s disqualification “an attack on democracy.”
After the Romanian Constitutional Court rejected the appeal of the ruling by the Central Electoral Bureau, Simion posted on X: “Today, the masters have decided: no equality, no liberty, no fraternity for Romanians. Long live France and Brussels, long live their colony named Romania.”"
https://www.infowars.com/posts/white-house-deputy-stephen-miller-slams-transitioning-children-as-child-torture,White House Deputy Stephen Miller Slams ‘Transitioning’ Children as ‘Child Torture’,By Calvin Freiburger | Lifesite,14 hours ago,"(LifeSiteNews) — White House Deputy Chief of Staff Stephen Miller said on Thursday that “gender transition” procedures on minors amount to “child torture,” which the Trump administration is “coordinating with state and local law enforcement to fight.”
“If a five-year-old or a six-year-old goes to school, or a seven-year-old goes to school, and the teacher … tries to turn the boy into a girl or the girl into a boy, that is child abuse, and this administration is treating that as child abuse,” Miller said at a White House press conference. “And it is a gross violation of parental rights.”
.@StephenM: ""It is CHILD ABUSE to change a child's gender … Castration surgeries, castration drugs, sterilization treatments of children are barbaric. They violate all sound medical ethics. They are completely unwarranted. They harm children for life — irreversibly."" pic.twitter.com/AMNM6eXTau
“Castration surgeries, castration drugs, sterilization treatments of children are barbaric. They violate all sound medical ethics. They are completely unwarranted. They harm children for life, irreversibly. It is child torture, it is child abuse, it is medical malpractice,” Miller went on, touting the administration’s efforts to deny federal funds to entities that continue them.
“We are using every single legal and financial tool we have at President Trump’s direction to make it clear that schools and universities are and will lose federal funds, as you’ve seen in Maine, if you allow men to invade women’s sports and women’s spaces,” he declared.
A significant body of evidence shows that “affirming” gender confusion carries serious harms, especially when done with impressionable children who lack the mental development, emotional maturity, and life experience to consider the long-term ramifications of the decisions being pushed on them, or full knowledge about the long-term effects of life-altering, physically transformative, and often irreversible surgical and chemical procedures.
Studies find that more than 80 percent of children suffering gender dysphoria outgrow it on their own by late adolescence and that “reassignment” procedures fail to resolve gender-confused individuals’ heightened tendency to engage in self-harm and suicide – and even exacerbate it, including by reinforcing their confusion and neglecting the actual root causes of their mental strife.
Many oft-ignored detransitioners attest to the physical and mental harm of reinforcing gender confusion, as well as to the bias and negligence of the medical establishment on the subject, many of whom take an activist approach to their profession and begin cases with a predetermined conclusion in favor of “transitioning.”
Since returning to office, Trump has taken multiple executive actions to reverse the Biden administration’s transgender policies, including an order that ends all federal support for “transition” procedures on minors, rescinds or amends all of the Biden health bureaucracy’s past endorsements of underage “transitioning,” and calls for a review of the medical literature on the subject, enforcing all existing restrictions on underage “transitioning,” and taking regulatory action to “end” the practice to the greatest extent possible under current law.
Another order prohibits males who claim to be female from competing against actual women in sex-specific athletic programs at schools receiving government funding. A third disqualifies gender-confused individuals from military service and prohibits military health services from conducting “transition” procedures, although that has been temporarily blocked by federal courts."
https://www.infowars.com/posts/fda-to-monitor-vaccine-injuries-in-real-time-to-ensure-transparency,FDA To Monitor Vaccine Injuries in Real Time To Ensure “Transparency”,By Raw Egg Nationalist,15 hours ago,"Vaccine injuries will be monitored in real time, in an attempt to ensure greater “transparency” over vaccines.
The new system will use electronic patient records to ensure more accurate and swift reporting of injuries associated with the use of vaccines.
The system will allow the sharing of data between healthcare providers, hospitals, clinics and other authorized providers. It will flag unusual patterns, such as unusual clusters of conditions like myocarditis, and allow health officials to respond to them more quickly and effectively, it’s hoped.
A spokesperson for the Department of Health and Human Services (HHS) said the new surveillance system “will accurately measure vaccine risks as well as benefits—because real science demands both transparency and accountability.”
On his first day in office, HHS Secretary Robert F. Kennedy Jr. vowed to address vaccine safety, after claiming that the current Vaccine Adverse Event Reporting System (VAERS) only captures 1% of all vaccine injuries.
In March, Secretary Kennedy announced the creation of a separate agency within the Centers for Disease Control and Prevention to focus on vaccine injuries.
At an event in Indian last month, Kennedy said it was “outrageous” that vaccine injuries are not monitored more closely.
“It’s outrageous that we don’t have a surveillance system that functions. … We’re going to find out what contribution vaccines and everything else—mold, [electromagnetic fields], food, all of these other exposures [that] began in the late 1980s — which one of those are the culprits [for America’s chronic-disease crisis]? I suspect we’re going to see that there’s a lot of culprits, but we need to know.”
In related news, Secretary Robert F. Kennedy Jr. has instructed the US Centers for Disease Control and Prevention to begin a “scientific process” to look for treatments other than vaccines for measles.
The Department of Health and Human Services issued a statement in which it noted that, although vaccination is still the “most effective way to prevent the disease,”  “we recognize that some individuals and communities across the U.S. may choose not to vaccinate.”
“Our commitment is to support all families – regardless of their vaccination status – in reducing the risk of hospitalization, serious complications, and death from measles.”
“Secretary Kennedy will be enlisting the entire agency to activate a scientific process to treat a host of diseases, including measles, with single or multiple existing drugs in combination with vitamins and other modalities,” the statement continues.
“This effort will involve collaboration with universities nationwide to develop protocols, conduct testing, and pursue approval for new uses of safe and effective therapeutics that meet the highest scientific standards.”
In a new measles treatment overview posted on its website, the CDC says that “vitamin A may be used under the supervision of a healthcare provider” and that “other therapies, such as antibiotics should be prescribed based on clinical judgement by an individual healthcare provider.”
The overview also suggests the use of inhaled steroids as a treatment.
Secretary Kennedy has been on the receiving end of sharp criticism from long-term supporters for his newfound advocacy of the measles vaccine.
At the beginning of last month, he Tweeted that  “The most effective way to prevent the spread of measles is the MMR vaccine.”
“What’s the point of writing an entire book about dangers of long term side effects of untested vaccines if you aren’t going to mention it once in power?” one Kennedy follower wrote in response to the post.
“You really make a great poster boy for Big Pharma. So much for ‘MAHA.’ GROSS,” wrote another.
Even Kennedy’s very own health nonprofit, Children’s Health Defense, which he founded and served as chairman of, distanced itself from him.
“What he says does not speak for Children’s Health Defense in any way at this point,” said the organization’s CEO Mary Holland.
Some suggested Kennedy was being blackmailed.
A multistate measles outbreak centering on west Texas has now reached 800 cases."
https://www.infowars.com/posts/just-being-right-wing-is-not-forbidden-influential-mayor-of-tubingen-and-former-green-party-member-criticizes-german-government-actions-against-afd,‘Just Being Right-Wing is Not Forbidden’ – Influential Mayor of Tübingen And Former Green Party Member Criticizes German Government Actions Against AfD,By Staff | Remix,15 hours ago,"The influential mayor of Tübingen, Boris Palmer, is harshly criticizing the Office of the Protection of the Constitution (BfV), the powerful German domestic spy agency, after it labeled the Alternative for Germany (AfD) a confirmed “right-wing extremist” party. The former Green Party politician, who won Tübingen despite switching to run as an independent, said the secret, 1,000-page report used to justify the AfD’s designation basically just listed public incidents already known to the media.
“Unless Der Spiegel is simply poorly informed, the Office for the Protection of the Constitution has compiled primarily what is publicly known,” wrote Palmer.
In addition, the report seems to focus on the AfD’s stance on migration, but Palmer himself says it is no surprise the AfD is critical of immigration.
He noted that there are vast differences in rates of violence between different regions of the world, and also within Germany, it is clear that some groups are more prone to violence than others, including groups like Afghans and Algerians. However, he argues that this is socially and not genetically determined.
“Terms like ‘knifemen’ are political exaggerations, but not evidence of racism,” he wrote.
“Just being staunchly right-wing and anti-immigration is not forbidden,” he added. “After all, the law of blood was still largely a reality in the Federal Republic of Germany.” He said the 2000 reform of the citizenship law improved this situation, which meant children born to non-German parents could still attain citizenship in Germany, “but were Helmut Kohl and Roland Koch enemies of the constitution because they clung to the old law?”
The report from the BfV could pave the way for a potential ban, but Palmer is also critical of a ban procedure, saying that not only could it benefit the AfD, but that the entire process may be legally questionable with a very uncertain outcome.
He said he cannot imagine that the Constitutional Court, the country’s top court, would classify the party based on statements it has made about migration and even the concept of Germans as an ethnicity. He said accusations about the AfD being racists, Nazis, or misanthropic are to be expected, but for judges to ban an entire party over it is not believable or constitutional.
Notably, the AfD is now polling in first place for the first time ever, and in some polls has reached 26 percent. It is currently the second-largest party in the Bundestag and the largest opposition party.
The BfV is a highly partisan organization. Run by President Thomas Haldenwang (CDU), he reports to the head of the Interior Ministry, Nancy Faeser (SPD). Both parties have a vested interest in removing the AfD as competition in the democratic process.
Regardless of a ban, the “extremist” classification from the BfV is a powerful blow against the party, as it enables the BfV to surveil members with impunity, including chats and emails. It also means civil servants cannot be members of the party, including police officers. In addition, the BfV can now install informants in the party, who can make extremist statements and tarnish the party’s reputation, all without the AfD knowing who is an informant and who is not. In short, it is a massive tool of intimidation and fear using Stasi-like methods with 21st-century technology, including AI tracking and monitoring."
https://www.infowars.com/posts/biden-team-considered-forcing-him-to-take-cognitive-test-months-before-he-dropped-out-of-race,Biden Team Considered Forcing Him To Take Cognitive Test Months Before He Dropped Out of Race,By Raw Egg Nationalist,16 hours ago,"President Biden’s Team wanted him to take a cognitive test months before his disastrous debate performance made it impossible for him to continue in the 2024 presidential race, but then decided against doing so, a new book claims.
2024: How Trump Retook the White House and the Democrats Lost America is authored by Tyler Pager, a reporter for The New York Times, Josh Dawsey, a reporter for The Wall Street Journal and Isaac Arnsdorf, a reporter for The Washington Post, and is due to release in July.
In 2024, the authors detail debates held by top aides months as early as February 2024 over whether President Biden should be made to take a cognitive test.
The book claims the aides were confident he would pass a test, but they believed making him take one would only highlight his age and play into his opponents’ hands.
February 2024 was when Special Counsel Robert Hur’s report about the former president’s mishandling of classified documents was released.
In the report, Hur described Biden as “a sympathetic, well-meaning, elderly man with a poor memory.”
The book also details how Biden’s chief of staff, Ron Klain, called David Axelrod to remonstrate with him about a New York Times report that quoted Axelrod as saying, “The stark reality is the president would be closer to 90 than 80 at the end of a second term, and that would be a major issue.”
“That comment prompted an angry call to Mr. Axelrod from Ron Klain, then Mr. Biden’s chief of staff, according to the book. Mr. Klain wanted to know why Mr. Axelrod was fueling doubts about a Democratic president who was on track to begin a re-election campaign,” according to The New York Times.
“There’s no Obama out there, Axe,” Klain is reported to have said, adding “Who’s going to do it if he doesn’t do it?”
Meanwhile, former White House Press Secretary Jen Psaki has claimed she had no idea about President Biden’s cognitive decline until his disastrous performance in his debate last year with Donald Trump, which led to his exit from the presidential race.
Speaking with Ben Smith of Semafor, Psaki dismissed the notion of a “coverup” of Joe Biden’s worsening mental state.
“I never saw that person —not a single time, and I was in the Oval Office every day, that was on that debate stage,” Psaki said.
“I’m not a doctor. Aging happens quite quickly,” she added, before telling her host “coverup” is a “very loaded term,” which should only be used to describe crimes.
“People use that term as related to Watergate. Or the covering up of not sharing public information about a war,” she explained. “I think it’s a bit of a dangerous term.”
The final straw for Joe Biden’s backers was his appalling performance in his presidential debate with Donald Trump.
According to investigative journalist Seymour Hersch, the debate made it impossible to hide his decline any further, and Barack Obama and Kamala Harris stepped in with a threat to invoke the 25th Amendment if Biden didn’t withdraw from the race.
“It’s not surprising that the long overdue unraveling of President Joe Biden’s re-election campaign happened when it became impossible to keep his increasing impairment covered up,” Hersch explains.
“It was the big-time money backers of the Democratic Party who called off the game of see no evil, hear no evil, after Biden’s shocking performance in his June debate with Donald Trump. They balked at continuing to give millions of dollars to the party now that there was evidence that the president is not always there.”"
https://www.infowars.com/posts/afd-says-attack-on-party-clearly-politically-motivated,AfD Says Attack on Party “Clearly Politically Motivated”,By Zolta Győri | The European Conservative,17 hours ago,"Alice Weidel and Tino Chrupalla, co-chairs and spokespeople for right-wing populist Alternative für Deutschland (AfD) have released a statement in response to the news of the German domestic intelligence agency BfV classifying the party, currently the largest opposition force, as an extremist entity, paving the way for a potential ban.
The decision of the Federal Office for the Protection of the Constitution is a severe blow to German democracy!
Weidel and Chrupalla said in a post on X.
+++ Alice Weidel/Tino Chrupalla: ""Entscheidung des Verfassungsschutzes ist ein schwerer Schlag gegen die bundesdeutsche Demokratie!"" +++Zur Erklärung des Bundesamtes für Verfassungsschutz teilen die AfD-Bundessprecher Alice Weidel und Tino Chrupalla mit: „Die heutige… pic.twitter.com/k8bPjekrcg
The conservative politicians questioned the legitimacy of the decision, since the current administration is only four days away from stepping down. “The federal government only has four days left in office, the intelligence agency doesn’t even have a president anymore. And the classification as a so-called suspected case is not yet legally binding,” read the statement.
The co-chairs said the party is being “discredited and criminalized” just before the imminent government change, suspected to be a move trying to break the momentum of AfD that has been gaining ground in Germany in recent months.
Weidel and Chrupalla pledged to fight the decision, saying: “The AfD will continue to defend itself legally against these defamations that endanger democracy.”"
https://www.infowars.com/posts/trump-says-mexican-pres-so-scared-of-the-cartels-she-cant-walk,Trump Says Mexican Pres. “So Scared of the Cartels She Can’t Walk”,By Raw Egg Nationalist,17 hours ago,"Mexican President Claudia Sheinbaum is “so scared of the cartels she can’t walk,” President Trump has said, as he confirmed that he did indeed offer US military assistance to fight the cartels in Mexico.
Sheinbaum spoke at a university event on Saturday and addressed a Wall Street Journal report that claimed President Trump has been pushing for greater US military involvement in fighting the cross-border drug trade.
“In one of the calls, (Trump) said, ‘How can we help you fight drug trafficking? I propose that the U.S. Army come in to help you,’” said Sheinbaum.
“And you know what I told him? No, President Trump, the territory is sacrosanct, sovereignty is sacrosanct, sovereignty is not for sale, sovereignty is loved and defended.”
Sheinbaum added that, although Mexico and the US should collaborate against the cartels, “we will never accept the presence of the United States military in our territory.”
In response to Sheinbaum’s claim, President Trump told reporters on Air Force One on Sunday that he had indeed offered to send “troops into Mexico to take care of the cartels.”
Trump said that Sheinbaum is “so afraid of the cartel she can’t walk,” but added that he believes the Mexican president is “a lovely woman.”
“She is so afraid of the cartels she can’t even think straight,” he added.
At the start of his second term, President Trump imposed a 25% tariff on Mexican goods in an effort to force the Mexican government to deal with the cartels and their role in the cross-border drug trade and illegal migration.
In February, the US government designated a number of Mexican cartels as terrorist organizations, in a move designed to enhance the range of options available for dealing with them, including the use of military force.
Aerial surveillance of the cartels has since been increased, as well as intelligence-gathering efforts.
In response, President Sheinbaum has proposed constitutional reforms to bolster Mexican national sovereignty."
