link,title
https://www.theatlantic.com/politics/archive/2025/05/airport-detentions-travelers-freaked-out/682702/,"Airport Detentions Have Travelers ‘Freaked Out’ - Fears of being detained are in overdrive, even if the Trump administration insists that they’re overblown."
https://www.theatlantic.com/politics/archive/2025/05/trump-republicans-congress-budget/682693/,The ‘Significant Risk’ That Republicans Tank the Economy - How the GOP’s indecision in Congress could crash the markets
https://www.theatlantic.com/family/archive/2025/05/pronatalism-trump-family-policy/682686/,"The Pro-Family Policy This Nation Actually Needs - If the Trump administration wants more babies, it needs to embrace a different kind of parent."
https://www.theatlantic.com/politics/archive/2025/05/anthony-weiner-comeback-city-council/682656/,"Is Anthony Weiner Ready to Go Another Round? - The ex-congressman whose name became a punch line is running for New York’s city council. In some ways, he hasn’t changed a bit."
https://www.theatlantic.com/politics/archive/2025/05/mike-waltz-trump-fired/682660/,Inside Mike Waltz’s White House Exit - Signalgate was the national security adviser’s most glaring mistake. But his problems ran deeper.
https://www.theatlantic.com/politics/archive/2025/04/trump-putin-russia-ukraine/682651/,Trump Weighs His Options Against Putin - The president has shown signs of exasperation. But he has never been willing to stand up to his Russian counterpart.
https://www.theatlantic.com/politics/archive/2025/04/satisfied-trump-voters/682645/,"The Trump Voters Who Like What They See - “Even if they don’t agree with everything he’s doing, he’s doing something.”"
https://www.theatlantic.com/politics/archive/2025/04/donald-trump-100-days/682636/,An Unsustainable Presidency - Nothing about Donald Trump’s first 100 days has been ordinary.
https://www.theatlantic.com/politics/archive/2025/04/donald-trump-oval-office-interview-excerpts/682623/,"Read The Atlantic’s Interview With Donald Trump - A conversation with the president about executive power, Signalgate, and 24-karat gold"
https://www.theatlantic.com/magazine/archive/2025/06/signalgate-trump-atlantic-interview/682576/,"Signalgate, Trump, and The Atlantic - Denial and attack have worked exceedingly well for the president. But there are limits."
https://www.theatlantic.com/magazine/archive/2025/06/trump-second-term-comeback/682573/,‘I Run the Country and the World’ - Donald Trump believes he’s invincible. But the cracks are beginning to show.
https://www.theatlantic.com/politics/archive/2025/04/trump-administration-initimidates-judges/682620/,Trump Administration to Judges: ‘We Will Find You’ - The attorney general’s message to the judiciary is clear.
https://www.theatlantic.com/politics/archive/2025/04/trumps-cabinet-cosplay/682601/,Trump’s Cosplay Cabinet - The president’s appointees often appear to be acting out a made-for-television version of their jobs rather than actually doing them.
https://www.theatlantic.com/politics/archive/2025/04/kilmar-abrego-garcia-plan-reversal/682594/,How the Trump Administration Flipped on Kilmar Abrego Garcia - Officials were developing a plan to get him back to the United States. Why did they stop?
https://www.theatlantic.com/magazine/archive/2025/06/trump-economy-tariffs-stagflation/682572/,"The Coming Economic Nightmare - Trump’s tariffs could cause stagflation for the first time in decades. It may go on for a long, long time."
https://www.theatlantic.com/politics/archive/2025/04/national-security-council-fiasco/682595/,Inside the Fiasco at the National Security Council - Firings and leadership challenges have destabilized an institution that has little margin for error.
https://www.theatlantic.com/politics/archive/2025/04/trump-ukraine-russia-deal/682564/,Trump’s Plan to Sell Out Ukraine to Russia - His proposal to end the war isn’t a peace plan—it’s a reward for aggression.
https://www.theatlantic.com/politics/archive/2025/04/democrats-deportation-kilmar-abrego-garcia/682555/,Trump Is Vulnerable on Immigration - Democrats can move public opinion by highlighting the unpopular aspects of his agenda.
https://www.theatlantic.com/politics/archive/2025/04/tim-walz-campaign-democrats/682539/,Tim Walz Looks Into the Void - Back on the trail with the guy who lost the last election
https://www.theatlantic.com/politics/archive/2025/04/trump-gop-tax-rich/682533/,The Force That Holds Trump’s Coalition Together - Traditional Republican elites tolerate the authoritarianism because they want the tax cuts.
https://www.theatlantic.com/politics/archive/2025/04/trump-hegseth-signal-pentagon/682531/,"Why Trump Is Standing by Hegseth, for Now - Trump is currently supporting his defense secretary, but some in the administration are speculating about how long Pete Hegseth will last."
https://www.theatlantic.com/ideas/archive/2025/04/migrant-flow-reversed-costa-rica/682516/,"Migrants Are Heading South - For years, millions of people traveled through Central America north to the United States. Now that flow is changing direction."
https://www.theatlantic.com/economy/archive/2025/04/trump-fed-economic-disaster/682506/,"Trump Is Flirting With Economic Disaster - By threatening the independence of the Federal Reserve, the president risks undermining many of his key goals."
https://www.theatlantic.com/politics/archive/2025/04/josh-shapiro-attempted-assessination/682503/,The Lies About Josh Shapiro Have Consequences - An attack on the Pennsylvania governor shows the dangers of tendentious misrepresentations.
https://www.theatlantic.com/politics/archive/2025/04/norquist-trump-tax-wealthy/682493/,Grover Norquist Can’t Believe What He’s Hearing - Is the GOP about to raise taxes?
https://www.theatlantic.com/politics/archive/2025/04/supreme-court-trump-contempt/682494/,"What Recourse Does the Supreme Court Actually Have? - As the Trump administration talks itself into refusing to comply with judicial orders, federal judges are moving closer to deploying the most powerful tool they have: contempt of court."
https://www.theatlantic.com/politics/archive/2025/04/trump-constitution-abrego-garcia/682487/,"A Loophole That Would Swallow the Constitution - If Donald Trump can disappear people to El Salvador without due process, he can do anything."
