link,title
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944676/heart-evangelista-continues-to-focus-on-health-wellness-after-turning-40/story/,"Heart Evangelista continues to focus on health, wellness after turning 40"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944674/drew-arellano-on-getting-vasectomy-amid-misconceptions-i-follow-medical-data/story/,Drew Arellano on getting vasectomy amid misconceptions: ‘I follow medical data’
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944667/who-set-to-back-use-of-weight-loss-drugs-for-adults-globally-raises-cost-issue/story/,"WHO set to back use of weight-loss drugs for adults globally, raises cost issue"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944599/own-your-pleasure-the-case-for-lubricants/story/,'Own your pleasure': The case for lubricants
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944584/world-s-oldest-person-brazilian-nun-inah-canabarro-lucas-dies-aged-116/story/,"World's oldest person, Brazilian nun Inah Canabarro Lucas, dies aged 116"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944492/drew-arellano-lauded-by-commission-on-population-and-development-for-getting-vasectomy/story/,Drew Arellano lauded by Commission on Population and Development for getting vasectomy
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944373/vasectomy-does-the-snip-affect-arousal-can-it-be-reversed-and-more-questions-answered/story/,"Vasectomy: Does the snip affect arousal, can it be reversed, and more questions answered"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944309/kylie-verzosa-reveals-cosmetic-procedure-she-regrets-doing/story/,Kylie Verzosa reveals cosmetic procedure she regrets doing
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944263/boy-with-tumor-in-brain-eyelid-seeks-help-through-gma-kapuso-foundation-so-he-can-undergo-sur/story/,"Boy with tumor in brain, eyelid seeks help through GMA Kapuso Foundation so he can undergo surgery"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/944236/drew-arellano-gets-a-vasectomy/story/,Drew Arellano gets a vasectomy
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943982/students-in-sta-maria-laguna-receive-anti-lice-treatment-dental-hygiene-services-from-gma-kap/story/,"Students in Sta. Maria, Laguna receive anti-lice treatment, dental hygiene services from GMA Kapuso Foundation"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943853/jiggly-caliente-will-not-appear-in-rupaul-s-drag-race-philippines-s4-due-to-serious-health-se/story/,"Jiggly Caliente will not appear in upcoming season of 'Drag Race Philippines' due to 'serious health setback,' says family"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943816/6-fitness-tips-for-a-safe-summer-work-out/story/,6 fitness tips for a safe summer work out
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943650/ruru-madrid-reflects-on-importance-of-rest-ang-pahinga-hindi-pagtakas-sa-ginagawa-mo-ito-ang-/story/,"Ruru Madrid reflects on importance of rest: 'ang pahinga, hindi pagtakas sa ginagawa mo, ito ang pagbalik ng sigla'"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943592/ruru-madrid-shares-he-is-recovering-fast-following-hamstring-injury/story/,Ruru Madrid shares he is recovering fast following hamstring injury
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943552/alden-richards-begins-a-new-fitness-era-with-cycling/story/,Alden Richards begins a new fitness era with cycling
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943528/hailey-bieber-reveals-suffering-from-ovarian-cysts/story/,Hailey Bieber reveals suffering from ovarian cysts
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943137/philippines-mental-health-quotient-worsens-in-2024-study/story/,Philippines' mental health quotient worsens in 2024 — study
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943210/17-year-old-girl-from-palawan-suffers-from-compulsion-to-bite-and-chew-family-seeks-medical-h/story/,17-year-old girl from Palawan suffers from compulsion to bite and chew; family seeks medical help
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943153/what-to-do-when-experiencing-muscle-cramps-while-swimming/story/,What to do when experiencing muscle cramps while swimming?
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943149/who-takes-care-of-those-taking-care-of-people-in-the-autism-spectrum/story/,Who takes care of those taking care of people in the autism spectrum?
https://www.gmanetwork.com/news/lifestyle/healthandwellness/943085/nora-aunor-death/story/,"Nora Aunor didn't die during operation, Ian de Leon says"
https://www.gmanetwork.com/news/lifestyle/healthandwellness/942939/why-are-children-more-at-risk-in-extreme-heat/story/,Why are children more at risk in extreme heat?
https://www.gmanetwork.com/news/lifestyle/healthandwellness/942816/chito-miranda-says-family-inspires-him-to-take-care-of-his-health/story/,Chito Miranda says family inspires him to take care of his health
https://www.gmanetwork.com/news/lifestyle/healthandwellness/942790/vape-giveaways-in-bars-health-groups-slam-free-trial-lure-for-young-crowd/story/,Vape giveaways in bars: Health groups slam 'free trial' lure for young crowd
https://www.gmanetwork.com/news/lifestyle/healthandwellness/942720/maricel-soriano-opens-up-about-difficulty-in-walking-due-to-spinal-arthritis/story/,Maricel Soriano opens up about difficulty in walking due to spinal arthritis
